task,method,n_train,seed,headline_f1,accuracy,n_train_actual,note
ballard_incivility,e5,50,1.0,0.12345679012345678,0.858,50.0,
ballard_incivility,e5,50,2.0,0.031746031746031744,0.878,50.0,
ballard_incivility,e5,50,3.0,0.14084507042253522,0.878,50.0,
ballard_incivility,e5,50,4.0,0.125,0.86,50.0,
ballard_incivility,e5,100,0.0,0.16260162601626016,0.794,100.0,
ballard_incivility,e5,100,1.0,0.32323232323232326,0.866,100.0,
ballard_incivility,e5,100,2.0,0.21176470588235294,0.866,100.0,
ballard_incivility,e5,100,3.0,0.25675675675675674,0.78,100.0,
ballard_incivility,e5,100,4.0,0.3356643356643357,0.81,100.0,
ballard_incivility,e5,250,0.0,0.4772727272727273,0.816,250.0,
ballard_incivility,e5,250,1.0,0.34782608695652173,0.79,250.0,
ballard_incivility,e5,250,2.0,0.38666666666666666,0.816,250.0,
ballard_incivility,e5,250,3.0,0.38461538461538464,0.84,250.0,
ballard_incivility,e5,250,4.0,0.3821656050955414,0.806,250.0,
ballard_incivility,e5,500,0.0,0.4936708860759494,0.84,500.0,
ballard_incivility,e5,500,1.0,0.4025157232704403,0.81,500.0,
ballard_incivility,e5,500,2.0,0.40559440559440557,0.83,500.0,
ballard_incivility,e5,500,3.0,0.3841059602649007,0.814,500.0,
ballard_incivility,e5,500,4.0,0.45454545454545453,0.832,500.0,
ballard_incivility,e5,1000,0.0,0.4294478527607362,0.814,1000.0,
ballard_incivility,e5,1000,1.0,0.4810126582278481,0.836,1000.0,
ballard_incivility,e5,1000,2.0,0.4606741573033708,0.808,1000.0,
ballard_incivility,e5,1000,3.0,0.47674418604651164,0.82,1000.0,
ballard_incivility,e5,1000,4.0,0.4129032258064516,0.818,1000.0,
ballard_incivility,e5,2000,0.0,0.5116279069767442,0.832,2000.0,
ballard_incivility,e5,2000,1.0,0.5088757396449705,0.834,2000.0,
ballard_incivility,e5,2000,2.0,0.49696969696969695,0.834,2000.0,
ballard_incivility,e5,2000,3.0,0.5269461077844312,0.842,2000.0,
ballard_incivility,e5,2000,4.0,0.5061728395061729,0.84,2000.0,
gilardi_stance,e5,50,0.0,0.5247084960572033,0.734,50.0,
gilardi_stance,e5,50,1.0,0.5147026887384606,0.718,50.0,
gilardi_stance,e5,50,2.0,0.5125052852914624,0.716,50.0,
gilardi_stance,e5,50,3.0,0.5300277469250915,0.722,50.0,
gilardi_stance,e5,50,4.0,0.5924174322275063,0.766,50.0,
gilardi_stance,e5,100,0.0,0.6137450626366882,0.77,100.0,
gilardi_stance,e5,100,1.0,0.5343282843282844,0.728,100.0,
gilardi_stance,e5,100,2.0,0.602185518550324,0.76,100.0,
gilardi_stance,e5,100,3.0,0.5393009136356294,0.788,100.0,
gilardi_stance,e5,100,4.0,0.6484851718465164,0.808,100.0,
gilardi_stance,e5,250,0.0,0.6475063959743788,0.828,250.0,
gilardi_stance,e5,250,1.0,0.6445817415265517,0.824,250.0,
gilardi_stance,e5,250,2.0,0.5828299134079148,0.818,250.0,
gilardi_stance,e5,250,3.0,0.645971630661397,0.804,250.0,
gilardi_stance,e5,250,4.0,0.6442001738126356,0.826,250.0,
gilardi_stance,e5,500,,,,,remainder smaller than requested size
gilardi_stance,e5,1000,,,,,remainder smaller than requested size
gilardi_stance,e5,2000,,,,,remainder smaller than requested size
chae_semeval_stance,e5,50,0.0,0.5048321773873209,0.55,50.0,
chae_semeval_stance,e5,50,1.0,0.5643935691294718,0.582,50.0,
chae_semeval_stance,e5,50,2.0,0.49287298067785873,0.568,50.0,
chae_semeval_stance,e5,50,3.0,0.5328282828282829,0.57,50.0,
chae_semeval_stance,e5,50,4.0,0.4992857918021443,0.534,50.0,
chae_semeval_stance,e5,100,0.0,0.5899458733867443,0.602,100.0,
chae_semeval_stance,e5,100,1.0,0.559367012505816,0.558,100.0,
chae_semeval_stance,e5,100,2.0,0.5695238095238094,0.572,100.0,
chae_semeval_stance,e5,100,3.0,0.5772663667811594,0.586,100.0,
chae_semeval_stance,e5,100,4.0,0.5881247380213765,0.612,100.0,
chae_semeval_stance,e5,250,0.0,0.6423556767608215,0.658,250.0,
chae_semeval_stance,e5,250,1.0,0.6093872622886307,0.62,250.0,
chae_semeval_stance,e5,250,2.0,0.6242400371716654,0.638,250.0,
chae_semeval_stance,e5,250,3.0,0.6229316690546604,0.632,250.0,
chae_semeval_stance,e5,250,4.0,0.6259539649682725,0.636,250.0,
chae_semeval_stance,e5,500,0.0,0.6316430098684765,0.64,500.0,
chae_semeval_stance,e5,500,1.0,0.6470632836373423,0.646,500.0,
chae_semeval_stance,e5,500,2.0,0.6555162395526758,0.66,500.0,
chae_semeval_stance,e5,500,3.0,0.6359763754419129,0.644,500.0,
chae_semeval_stance,e5,500,4.0,0.6730366734342473,0.672,500.0,
chae_semeval_stance,e5,1000,0.0,0.65108269543969,0.652,1000.0,
chae_semeval_stance,e5,1000,1.0,0.6657641350877285,0.668,1000.0,
chae_semeval_stance,e5,1000,2.0,0.6709371167168864,0.674,1000.0,
chae_semeval_stance,e5,1000,3.0,0.6655113490299264,0.67,1000.0,
chae_semeval_stance,e5,1000,4.0,0.6843443210971332,0.684,1000.0,
chae_semeval_stance,e5,2000,,,,,remainder smaller than requested size
ornstein_scotus_sentiment,e5,50,0.0,0.5629906859654535,0.65,50.0,
ornstein_scotus_sentiment,e5,50,1.0,0.4503678022911066,0.49,50.0,
ornstein_scotus_sentiment,e5,50,2.0,0.5361405136686036,0.672,50.0,
ornstein_scotus_sentiment,e5,50,3.0,0.5614816211066497,0.676,50.0,
ornstein_scotus_sentiment,e5,50,4.0,0.5096311464017219,0.594,50.0,
ornstein_scotus_sentiment,e5,100,0.0,0.5521886655214572,0.632,100.0,
ornstein_scotus_sentiment,e5,100,1.0,0.6273630604074966,0.696,100.0,
ornstein_scotus_sentiment,e5,100,2.0,0.6066287201685048,0.724,100.0,
ornstein_scotus_sentiment,e5,100,3.0,0.5809811627401943,0.684,100.0,
ornstein_scotus_sentiment,e5,100,4.0,0.6480218445977579,0.738,100.0,
ornstein_scotus_sentiment,e5,250,0.0,0.6549732271066445,0.734,250.0,
ornstein_scotus_sentiment,e5,250,1.0,0.6527223083768238,0.738,250.0,
ornstein_scotus_sentiment,e5,250,2.0,0.6697903543625028,0.738,250.0,
ornstein_scotus_sentiment,e5,250,3.0,0.682703308352751,0.748,250.0,
ornstein_scotus_sentiment,e5,250,4.0,0.6788999709861421,0.75,250.0,
ornstein_scotus_sentiment,e5,500,,,,,remainder smaller than requested size
ornstein_scotus_sentiment,e5,1000,,,,,remainder smaller than requested size
ornstein_scotus_sentiment,e5,2000,,,,,remainder smaller than requested size
wesleyan_creative_ads_2022,e5,50,0.0,0.4921655043112532,0.738,50.0,
wesleyan_creative_ads_2022,e5,50,1.0,0.5174295663184553,0.656,50.0,
wesleyan_creative_ads_2022,e5,50,2.0,0.4830966953963165,0.73,50.0,
wesleyan_creative_ads_2022,e5,50,3.0,0.49191128506197,0.744,50.0,
wesleyan_creative_ads_2022,e5,50,4.0,0.46736663233654174,0.678,50.0,
wesleyan_creative_ads_2022,e5,100,0.0,0.4629828576766781,0.744,100.0,
wesleyan_creative_ads_2022,e5,100,1.0,0.5467539218416412,0.742,100.0,
wesleyan_creative_ads_2022,e5,100,2.0,0.5075634251987243,0.742,100.0,
wesleyan_creative_ads_2022,e5,100,3.0,0.436688896981424,0.726,100.0,
wesleyan_creative_ads_2022,e5,100,4.0,0.4724167044963828,0.7,100.0,
wesleyan_creative_ads_2022,e5,250,0.0,0.5353276353276353,0.758,250.0,
wesleyan_creative_ads_2022,e5,250,1.0,0.584760532455057,0.744,250.0,
wesleyan_creative_ads_2022,e5,250,2.0,0.5408304851657573,0.768,250.0,
wesleyan_creative_ads_2022,e5,250,3.0,0.6073456261698255,0.776,250.0,
wesleyan_creative_ads_2022,e5,250,4.0,0.5543172729003999,0.784,250.0,
wesleyan_creative_ads_2022,e5,500,0.0,0.5553235031746865,0.71,500.0,
wesleyan_creative_ads_2022,e5,500,1.0,0.5739644783547869,0.75,500.0,
wesleyan_creative_ads_2022,e5,500,2.0,0.583895360719395,0.762,500.0,
wesleyan_creative_ads_2022,e5,500,3.0,0.5430667909377008,0.714,500.0,
wesleyan_creative_ads_2022,e5,500,4.0,0.5777833305569438,0.754,500.0,
wesleyan_creative_ads_2022,e5,1000,0.0,0.6732920802772564,0.818,1000.0,
wesleyan_creative_ads_2022,e5,1000,1.0,0.6396435808200515,0.808,1000.0,
wesleyan_creative_ads_2022,e5,1000,2.0,0.6334294748536512,0.782,1000.0,
wesleyan_creative_ads_2022,e5,1000,3.0,0.5940151847318705,0.754,1000.0,
wesleyan_creative_ads_2022,e5,1000,4.0,0.5574862047316944,0.73,1000.0,
wesleyan_creative_ads_2022,e5,2000,0.0,0.6664580124609408,0.806,2000.0,
wesleyan_creative_ads_2022,e5,2000,1.0,0.6711481608364102,0.808,2000.0,
wesleyan_creative_ads_2022,e5,2000,2.0,0.6604836287594908,0.796,2000.0,
wesleyan_creative_ads_2022,e5,2000,3.0,0.6296383198032159,0.788,2000.0,
wesleyan_creative_ads_2022,e5,2000,4.0,0.6618243365555194,0.8,2000.0,
halterman_keith_bfrs,e5,50,0.0,0.4117010234440513,0.518,50.0,
halterman_keith_bfrs,e5,50,1.0,0.4359141360989982,0.55,50.0,
halterman_keith_bfrs,e5,50,2.0,0.4898131964214139,0.556,50.0,
halterman_keith_bfrs,e5,50,3.0,0.4213932514643532,0.538,50.0,
halterman_keith_bfrs,e5,50,4.0,0.43478013509662694,0.488,50.0,
halterman_keith_bfrs,e5,100,0.0,0.5134118561691299,0.652,100.0,
halterman_keith_bfrs,e5,100,1.0,0.5617199861392488,0.668,100.0,
halterman_keith_bfrs,e5,100,2.0,0.5255460894581296,0.688,100.0,
halterman_keith_bfrs,e5,100,3.0,0.5612954139389489,0.618,100.0,
halterman_keith_bfrs,e5,100,4.0,0.5458566068982129,0.656,100.0,
halterman_keith_bfrs,e5,250,0.0,0.5616136885791918,0.71,250.0,
halterman_keith_bfrs,e5,250,1.0,0.6208949726555261,0.714,250.0,
halterman_keith_bfrs,e5,250,2.0,0.5275565597676084,0.664,250.0,
halterman_keith_bfrs,e5,250,3.0,0.5457115425617071,0.626,250.0,
halterman_keith_bfrs,e5,250,4.0,0.5350332154092033,0.712,250.0,
halterman_keith_bfrs,e5,500,0.0,0.6231077569181912,0.728,500.0,
halterman_keith_bfrs,e5,500,1.0,0.6139797160735994,0.754,500.0,
halterman_keith_bfrs,e5,500,2.0,0.608370156134724,0.708,500.0,
halterman_keith_bfrs,e5,500,3.0,0.60797593576184,0.692,500.0,
halterman_keith_bfrs,e5,500,4.0,0.6887731549157715,0.732,500.0,
halterman_keith_bfrs,e5,1000,0.0,0.6940240462942722,0.762,1000.0,
halterman_keith_bfrs,e5,1000,1.0,0.6971932439477672,0.744,1000.0,
halterman_keith_bfrs,e5,1000,2.0,0.6298036959578427,0.74,1000.0,
halterman_keith_bfrs,e5,1000,3.0,0.6933030497539043,0.748,1000.0,
halterman_keith_bfrs,e5,1000,4.0,0.7059933630535485,0.746,1000.0,
halterman_keith_bfrs,e5,2000,0.0,0.6709629653008181,0.752,2000.0,
halterman_keith_bfrs,e5,2000,1.0,0.681250800492326,0.748,2000.0,
halterman_keith_bfrs,e5,2000,2.0,0.6810948409392915,0.75,2000.0,
halterman_keith_bfrs,e5,2000,3.0,0.6698730338607678,0.738,2000.0,
halterman_keith_bfrs,e5,2000,4.0,0.676840737783016,0.746,2000.0,
halterman_keith_cmp,e5,50,0.0,0.2826109298075728,0.34,50.0,
halterman_keith_cmp,e5,50,1.0,0.2826316524868328,0.324,50.0,
halterman_keith_cmp,e5,50,2.0,0.26876465702898533,0.288,50.0,
halterman_keith_cmp,e5,50,3.0,0.28209882435052214,0.3,50.0,
halterman_keith_cmp,e5,50,4.0,0.2599025067423398,0.282,50.0,
halterman_keith_cmp,e5,100,0.0,0.3549924374231739,0.394,100.0,
halterman_keith_cmp,e5,100,1.0,0.3300811247918855,0.366,100.0,
halterman_keith_cmp,e5,100,2.0,0.3401384383199372,0.392,100.0,
halterman_keith_cmp,e5,100,3.0,0.3479507486786221,0.374,100.0,
halterman_keith_cmp,e5,100,4.0,0.3097844729001486,0.33,100.0,
halterman_keith_cmp,e5,250,0.0,0.44848374589217643,0.494,250.0,
halterman_keith_cmp,e5,250,1.0,0.4270217105568654,0.492,250.0,
halterman_keith_cmp,e5,250,2.0,0.4400736096606754,0.492,250.0,
halterman_keith_cmp,e5,250,3.0,0.4671883871849197,0.506,250.0,
halterman_keith_cmp,e5,250,4.0,0.4109340607959247,0.462,250.0,
halterman_keith_cmp,e5,500,0.0,0.4841496930570287,0.52,500.0,
halterman_keith_cmp,e5,500,1.0,0.47522874256707,0.51,500.0,
halterman_keith_cmp,e5,500,2.0,0.4776476831982377,0.502,500.0,
halterman_keith_cmp,e5,500,3.0,0.49745636541077454,0.534,500.0,
halterman_keith_cmp,e5,500,4.0,0.47454726183274026,0.508,500.0,
halterman_keith_cmp,e5,1000,,,,,remainder smaller than requested size
halterman_keith_cmp,e5,2000,,,,,remainder smaller than requested size
mellon_bes_mii_2024,e5,50,0.0,0.43100769557406293,0.82,50.0,
mellon_bes_mii_2024,e5,50,1.0,0.4014173944320822,0.782,50.0,
mellon_bes_mii_2024,e5,50,2.0,0.4416418382706018,0.84,50.0,
mellon_bes_mii_2024,e5,50,3.0,0.4154571775538751,0.816,50.0,
mellon_bes_mii_2024,e5,50,4.0,0.4412306598803172,0.82,50.0,
mellon_bes_mii_2024,e5,100,0.0,0.4249728853681329,0.82,100.0,
mellon_bes_mii_2024,e5,100,1.0,0.4649700062880162,0.862,100.0,
mellon_bes_mii_2024,e5,100,2.0,0.4690878346104617,0.864,100.0,
mellon_bes_mii_2024,e5,100,3.0,0.4505504171938713,0.832,100.0,
mellon_bes_mii_2024,e5,100,4.0,0.44651376985562496,0.846,100.0,
mellon_bes_mii_2024,e5,250,0.0,0.523485999807054,0.922,250.0,
mellon_bes_mii_2024,e5,250,1.0,0.5156774521590191,0.898,250.0,
mellon_bes_mii_2024,e5,250,2.0,0.5372949003544755,0.912,250.0,
mellon_bes_mii_2024,e5,250,3.0,0.539289249229984,0.916,250.0,
mellon_bes_mii_2024,e5,250,4.0,0.47529568996048277,0.846,250.0,
mellon_bes_mii_2024,e5,500,0.0,0.5534069795719014,0.924,500.0,
mellon_bes_mii_2024,e5,500,1.0,0.5534069795719014,0.924,500.0,
mellon_bes_mii_2024,e5,500,2.0,0.5534069795719014,0.924,500.0,
mellon_bes_mii_2024,e5,500,3.0,0.5534069795719014,0.924,500.0,
mellon_bes_mii_2024,e5,500,4.0,0.5534069795719014,0.924,500.0,
mellon_bes_mii_2024,e5,1000,,,,,remainder smaller than requested size
mellon_bes_mii_2024,e5,2000,,,,,remainder smaller than requested size
osnabruegge_cross_domain_topic,e5,50,0.0,0.283044474336358,0.346,50.0,
osnabruegge_cross_domain_topic,e5,50,1.0,0.2253951125433469,0.288,50.0,
osnabruegge_cross_domain_topic,e5,50,2.0,0.2539294430616455,0.33,50.0,
osnabruegge_cross_domain_topic,e5,50,3.0,0.30151907456728383,0.334,50.0,
osnabruegge_cross_domain_topic,e5,50,4.0,0.23016347005516266,0.276,50.0,
osnabruegge_cross_domain_topic,e5,100,0.0,0.2755681859747597,0.37,100.0,
osnabruegge_cross_domain_topic,e5,100,1.0,0.26719398805254596,0.328,100.0,
osnabruegge_cross_domain_topic,e5,100,2.0,0.3478932685858005,0.466,100.0,
osnabruegge_cross_domain_topic,e5,100,3.0,0.27202904057644417,0.312,100.0,
osnabruegge_cross_domain_topic,e5,100,4.0,0.3638009783359497,0.44,100.0,
osnabruegge_cross_domain_topic,e5,250,0.0,0.4217450704038812,0.494,250.0,
osnabruegge_cross_domain_topic,e5,250,1.0,0.3897119482098455,0.462,250.0,
osnabruegge_cross_domain_topic,e5,250,2.0,0.4168547619734111,0.498,250.0,
osnabruegge_cross_domain_topic,e5,250,3.0,0.34865745695832373,0.384,250.0,
osnabruegge_cross_domain_topic,e5,250,4.0,0.4353279580599437,0.47,250.0,
osnabruegge_cross_domain_topic,e5,500,0.0,0.47502076833116424,0.53,500.0,
osnabruegge_cross_domain_topic,e5,500,1.0,0.4606758958916798,0.516,500.0,
osnabruegge_cross_domain_topic,e5,500,2.0,0.4416889086424329,0.506,500.0,
osnabruegge_cross_domain_topic,e5,500,3.0,0.4451623438537054,0.518,500.0,
osnabruegge_cross_domain_topic,e5,500,4.0,0.446726332376425,0.492,500.0,
osnabruegge_cross_domain_topic,e5,1000,0.0,0.48595713808586327,0.536,1000.0,
osnabruegge_cross_domain_topic,e5,1000,1.0,0.5079473404602344,0.566,1000.0,
osnabruegge_cross_domain_topic,e5,1000,2.0,0.5019926206481145,0.552,1000.0,
osnabruegge_cross_domain_topic,e5,1000,3.0,0.4943831943533683,0.55,1000.0,
osnabruegge_cross_domain_topic,e5,1000,4.0,0.5064412067039525,0.54,1000.0,
osnabruegge_cross_domain_topic,e5,2000,0.0,0.5223119521245557,0.56,2000.0,
osnabruegge_cross_domain_topic,e5,2000,1.0,0.5227291969961518,0.558,2000.0,
osnabruegge_cross_domain_topic,e5,2000,2.0,0.5613861205313063,0.578,2000.0,
osnabruegge_cross_domain_topic,e5,2000,3.0,0.5494496665048768,0.576,2000.0,
osnabruegge_cross_domain_topic,e5,2000,4.0,0.5291684138040649,0.554,2000.0,
rheault_line_of_fire_incivility,e5,50,0.0,0.06349206349206349,0.882,50.0,
rheault_line_of_fire_incivility,e5,50,1.0,0.29473684210526313,0.866,50.0,
rheault_line_of_fire_incivility,e5,50,2.0,0.09090909090909091,0.88,50.0,
rheault_line_of_fire_incivility,e5,50,3.0,0.2823529411764706,0.878,50.0,
rheault_line_of_fire_incivility,e5,50,4.0,0.06557377049180328,0.886,50.0,
rheault_line_of_fire_incivility,e5,100,0.0,0.40404040404040403,0.882,100.0,
rheault_line_of_fire_incivility,e5,100,1.0,0.42105263157894735,0.868,100.0,
rheault_line_of_fire_incivility,e5,100,2.0,0.4036697247706422,0.87,100.0,
rheault_line_of_fire_incivility,e5,100,3.0,0.3695652173913043,0.884,100.0,
rheault_line_of_fire_incivility,e5,100,4.0,0.43243243243243246,0.874,100.0,
rheault_line_of_fire_incivility,e5,250,0.0,0.49101796407185627,0.83,250.0,
rheault_line_of_fire_incivility,e5,250,1.0,0.45454545454545453,0.856,250.0,
rheault_line_of_fire_incivility,e5,250,2.0,0.5074626865671642,0.868,250.0,
rheault_line_of_fire_incivility,e5,250,3.0,0.47540983606557374,0.872,250.0,
rheault_line_of_fire_incivility,e5,250,4.0,0.496,0.874,250.0,
rheault_line_of_fire_incivility,e5,500,0.0,0.5454545454545454,0.87,500.0,
rheault_line_of_fire_incivility,e5,500,1.0,0.49635036496350365,0.862,500.0,
rheault_line_of_fire_incivility,e5,500,2.0,0.5306122448979592,0.862,500.0,
rheault_line_of_fire_incivility,e5,500,3.0,0.5578231292517006,0.87,500.0,
rheault_line_of_fire_incivility,e5,500,4.0,0.5142857142857142,0.864,500.0,
rheault_line_of_fire_incivility,e5,1000,0.0,0.5359477124183006,0.858,1000.0,
rheault_line_of_fire_incivility,e5,1000,1.0,0.5212121212121212,0.842,1000.0,
rheault_line_of_fire_incivility,e5,1000,2.0,0.5228758169934641,0.854,1000.0,
rheault_line_of_fire_incivility,e5,1000,3.0,0.5325443786982249,0.842,1000.0,
rheault_line_of_fire_incivility,e5,1000,4.0,0.5316455696202531,0.852,1000.0,
rheault_line_of_fire_incivility,e5,2000,0.0,0.5476190476190477,0.848,2000.0,
rheault_line_of_fire_incivility,e5,2000,1.0,0.562874251497006,0.854,2000.0,
rheault_line_of_fire_incivility,e5,2000,2.0,0.5644171779141104,0.858,2000.0,
rheault_line_of_fire_incivility,e5,2000,3.0,0.5584415584415584,0.864,2000.0,
rheault_line_of_fire_incivility,e5,2000,4.0,0.5194805194805194,0.852,2000.0,
haunss_papea_fgz_forms,e5,50,0.0,0.7375004652518538,0.822,50.0,
haunss_papea_fgz_forms,e5,50,1.0,0.6474620506734892,0.76,50.0,
haunss_papea_fgz_forms,e5,50,2.0,0.7153462246142476,0.81,50.0,
haunss_papea_fgz_forms,e5,50,3.0,0.7307940274080231,0.8,50.0,
haunss_papea_fgz_forms,e5,50,4.0,0.6769032156202248,0.79,50.0,
haunss_papea_fgz_forms,e5,100,0.0,0.839219796522573,0.87,100.0,
haunss_papea_fgz_forms,e5,100,1.0,0.7047975530646211,0.852,100.0,
haunss_papea_fgz_forms,e5,100,2.0,0.8201357734165496,0.862,100.0,
haunss_papea_fgz_forms,e5,100,3.0,0.8410202280743343,0.874,100.0,
haunss_papea_fgz_forms,e5,100,4.0,0.7761186901599785,0.848,100.0,
haunss_papea_fgz_forms,e5,250,0.0,0.8568745517229935,0.896,250.0,
haunss_papea_fgz_forms,e5,250,1.0,0.8581889065031693,0.894,250.0,
haunss_papea_fgz_forms,e5,250,2.0,0.8545314550539688,0.896,250.0,
haunss_papea_fgz_forms,e5,250,3.0,0.7850208289183289,0.874,250.0,
haunss_papea_fgz_forms,e5,250,4.0,0.864007012820979,0.892,250.0,
haunss_papea_fgz_forms,e5,500,0.0,0.8806449004073754,0.912,500.0,
haunss_papea_fgz_forms,e5,500,1.0,0.890045485146606,0.916,500.0,
haunss_papea_fgz_forms,e5,500,2.0,0.8910546585866107,0.908,500.0,
haunss_papea_fgz_forms,e5,500,3.0,0.8253017362789832,0.874,500.0,
haunss_papea_fgz_forms,e5,500,4.0,0.8578760186495243,0.886,500.0,
haunss_papea_fgz_forms,e5,1000,0.0,0.89186685105507,0.91,1000.0,
haunss_papea_fgz_forms,e5,1000,1.0,0.8947975236110027,0.918,1000.0,
haunss_papea_fgz_forms,e5,1000,2.0,0.910145439174831,0.93,1000.0,
haunss_papea_fgz_forms,e5,1000,3.0,0.9059461804848958,0.912,1000.0,
haunss_papea_fgz_forms,e5,1000,4.0,0.8958451385619401,0.912,1000.0,
haunss_papea_fgz_forms,e5,2000,0.0,0.9206392493633933,0.934,2000.0,
haunss_papea_fgz_forms,e5,2000,1.0,0.9073481360351513,0.924,2000.0,
haunss_papea_fgz_forms,e5,2000,2.0,0.9162078495997771,0.932,2000.0,
haunss_papea_fgz_forms,e5,2000,3.0,0.9166763033801589,0.926,2000.0,
haunss_papea_fgz_forms,e5,2000,4.0,0.9296256860417704,0.936,2000.0,
douglass_icbe_sentence_event_type,e5,50,0.0,0.3370059972339538,0.374,50.0,
douglass_icbe_sentence_event_type,e5,50,1.0,0.37350380903301117,0.424,50.0,
douglass_icbe_sentence_event_type,e5,50,2.0,0.3813189234619671,0.436,50.0,
douglass_icbe_sentence_event_type,e5,50,3.0,0.31660600084514356,0.36,50.0,
douglass_icbe_sentence_event_type,e5,50,4.0,0.3411423152085743,0.412,50.0,
douglass_icbe_sentence_event_type,e5,100,0.0,0.42822089337792046,0.5,100.0,
douglass_icbe_sentence_event_type,e5,100,1.0,0.42743892850210685,0.464,100.0,
douglass_icbe_sentence_event_type,e5,100,2.0,0.4146145195954579,0.452,100.0,
douglass_icbe_sentence_event_type,e5,100,3.0,0.4194592191809449,0.46,100.0,
douglass_icbe_sentence_event_type,e5,100,4.0,0.38219681093840335,0.43,100.0,
douglass_icbe_sentence_event_type,e5,250,0.0,0.4553568054315445,0.496,250.0,
douglass_icbe_sentence_event_type,e5,250,1.0,0.48628249933137724,0.498,250.0,
douglass_icbe_sentence_event_type,e5,250,2.0,0.44599293083378305,0.484,250.0,
douglass_icbe_sentence_event_type,e5,250,3.0,0.5325102742607798,0.552,250.0,
douglass_icbe_sentence_event_type,e5,250,4.0,0.48951343077577725,0.516,250.0,
douglass_icbe_sentence_event_type,e5,500,0.0,0.5029245801814852,0.552,500.0,
douglass_icbe_sentence_event_type,e5,500,1.0,0.5013009864382667,0.536,500.0,
douglass_icbe_sentence_event_type,e5,500,2.0,0.5227146949910316,0.57,500.0,
douglass_icbe_sentence_event_type,e5,500,3.0,0.5061091120827753,0.548,500.0,
douglass_icbe_sentence_event_type,e5,500,4.0,0.5116544359954237,0.546,500.0,
douglass_icbe_sentence_event_type,e5,1000,0.0,0.5420945259283932,0.576,1000.0,
douglass_icbe_sentence_event_type,e5,1000,1.0,0.49766346187177446,0.55,1000.0,
douglass_icbe_sentence_event_type,e5,1000,2.0,0.5428335552530237,0.588,1000.0,
douglass_icbe_sentence_event_type,e5,1000,3.0,0.535178221031393,0.57,1000.0,
douglass_icbe_sentence_event_type,e5,1000,4.0,0.5075079931859915,0.538,1000.0,
douglass_icbe_sentence_event_type,e5,2000,0.0,0.5300537106352436,0.572,2000.0,
douglass_icbe_sentence_event_type,e5,2000,1.0,0.5413013363117796,0.574,2000.0,
douglass_icbe_sentence_event_type,e5,2000,2.0,0.5303593731528344,0.56,2000.0,
douglass_icbe_sentence_event_type,e5,2000,3.0,0.5454028434899577,0.578,2000.0,
douglass_icbe_sentence_event_type,e5,2000,4.0,0.5427165416032766,0.582,2000.0,
muller_fujimura_campaign_policy_area,e5,50,0.0,0.34941465599241056,0.344,50.0,
muller_fujimura_campaign_policy_area,e5,50,1.0,0.3149350128668561,0.328,50.0,
muller_fujimura_campaign_policy_area,e5,50,2.0,0.3233705854629347,0.348,50.0,
muller_fujimura_campaign_policy_area,e5,50,3.0,0.3593461823279384,0.432,50.0,
muller_fujimura_campaign_policy_area,e5,50,4.0,0.30601526321375144,0.328,50.0,
muller_fujimura_campaign_policy_area,e5,100,0.0,0.5309065774136252,0.608,100.0,
muller_fujimura_campaign_policy_area,e5,100,1.0,0.5155741876277798,0.63,100.0,
muller_fujimura_campaign_policy_area,e5,100,2.0,0.5314204218891779,0.636,100.0,
