task,method,n_train,seed,headline_f1,accuracy,n_train_actual,note
ballard_incivility,qwen3,2000,2.0,0.4585987261146497,0.83,2000.0,
ballard_incivility,qwen3,2000,3.0,0.4675324675324675,0.836,2000.0,
ballard_incivility,qwen3,2000,4.0,0.42038216560509556,0.818,2000.0,
gilardi_stance,qwen3,50,0.0,0.584653793652285,0.734,50.0,
gilardi_stance,qwen3,50,1.0,0.5419287402107081,0.706,50.0,
gilardi_stance,qwen3,50,2.0,0.557048763055602,0.734,50.0,
gilardi_stance,qwen3,50,3.0,0.5850559301135084,0.718,50.0,
gilardi_stance,qwen3,50,4.0,0.5919024633081759,0.738,50.0,
gilardi_stance,qwen3,100,0.0,0.5968208278800472,0.778,100.0,
gilardi_stance,qwen3,100,1.0,0.5534944474243598,0.746,100.0,
gilardi_stance,qwen3,100,2.0,0.6409925902893235,0.768,100.0,
gilardi_stance,qwen3,100,3.0,0.5933621933621934,0.776,100.0,
gilardi_stance,qwen3,100,4.0,0.6676787494660777,0.754,100.0,
gilardi_stance,qwen3,250,0.0,0.6945920312787311,0.832,250.0,
gilardi_stance,qwen3,250,1.0,0.69356549070545,0.814,250.0,
gilardi_stance,qwen3,250,2.0,0.6830757983877076,0.816,250.0,
gilardi_stance,qwen3,250,3.0,0.6771467859254119,0.794,250.0,
gilardi_stance,qwen3,250,4.0,0.6872672207982319,0.838,250.0,
gilardi_stance,qwen3,500,,,,,remainder smaller than requested size
gilardi_stance,qwen3,1000,,,,,remainder smaller than requested size
gilardi_stance,qwen3,2000,,,,,remainder smaller than requested size
chae_semeval_stance,qwen3,50,0.0,0.5929757189264339,0.618,50.0,
chae_semeval_stance,qwen3,50,1.0,0.5728058578645752,0.602,50.0,
chae_semeval_stance,qwen3,50,2.0,0.5354336043360434,0.58,50.0,
chae_semeval_stance,qwen3,50,3.0,0.5984534646305404,0.624,50.0,
chae_semeval_stance,qwen3,50,4.0,0.5126207126207126,0.536,50.0,
chae_semeval_stance,qwen3,100,0.0,0.5824235800318643,0.584,100.0,
chae_semeval_stance,qwen3,100,1.0,0.6071795043082614,0.606,100.0,
chae_semeval_stance,qwen3,100,2.0,0.5943747333707213,0.606,100.0,
chae_semeval_stance,qwen3,100,3.0,0.6276586744883316,0.644,100.0,
chae_semeval_stance,qwen3,100,4.0,0.6466585505470318,0.66,100.0,
chae_semeval_stance,qwen3,250,0.0,0.6907512645745709,0.7,250.0,
chae_semeval_stance,qwen3,250,1.0,0.6703835873022067,0.676,250.0,
chae_semeval_stance,qwen3,250,2.0,0.6612376854671167,0.666,250.0,
chae_semeval_stance,qwen3,250,3.0,0.6766474875335634,0.686,250.0,
chae_semeval_stance,qwen3,250,4.0,0.650434035573424,0.666,250.0,
chae_semeval_stance,qwen3,500,0.0,0.6877260369140744,0.692,500.0,
chae_semeval_stance,qwen3,500,1.0,0.6856397878738821,0.686,500.0,
chae_semeval_stance,qwen3,500,2.0,0.6840439570767618,0.69,500.0,
chae_semeval_stance,qwen3,500,3.0,0.6521981287837094,0.666,500.0,
chae_semeval_stance,qwen3,500,4.0,0.6867578801376709,0.692,500.0,
chae_semeval_stance,qwen3,1000,0.0,0.6835428257994792,0.684,1000.0,
chae_semeval_stance,qwen3,1000,1.0,0.6926786349311457,0.694,1000.0,
chae_semeval_stance,qwen3,1000,2.0,0.7113877324605294,0.714,1000.0,
chae_semeval_stance,qwen3,1000,3.0,0.6965689029511344,0.702,1000.0,
chae_semeval_stance,qwen3,1000,4.0,0.6829702254162804,0.688,1000.0,
chae_semeval_stance,qwen3,2000,,,,,remainder smaller than requested size
ornstein_scotus_sentiment,qwen3,50,0.0,0.5939718325356219,0.654,50.0,
ornstein_scotus_sentiment,qwen3,50,1.0,0.4999527711131486,0.57,50.0,
ornstein_scotus_sentiment,qwen3,50,2.0,0.5330969884399883,0.648,50.0,
ornstein_scotus_sentiment,qwen3,50,3.0,0.5687678149887906,0.656,50.0,
ornstein_scotus_sentiment,qwen3,50,4.0,0.501924701329535,0.606,50.0,
ornstein_scotus_sentiment,qwen3,100,0.0,0.5365592811746658,0.676,100.0,
ornstein_scotus_sentiment,qwen3,100,1.0,0.6073766134163028,0.688,100.0,
ornstein_scotus_sentiment,qwen3,100,2.0,0.5919041585150305,0.69,100.0,
ornstein_scotus_sentiment,qwen3,100,3.0,0.5420551375442108,0.66,100.0,
ornstein_scotus_sentiment,qwen3,100,4.0,0.5974310951504334,0.676,100.0,
ornstein_scotus_sentiment,qwen3,250,0.0,0.6407674460466096,0.72,250.0,
ornstein_scotus_sentiment,qwen3,250,1.0,0.6410574460906014,0.73,250.0,
ornstein_scotus_sentiment,qwen3,250,2.0,0.6407526067112165,0.714,250.0,
ornstein_scotus_sentiment,qwen3,250,3.0,0.6498121022058142,0.722,250.0,
ornstein_scotus_sentiment,qwen3,250,4.0,0.6564531533049892,0.726,250.0,
ornstein_scotus_sentiment,qwen3,500,,,,,remainder smaller than requested size
ornstein_scotus_sentiment,qwen3,1000,,,,,remainder smaller than requested size
ornstein_scotus_sentiment,qwen3,2000,,,,,remainder smaller than requested size
wesleyan_creative_ads_2022,qwen3,50,0.0,0.5013537811819647,0.756,50.0,
wesleyan_creative_ads_2022,qwen3,50,1.0,0.5800722159656764,0.778,50.0,
wesleyan_creative_ads_2022,qwen3,50,2.0,0.4819941233734337,0.766,50.0,
wesleyan_creative_ads_2022,qwen3,50,3.0,0.4913543476462315,0.734,50.0,
wesleyan_creative_ads_2022,qwen3,50,4.0,0.5115826036841195,0.748,50.0,
wesleyan_creative_ads_2022,qwen3,100,0.0,0.46678019217761646,0.74,100.0,
wesleyan_creative_ads_2022,qwen3,100,1.0,0.5664307757544348,0.79,100.0,
wesleyan_creative_ads_2022,qwen3,100,2.0,0.5481435074969719,0.754,100.0,
wesleyan_creative_ads_2022,qwen3,100,3.0,0.4324217158489028,0.724,100.0,
wesleyan_creative_ads_2022,qwen3,100,4.0,0.42654922665583644,0.748,100.0,
wesleyan_creative_ads_2022,qwen3,250,0.0,0.5698289132251396,0.798,250.0,
wesleyan_creative_ads_2022,qwen3,250,1.0,0.5951298724835621,0.766,250.0,
wesleyan_creative_ads_2022,qwen3,250,2.0,0.5623255034080451,0.766,250.0,
wesleyan_creative_ads_2022,qwen3,250,3.0,0.5870102583117044,0.808,250.0,
wesleyan_creative_ads_2022,qwen3,250,4.0,0.5083821816637207,0.722,250.0,
wesleyan_creative_ads_2022,qwen3,500,0.0,0.6100496625048089,0.818,500.0,
wesleyan_creative_ads_2022,qwen3,500,1.0,0.6049904607633844,0.784,500.0,
wesleyan_creative_ads_2022,qwen3,500,2.0,0.6219204749438697,0.75,500.0,
wesleyan_creative_ads_2022,qwen3,500,3.0,0.6300810400496076,0.816,500.0,
wesleyan_creative_ads_2022,qwen3,500,4.0,0.61735966554714,0.822,500.0,
wesleyan_creative_ads_2022,qwen3,1000,0.0,0.6365200317048566,0.824,1000.0,
wesleyan_creative_ads_2022,qwen3,1000,1.0,0.6588548846613363,0.804,1000.0,
wesleyan_creative_ads_2022,qwen3,1000,2.0,0.6908615576386535,0.832,1000.0,
wesleyan_creative_ads_2022,qwen3,1000,3.0,0.6305158075719833,0.794,1000.0,
wesleyan_creative_ads_2022,qwen3,1000,4.0,0.6295469131048645,0.782,1000.0,
wesleyan_creative_ads_2022,qwen3,2000,0.0,0.6721699756182516,0.852,2000.0,
wesleyan_creative_ads_2022,qwen3,2000,1.0,0.6525731595460216,0.802,2000.0,
wesleyan_creative_ads_2022,qwen3,2000,2.0,0.6864276827206313,0.844,2000.0,
wesleyan_creative_ads_2022,qwen3,2000,3.0,0.7167579305539525,0.85,2000.0,
wesleyan_creative_ads_2022,qwen3,2000,4.0,0.6956785784678012,0.842,2000.0,
halterman_keith_bfrs,qwen3,50,0.0,0.475686671658437,0.612,50.0,
halterman_keith_bfrs,qwen3,50,1.0,0.47436987236910794,0.598,50.0,
halterman_keith_bfrs,qwen3,50,2.0,0.5473343112464285,0.632,50.0,
halterman_keith_bfrs,qwen3,50,3.0,0.4604148882123451,0.588,50.0,
halterman_keith_bfrs,qwen3,50,4.0,0.4854145522541331,0.576,50.0,
halterman_keith_bfrs,qwen3,100,0.0,0.5665093614230216,0.702,100.0,
halterman_keith_bfrs,qwen3,100,1.0,0.4746337663591025,0.662,100.0,
halterman_keith_bfrs,qwen3,100,2.0,0.5976355677189926,0.696,100.0,
halterman_keith_bfrs,qwen3,100,3.0,0.5996888264432124,0.73,100.0,
halterman_keith_bfrs,qwen3,100,4.0,0.6088538394059801,0.694,100.0,
halterman_keith_bfrs,qwen3,250,0.0,0.6157903828509775,0.748,250.0,
halterman_keith_bfrs,qwen3,250,1.0,0.5929210284392986,0.74,250.0,
halterman_keith_bfrs,qwen3,250,2.0,0.5731398354464795,0.724,250.0,
halterman_keith_bfrs,qwen3,250,3.0,0.6562353930959363,0.718,250.0,
halterman_keith_bfrs,qwen3,250,4.0,0.6083137524588794,0.708,250.0,
halterman_keith_bfrs,qwen3,500,0.0,0.6493445168679968,0.762,500.0,
halterman_keith_bfrs,qwen3,500,1.0,0.6087045767413415,0.762,500.0,
halterman_keith_bfrs,qwen3,500,2.0,0.6621264319053527,0.736,500.0,
halterman_keith_bfrs,qwen3,500,3.0,0.6243143054840933,0.734,500.0,
halterman_keith_bfrs,qwen3,500,4.0,0.6378430753371903,0.752,500.0,
halterman_keith_bfrs,qwen3,1000,0.0,0.6658078370096651,0.778,1000.0,
halterman_keith_bfrs,qwen3,1000,1.0,0.6475500198867479,0.744,1000.0,
halterman_keith_bfrs,qwen3,1000,2.0,0.636775354312031,0.746,1000.0,
halterman_keith_bfrs,qwen3,1000,3.0,0.7258552509916357,0.77,1000.0,
halterman_keith_bfrs,qwen3,1000,4.0,0.6796478566587792,0.73,1000.0,
halterman_keith_bfrs,qwen3,2000,0.0,0.7011244292105872,0.766,2000.0,
halterman_keith_bfrs,qwen3,2000,1.0,0.689469761968965,0.766,2000.0,
halterman_keith_bfrs,qwen3,2000,2.0,0.7127319153915956,0.78,2000.0,
halterman_keith_bfrs,qwen3,2000,3.0,0.71782739968511,0.774,2000.0,
halterman_keith_bfrs,qwen3,2000,4.0,0.6509927508497361,0.764,2000.0,
halterman_keith_cmp,qwen3,50,0.0,0.3555412488523405,0.424,50.0,
halterman_keith_cmp,qwen3,50,1.0,0.3605912565994846,0.434,50.0,
halterman_keith_cmp,qwen3,50,2.0,0.32424652512022967,0.358,50.0,
halterman_keith_cmp,qwen3,50,3.0,0.37755762755762756,0.422,50.0,
halterman_keith_cmp,qwen3,50,4.0,0.35794257564851373,0.422,50.0,
halterman_keith_cmp,qwen3,100,0.0,0.43094261330127054,0.448,100.0,
halterman_keith_cmp,qwen3,100,1.0,0.46355957944672743,0.5,100.0,
halterman_keith_cmp,qwen3,100,2.0,0.4292683631639303,0.476,100.0,
halterman_keith_cmp,qwen3,100,3.0,0.4438759403775307,0.49,100.0,
halterman_keith_cmp,qwen3,100,4.0,0.44141213362503046,0.466,100.0,
halterman_keith_cmp,qwen3,250,0.0,0.524228402515854,0.57,250.0,
halterman_keith_cmp,qwen3,250,1.0,0.4764419986620312,0.504,250.0,
halterman_keith_cmp,qwen3,250,2.0,0.5094241135822302,0.544,250.0,
halterman_keith_cmp,qwen3,250,3.0,0.49440186975694805,0.53,250.0,
halterman_keith_cmp,qwen3,250,4.0,0.5186264652830078,0.57,250.0,
halterman_keith_cmp,qwen3,500,0.0,0.5179738615116946,0.566,500.0,
halterman_keith_cmp,qwen3,500,1.0,0.5355208577555969,0.574,500.0,
halterman_keith_cmp,qwen3,500,2.0,0.5264771702231762,0.57,500.0,
halterman_keith_cmp,qwen3,500,3.0,0.5453215443288568,0.588,500.0,
halterman_keith_cmp,qwen3,500,4.0,0.5164135215118132,0.552,500.0,
halterman_keith_cmp,qwen3,1000,,,,,remainder smaller than requested size
halterman_keith_cmp,qwen3,2000,,,,,remainder smaller than requested size
mellon_bes_mii_2024,qwen3,50,0.0,0.48509788444392593,0.862,50.0,
mellon_bes_mii_2024,qwen3,50,1.0,0.45641191979639323,0.832,50.0,
mellon_bes_mii_2024,qwen3,50,2.0,0.51017689942365,0.876,50.0,
mellon_bes_mii_2024,qwen3,50,3.0,0.4504630043131713,0.844,50.0,
mellon_bes_mii_2024,qwen3,50,4.0,0.46589254127043905,0.85,50.0,
mellon_bes_mii_2024,qwen3,100,0.0,0.4791081392884606,0.878,100.0,
mellon_bes_mii_2024,qwen3,100,1.0,0.4975714916015174,0.894,100.0,
mellon_bes_mii_2024,qwen3,100,2.0,0.47300036605555906,0.866,100.0,
mellon_bes_mii_2024,qwen3,100,3.0,0.4651964480589875,0.858,100.0,
mellon_bes_mii_2024,qwen3,100,4.0,0.4977790200055724,0.894,100.0,
mellon_bes_mii_2024,qwen3,250,0.0,0.5107946234146096,0.914,250.0,
mellon_bes_mii_2024,qwen3,250,1.0,0.5354292896163748,0.912,250.0,
mellon_bes_mii_2024,qwen3,250,2.0,0.5342686943674876,0.924,250.0,
mellon_bes_mii_2024,qwen3,250,3.0,0.5547725894644555,0.924,250.0,
mellon_bes_mii_2024,qwen3,250,4.0,0.53680328917966,0.92,250.0,
mellon_bes_mii_2024,qwen3,500,0.0,0.5340919118088089,0.902,500.0,
mellon_bes_mii_2024,qwen3,500,1.0,0.5340919118088089,0.902,500.0,
mellon_bes_mii_2024,qwen3,500,2.0,0.5340919118088089,0.902,500.0,
mellon_bes_mii_2024,qwen3,500,3.0,0.5340919118088089,0.902,500.0,
mellon_bes_mii_2024,qwen3,500,4.0,0.5340919118088089,0.902,500.0,
mellon_bes_mii_2024,qwen3,1000,,,,,remainder smaller than requested size
mellon_bes_mii_2024,qwen3,2000,,,,,remainder smaller than requested size
osnabruegge_cross_domain_topic,qwen3,50,0.0,0.3784683409715227,0.466,50.0,
osnabruegge_cross_domain_topic,qwen3,50,1.0,0.36184282175435545,0.452,50.0,
osnabruegge_cross_domain_topic,qwen3,50,2.0,0.35127418222721085,0.454,50.0,
osnabruegge_cross_domain_topic,qwen3,50,3.0,0.3952097622280266,0.444,50.0,
osnabruegge_cross_domain_topic,qwen3,50,4.0,0.3675542609039497,0.418,50.0,
osnabruegge_cross_domain_topic,qwen3,100,0.0,0.4292250238284052,0.476,100.0,
osnabruegge_cross_domain_topic,qwen3,100,1.0,0.32541704606818816,0.486,100.0,
osnabruegge_cross_domain_topic,qwen3,100,2.0,0.3886093774666695,0.506,100.0,
osnabruegge_cross_domain_topic,qwen3,100,3.0,0.3628376099734069,0.488,100.0,
osnabruegge_cross_domain_topic,qwen3,100,4.0,0.4572317045756169,0.496,100.0,
osnabruegge_cross_domain_topic,qwen3,250,0.0,0.5189478370139606,0.55,250.0,
osnabruegge_cross_domain_topic,qwen3,250,1.0,0.5031954561911216,0.562,250.0,
osnabruegge_cross_domain_topic,qwen3,250,2.0,0.49045120991915403,0.574,250.0,
osnabruegge_cross_domain_topic,qwen3,250,3.0,0.46024612326111547,0.502,250.0,
osnabruegge_cross_domain_topic,qwen3,250,4.0,0.4745487220716056,0.522,250.0,
osnabruegge_cross_domain_topic,qwen3,500,0.0,0.556847554988876,0.594,500.0,
osnabruegge_cross_domain_topic,qwen3,500,1.0,0.5049498008674516,0.542,500.0,
osnabruegge_cross_domain_topic,qwen3,500,2.0,0.5373147034835708,0.57,500.0,
osnabruegge_cross_domain_topic,qwen3,500,3.0,0.5233745518889881,0.552,500.0,
osnabruegge_cross_domain_topic,qwen3,500,4.0,0.5212206140996509,0.568,500.0,
osnabruegge_cross_domain_topic,qwen3,1000,0.0,0.5972703302680871,0.62,1000.0,
osnabruegge_cross_domain_topic,qwen3,1000,1.0,0.5739895796981055,0.598,1000.0,
osnabruegge_cross_domain_topic,qwen3,1000,2.0,0.5725008186438024,0.61,1000.0,
osnabruegge_cross_domain_topic,qwen3,1000,3.0,0.5314797420100787,0.59,1000.0,
osnabruegge_cross_domain_topic,qwen3,1000,4.0,0.5770037295284274,0.602,1000.0,
osnabruegge_cross_domain_topic,qwen3,2000,0.0,0.597904744548148,0.62,2000.0,
osnabruegge_cross_domain_topic,qwen3,2000,1.0,0.6194671867467048,0.628,2000.0,
osnabruegge_cross_domain_topic,qwen3,2000,2.0,0.6125048000262815,0.634,2000.0,
osnabruegge_cross_domain_topic,qwen3,2000,3.0,0.6030518684031598,0.612,2000.0,
osnabruegge_cross_domain_topic,qwen3,2000,4.0,0.6151805765020848,0.63,2000.0,
rheault_line_of_fire_incivility,qwen3,50,0.0,0.4791666666666667,0.9,50.0,
rheault_line_of_fire_incivility,qwen3,50,1.0,0.6101694915254238,0.908,50.0,
rheault_line_of_fire_incivility,qwen3,50,2.0,0.5510204081632653,0.912,50.0,
rheault_line_of_fire_incivility,qwen3,50,3.0,0.5818181818181818,0.908,50.0,
rheault_line_of_fire_incivility,qwen3,50,4.0,0.425,0.908,50.0,
rheault_line_of_fire_incivility,qwen3,100,0.0,0.6229508196721312,0.908,100.0,
rheault_line_of_fire_incivility,qwen3,100,1.0,0.6101694915254238,0.908,100.0,
rheault_line_of_fire_incivility,qwen3,100,2.0,0.6142857142857143,0.892,100.0,
rheault_line_of_fire_incivility,qwen3,100,3.0,0.6,0.904,100.0,
rheault_line_of_fire_incivility,qwen3,100,4.0,0.5694444444444444,0.876,100.0,
rheault_line_of_fire_incivility,qwen3,250,0.0,0.5578231292517006,0.87,250.0,
rheault_line_of_fire_incivility,qwen3,250,1.0,0.5753424657534246,0.876,250.0,
rheault_line_of_fire_incivility,qwen3,250,2.0,0.5897435897435898,0.872,250.0,
rheault_line_of_fire_incivility,qwen3,250,3.0,0.6086956521739131,0.892,250.0,
rheault_line_of_fire_incivility,qwen3,250,4.0,0.5850340136054422,0.878,250.0,
rheault_line_of_fire_incivility,qwen3,500,0.0,0.6518518518518519,0.906,500.0,
rheault_line_of_fire_incivility,qwen3,500,1.0,0.639344262295082,0.912,500.0,
rheault_line_of_fire_incivility,qwen3,500,2.0,0.6515151515151515,0.908,500.0,
rheault_line_of_fire_incivility,qwen3,500,3.0,0.6376811594202898,0.9,500.0,
rheault_line_of_fire_incivility,qwen3,500,4.0,0.6046511627906976,0.898,500.0,
rheault_line_of_fire_incivility,qwen3,1000,0.0,0.6231884057971014,0.896,1000.0,
rheault_line_of_fire_incivility,qwen3,1000,1.0,0.6174496644295302,0.886,1000.0,
rheault_line_of_fire_incivility,qwen3,1000,2.0,0.6511627906976745,0.91,1000.0,
rheault_line_of_fire_incivility,qwen3,1000,3.0,0.6766917293233082,0.914,1000.0,
rheault_line_of_fire_incivility,qwen3,1000,4.0,0.6029411764705882,0.892,1000.0,
rheault_line_of_fire_incivility,qwen3,2000,0.0,0.6301369863013698,0.892,2000.0,
rheault_line_of_fire_incivility,qwen3,2000,1.0,0.6428571428571429,0.9,2000.0,
rheault_line_of_fire_incivility,qwen3,2000,2.0,0.6388888888888888,0.896,2000.0,
rheault_line_of_fire_incivility,qwen3,2000,3.0,0.656934306569343,0.906,2000.0,
rheault_line_of_fire_incivility,qwen3,2000,4.0,0.6764705882352942,0.912,2000.0,
haunss_papea_fgz_forms,qwen3,50,0.0,0.8412613494712031,0.894,50.0,
haunss_papea_fgz_forms,qwen3,50,1.0,0.842162755904914,0.892,50.0,
haunss_papea_fgz_forms,qwen3,50,2.0,0.8631377333625048,0.906,50.0,
haunss_papea_fgz_forms,qwen3,50,3.0,0.8440139237173242,0.898,50.0,
haunss_papea_fgz_forms,qwen3,50,4.0,0.7939592348369456,0.876,50.0,
haunss_papea_fgz_forms,qwen3,100,0.0,0.8917465644385286,0.902,100.0,
haunss_papea_fgz_forms,qwen3,100,1.0,0.8327403084692442,0.9,100.0,
haunss_papea_fgz_forms,qwen3,100,2.0,0.8665573633235647,0.896,100.0,
haunss_papea_fgz_forms,qwen3,100,3.0,0.8622053906523097,0.888,100.0,
haunss_papea_fgz_forms,qwen3,100,4.0,0.8917928155280118,0.922,100.0,
haunss_papea_fgz_forms,qwen3,250,0.0,0.9271475416979879,0.944,250.0,
haunss_papea_fgz_forms,qwen3,250,1.0,0.9120451970552974,0.936,250.0,
haunss_papea_fgz_forms,qwen3,250,2.0,0.9179310599203976,0.928,250.0,
haunss_papea_fgz_forms,qwen3,250,3.0,0.8664192048759356,0.898,250.0,
haunss_papea_fgz_forms,qwen3,250,4.0,0.890811284443695,0.906,250.0,
haunss_papea_fgz_forms,qwen3,500,0.0,0.9305877183768025,0.946,500.0,
haunss_papea_fgz_forms,qwen3,500,1.0,0.9275582163048923,0.946,500.0,
haunss_papea_fgz_forms,qwen3,500,2.0,0.9350128041927762,0.94,500.0,
haunss_papea_fgz_forms,qwen3,500,3.0,0.923050715509693,0.94,500.0,
haunss_papea_fgz_forms,qwen3,500,4.0,0.936820282947702,0.944,500.0,
haunss_papea_fgz_forms,qwen3,1000,0.0,0.9390248626389223,0.948,1000.0,
haunss_papea_fgz_forms,qwen3,1000,1.0,0.926560208000919,0.942,1000.0,
haunss_papea_fgz_forms,qwen3,1000,2.0,0.9367802855011694,0.95,1000.0,
haunss_papea_fgz_forms,qwen3,1000,3.0,0.9356521124497623,0.946,1000.0,
haunss_papea_fgz_forms,qwen3,1000,4.0,0.9323485098411336,0.946,1000.0,
haunss_papea_fgz_forms,qwen3,2000,0.0,0.9388483867501999,0.95,2000.0,
haunss_papea_fgz_forms,qwen3,2000,1.0,0.9333318694645577,0.946,2000.0,
haunss_papea_fgz_forms,qwen3,2000,2.0,0.9456630536259178,0.954,2000.0,
haunss_papea_fgz_forms,qwen3,2000,3.0,0.9374478648439041,0.95,2000.0,
haunss_papea_fgz_forms,qwen3,2000,4.0,0.9347542894439914,0.948,2000.0,
douglass_icbe_sentence_event_type,qwen3,50,0.0,0.3017311497294334,0.34,50.0,
douglass_icbe_sentence_event_type,qwen3,50,1.0,0.2996379914018526,0.354,50.0,
douglass_icbe_sentence_event_type,qwen3,50,2.0,0.335805007680129,0.37,50.0,
douglass_icbe_sentence_event_type,qwen3,50,3.0,0.28992775116072267,0.342,50.0,
douglass_icbe_sentence_event_type,qwen3,50,4.0,0.3572864884774515,0.422,50.0,
douglass_icbe_sentence_event_type,qwen3,100,0.0,0.4293685327806413,0.484,100.0,
douglass_icbe_sentence_event_type,qwen3,100,1.0,0.32306781543641244,0.374,100.0,
douglass_icbe_sentence_event_type,qwen3,100,2.0,0.41307630282047525,0.468,100.0,
douglass_icbe_sentence_event_type,qwen3,100,3.0,0.35269737661165557,0.382,100.0,
douglass_icbe_sentence_event_type,qwen3,100,4.0,0.3465016114494851,0.382,100.0,
douglass_icbe_sentence_event_type,qwen3,250,0.0,0.44941585472159407,0.496,250.0,
douglass_icbe_sentence_event_type,qwen3,250,1.0,0.4639586926996029,0.49,250.0,
douglass_icbe_sentence_event_type,qwen3,250,2.0,0.42949329207285913,0.472,250.0,
douglass_icbe_sentence_event_type,qwen3,250,3.0,0.46567413768685684,0.514,250.0,
douglass_icbe_sentence_event_type,qwen3,250,4.0,0.5011154518525949,0.522,250.0,
douglass_icbe_sentence_event_type,qwen3,500,0.0,0.5042172174615585,0.554,500.0,
douglass_icbe_sentence_event_type,qwen3,500,1.0,0.4773492895381878,0.522,500.0,
douglass_icbe_sentence_event_type,qwen3,500,2.0,0.5260023003981206,0.57,500.0,
douglass_icbe_sentence_event_type,qwen3,500,3.0,0.4753895239137977,0.526,500.0,
douglass_icbe_sentence_event_type,qwen3,500,4.0,0.5070041121193195,0.546,500.0,
douglass_icbe_sentence_event_type,qwen3,1000,0.0,0.5444694485255207,0.586,1000.0,
douglass_icbe_sentence_event_type,qwen3,1000,1.0,0.5333968577001738,0.568,1000.0,
douglass_icbe_sentence_event_type,qwen3,1000,2.0,0.5480640078536348,0.582,1000.0,
