source_id,source_crisno,source_sentence_number,source_crisis_title_raw,crisis_title,text,source_type_string,gt_event_type
164_19,164,19,CRISNO 164 ABORTIVE COUP-INDONESIA,ABORTIVE COUP-INDONESIA,By mid-April two key rebel towns had fallen.,action,Action
164_20,164,20,CRISNO 164 ABORTIVE COUP-INDONESIA,ABORTIVE COUP-INDONESIA,"After the fall of Padang, the U.S. began an effort to improve relations with Indonesia.",thought,Thought
164_21,164,21,CRISNO 164 ABORTIVE COUP-INDONESIA,ABORTIVE COUP-INDONESIA,U.S. Ambassador Jones's initiatives met with positive Indonesian responses.,,No Event
164_22,164,22,CRISNO 164 ABORTIVE COUP-INDONESIA,ABORTIVE COUP-INDONESIA,"On 20 May, in the form of an official statement, Secretary of State Dulles formally reiterated the U.S. position of not being involved in what was an internal Indonesian affair.",speech,Speech
164_23,164,23,CRISNO 164 ABORTIVE COUP-INDONESIA,ABORTIVE COUP-INDONESIA,The statement set in motion a chain of events pointing to a rapprochement between the two states and marks the end of Indonesia's crisis.,thought,Thought
164_24,164,24,CRISNO 164 ABORTIVE COUP-INDONESIA,ABORTIVE COUP-INDONESIA,The USSR provided political support to Indonesia during this crisis.,action,Action
164_25,164,25,CRISNO 164 ABORTIVE COUP-INDONESIA,ABORTIVE COUP-INDONESIA,The UN was not involved.,,No Event
164_26,164,26,CRISNO 164 ABORTIVE COUP-INDONESIA,ABORTIVE COUP-INDONESIA,The rebellion lasted until 4 April 1961.,action,Action
164_27,164,27,CRISNO 164 ABORTIVE COUP-INDONESIA,ABORTIVE COUP-INDONESIA,There was guerrilla warfare with several thousand casualties.,,No Event
42_1,42,1,CRISNO 42 LETICIA,LETICIA,A crisis for Colombia and Peru over Leticia began on 8 September 1932 and terminated on 25 May 1933.,,No Event
42_2,42,2,CRISNO 42 LETICIA,LETICIA,and The frontier between Colombia and Peru was in dispute until 1922 when the Salomon-Lozano Treaty was signed by the two states.,action,Action
42_3,42,3,CRISNO 42 LETICIA,LETICIA,The agreement provided that Peru recognize Colombian sovereignty over the Leticia Trapeze -- a narrow strip of territory running from the Putumayo River to the Amazon.,,No Event
42_4,42,4,CRISNO 42 LETICIA,LETICIA,"During the night of 31 August-l September 1932 a group of armed Peruvians attacked and occupied the river port of Leticia, the capital of the Colombian district of the Amazon.",action,Action
42_5,42,5,CRISNO 42 LETICIA,LETICIA,"Colombian troops were dispatched to repel the ""aggressors."" Peru denied responsibility for the attack, citing communists and enemies of the Peruvian government as having carried out the incursion.",action|speech,Mixed
42_6,42,6,CRISNO 42 LETICIA,LETICIA,"However, rumors of Peruvian President Sanchez Cerro's support for the seizure, as well as for a revision of the Salomon-Lozano Treaty, began to spread.",thought,Thought
42_7,42,7,CRISNO 42 LETICIA,LETICIA,On 8 September 1932 the U.S. ambassador to Colombia reported to the State Department that Colombian President Olaya perceived the possibility of war with Peru over the latter's support for the occupiers of Leticia.,thought,Thought
42_8,42,8,CRISNO 42 LETICIA,LETICIA,"With a view to restoring its control over Leticia, Colombia responded in early September 1932 by sending a small naval expedition to retake the territory.",action|thought,Mixed
42_9,42,9,CRISNO 42 LETICIA,LETICIA,"The expedition had to pass through the Panama Canal and then 2,000 miles up the Amazon River.",,No Event
42_10,42,10,CRISNO 42 LETICIA,LETICIA,On 22 September the government of Colombia issued a special loan for national defense.,,No Event
42_11,42,11,CRISNO 42 LETICIA,LETICIA,During November Ecuador sent a Note to the League of Nations about the conflict between Colombia and Peru.,speech,Speech
42_12,42,12,CRISNO 42 LETICIA,LETICIA,"On 27 December 1932 the Colombian expedition arrived at the mouth of the Amazon River, triggering a crisis for Peru.",thought,Thought
42_13,42,13,CRISNO 42 LETICIA,LETICIA,At that time Peruvian reinforcements were reported to be assembling near Leticia.,action,Action
42_14,42,14,CRISNO 42 LETICIA,LETICIA,Colombia formally asked for League of Nations intervention on 2 January 1933 and again requested a special session on the 21st.,speech,Speech
42_15,42,15,CRISNO 42 LETICIA,LETICIA,"On 6 February General Victor Ramos, commander of the Peruvian forces, cabled a warning to the Colombian consul in Lima stating that the entry of the Colombian flotilla into the Amazon was a hostile act and he had therefore ordered military measures to prevent its arrival at Leticia.",speech,Speech
42_16,42,16,CRISNO 42 LETICIA,LETICIA,"Following a request by the commander of the Colombian expedition to allow him to occupy Tarpaca peacefully, Peru bombed the Colombian gunboats on 14 February 1933.",action|speech,Mixed
42_17,42,17,CRISNO 42 LETICIA,LETICIA,Tarpaca was captured the following day by Colombian forces.,action,Action
42_18,42,18,CRISNO 42 LETICIA,LETICIA,During March and April Colombian troops captured several Peruvian posts.,action,Action
42_19,42,19,CRISNO 42 LETICIA,LETICIA,The assassination of President Cerro in Peru on 30 April decreased the possibility of further military clashes.,action,Action
42_20,42,20,CRISNO 42 LETICIA,LETICIA,"On 2 May direct negotiations began between the new Peruvian President, Benavides, and his close personal friend, Alfonso Lopez, a leader of the Liberal Party in Colombia, who was to become its President the following year.",action,Action
42_21,42,21,CRISNO 42 LETICIA,LETICIA,"On the 10th the League Council's advisory committee submitted a new proposal, and on 25 May 1933 an agreement was signed by representatives of Colombia and Peru, transferring control of Leticia from the Peruvian forces to a League of Nations commission of three for one year, terminating the crisis for both actors.",thought,Thought
42_22,42,22,CRISNO 42 LETICIA,LETICIA,The League of Nations played a crucial role in crisis abatement.,action,Action
42_23,42,23,CRISNO 42 LETICIA,LETICIA,The Council discussed the Leticia issue on 24 and 26 January 1933 and sent Notes to both parties.,action|speech,Mixed
42_24,42,24,CRISNO 42 LETICIA,LETICIA,On 13 March it unanimously adopted a report calling on Peru to withdraw all its forces from Leticia and all support from Peruvian occupiers of Colombia's territory -- as a prelude to negotiations on Peru's grievances.,speech,Speech
42_25,42,25,CRISNO 42 LETICIA,LETICIA,The U.S. responded to a Colombian appeal by sending a Note to Peru requesting that it allow the restoration of Colombian control over Leticia.,speech,Speech
42_26,42,26,CRISNO 42 LETICIA,LETICIA,"Later, in March 1933, the U.S. participated in the deliberations of the League of Nations Advisory Committee.",action,Action
42_27,42,27,CRISNO 42 LETICIA,LETICIA,"The U.K. also applied pressure, mostly on Peru, to cooperate with the League.",speech,Speech
42_28,42,28,CRISNO 42 LETICIA,LETICIA,"Brazil tried to mediate, unsuccessfully.",,No Event
196_1,196,1,CRISNO 196 CUBAN MISSILES,CUBAN MISSILES,"There were three crisis actors in the most ominous of all East/West crises, the United States, Cuba, and the Soviet Union.",,No Event
196_2,196,2,CRISNO 196 CUBAN MISSILES,CUBAN MISSILES,The crisis lasted from 16 October to 20 November 1962.,,No Event
196_3,196,3,CRISNO 196 CUBAN MISSILES,CUBAN MISSILES,"After the 1961 Bay of Pigs abortive invasion, Cuba became one of the central issues of U.S. foreign policy: the U.S. viewed Cuba as a potential source of communist-oriented subversive activities in Latin America.",,No Event
196_4,196,4,CRISNO 196 CUBAN MISSILES,CUBAN MISSILES,"When the U.S. discovered the presence of Soviet military personnel in Cuba on 7 September 1962 it called up 150,000 reservists.",action|thought,Mixed
196_5,196,5,CRISNO 196 CUBAN MISSILES,CUBAN MISSILES,The Soviets mobilized on the 11th.,action,Action
196_6,196,6,CRISNO 196 CUBAN MISSILES,CUBAN MISSILES,"Although persistent rumors circulated concerning the deployment of Soviet missiles in Cuba, Soviet Ambassador Anatoly Dobrynin denied the charges, and Premier Khrushchev gave his personal assurances that ground-to-ground missiles would never be shipped to Cuba.",speech,Speech
196_7,196,7,CRISNO 196 CUBAN MISSILES,CUBAN MISSILES,On the eve of the Missile crisis Washington did not openly challenge the Soviet statements concerning the defensive character of the weapons being sent to Cuba.,,No Event
196_8,196,8,CRISNO 196 CUBAN MISSILES,CUBAN MISSILES,The U.S. crisis was triggered on 16 October when the CIA presented to President Kennedy photographic evidence of the presence of Soviet missiles in Cuba.,thought,Thought
196_9,196,9,CRISNO 196 CUBAN MISSILES,CUBAN MISSILES,The U.S. responded with a decision on the 20th to blockade all offensive military equipment en route to Cuba.,action,Action
196_10,196,10,CRISNO 196 CUBAN MISSILES,CUBAN MISSILES,"When this was announced on 22 October, a crisis was triggered for Cuba and the USSR. An urgent meeting of the UN Security Council was requested by both the U.S. and Cuba on the 22nd, and by the USSR the next day.",speech|thought,Mixed
196_11,196,11,CRISNO 196 CUBAN MISSILES,CUBAN MISSILES,"On the 23rd as well, the Soviets accused the United States of violating the UN Charter and announced an alert of its armed forces and those of the Warsaw Pact members.",action|speech,Mixed
196_12,196,12,CRISNO 196 CUBAN MISSILES,CUBAN MISSILES,That day Cuba responded by condemning the U.S. blockade and declaring its willingness to fight.,speech,Speech
196_13,196,13,CRISNO 196 CUBAN MISSILES,CUBAN MISSILES,"A resolution was adopted on the 23rd by the OAS calling for the withdrawal of the missiles from Cuba and recommending that member-states take all measures, including the use of force, to ensure that the government of Cuba would not continue to receive military material.",speech,Speech
196_14,196,14,CRISNO 196 CUBAN MISSILES,CUBAN MISSILES,On 24 October the Security Council adopted a resolution requesting the Secretary-General to confer with the parties.,speech,Speech
196_15,196,15,CRISNO 196 CUBAN MISSILES,CUBAN MISSILES,"On that same day, U Thant began mediation by sending identical letters to Khrushchev and Kennedy which proposed that the Soviet Union and the United States enter into negotiations, during which period both the shipment of arms and the quarantine would be suspended.",action,Action
196_16,196,16,CRISNO 196 CUBAN MISSILES,CUBAN MISSILES,Moscow's major response to the crisis was a letter from Khrushchev to Kennedy on 26 October offering the removal of Soviet offensive weapons from Cuba and the cessation of further shipments in exchange for an end to the U.S. quarantine and a U.S. assurance that it would not invade Cuba.,speech,Speech
196_17,196,17,CRISNO 196 CUBAN MISSILES,CUBAN MISSILES,The situation was exacerbated on the 27th when a U.S. U-2 surveillance plane was shot down.,action,Action
196_18,196,18,CRISNO 196 CUBAN MISSILES,CUBAN MISSILES,That day another Khrushchev letter was received in Washington offering the removal of Soviet missiles from Cuba in exchange for the removal of U.S. missiles from Turkey.,speech,Speech
196_19,196,19,CRISNO 196 CUBAN MISSILES,CUBAN MISSILES,U.S. mobilization and aerial reconnaissance flights were stepped up.,action,Action
196_20,196,20,CRISNO 196 CUBAN MISSILES,CUBAN MISSILES,And on the 27th President Kennedy sent the Soviet premier an acceptance of the proposals contained in the letter of 26 October while making no reference to Khrushchev's second letter of the 27th.,speech,Speech
196_21,196,21,CRISNO 196 CUBAN MISSILES,CUBAN MISSILES,The following day Khrushchev notified the U.S. government that he had ordered work on the missile sites in Cuba stopped.,speech,Speech
196_22,196,22,CRISNO 196 CUBAN MISSILES,CUBAN MISSILES,He agreed to ship the missiles back to the USSR and promised that UN observers would be allowed to verify the dismantling of the sites.,,No Event
196_23,196,23,CRISNO 196 CUBAN MISSILES,CUBAN MISSILES,At the same time he warned Washington that U-2 reconnaissance flights over Cuba must be stopped as well.,speech,Speech
196_24,196,24,CRISNO 196 CUBAN MISSILES,CUBAN MISSILES,The crisis continued at a lower level of intensity for several more weeks due to Cuban President Castro's demands concerning a U.S. pledge not to invade his country.,speech,Speech
196_25,196,25,CRISNO 196 CUBAN MISSILES,CUBAN MISSILES,"On 30 October U Thant began talks in Havana, and Kennedy agreed to lift the quarantine for the duration of the talks.",action,Action
196_26,196,26,CRISNO 196 CUBAN MISSILES,CUBAN MISSILES,"When Cuba rejected UN inspection, the U.S. resumed the quarantine and air surveillance.",action|speech,Mixed
196_27,196,27,CRISNO 196 CUBAN MISSILES,CUBAN MISSILES,The Kremlin sent Deputy Premier Anastas Mikoyan to Cuba on 2 November to try to persuade Castro to allow UN inspection.,action,Action
196_28,196,28,CRISNO 196 CUBAN MISSILES,CUBAN MISSILES,"When this proved unsuccessful, a U.S.-USSR agreement was reached on 7 November allowing U.S. inspection and interception of Soviet ships leaving Cuba and the photographing of the missiles.",action,Action
196_29,196,29,CRISNO 196 CUBAN MISSILES,CUBAN MISSILES,The following day the superpowers negotiated the removal of the IL-28 bombers which Castro had claimed were Cuban property.,action,Action
196_30,196,30,CRISNO 196 CUBAN MISSILES,CUBAN MISSILES,"Castro's agreement was conveyed to the U.S. on 20 November 1962, which terminated the Missile crisis for all three actors.",thought,Thought
196_31,196,31,CRISNO 196 CUBAN MISSILES,CUBAN MISSILES,"The U.S. naval quarantine was lifted immediately, but aerial surveillance continued until the agreement was completely carried out.",action,Action
196_32,196,32,CRISNO 196 CUBAN MISSILES,CUBAN MISSILES,U Thants mediation efforts had an important impact on crisis resolution.,,No Event
196_33,196,33,CRISNO 196 CUBAN MISSILES,CUBAN MISSILES,The acting Secretary-General managed to act as a facilitator and kept lines of communication open by contacting both parties.,,No Event
196_34,196,34,CRISNO 196 CUBAN MISSILES,CUBAN MISSILES,He also used formulative mediation by highlighting common interests and making substantive suggestions to both sides for diffusing the crisis.,,No Event
196_35,196,35,CRISNO 196 CUBAN MISSILES,CUBAN MISSILES,"Overall, U Thants mediation effort was a significant factor in easing tensions between crisis actors which contributed to a more rapid termination of the crisis.",,No Event
196_36,196,36,CRISNO 196 CUBAN MISSILES,CUBAN MISSILES,"Three regional/security organizations were involved in this crisis -- the OAS, NATO, and the WTO. Kennedy sent Dean Acheson to Paris on 23 October to brief NATO's Permanent Council on U.S. measures against Cuba.",,No Event
196_37,196,37,CRISNO 196 CUBAN MISSILES,CUBAN MISSILES,"Involved were members of the Warsaw Pact, whose forces were put on alert, and Latin American states which offered military assistance to the U.S.",,No Event
141_1,141,1,CRISNO 141 EAST GERMAN UPRISING,EAST GERMAN UPRISING,A crisis for the Soviet Union over East German riots began on 17 June and terminated on 11 July 1953.,,No Event
141_2,141,2,CRISNO 141 EAST GERMAN UPRISING,EAST GERMAN UPRISING,The East German uprising in 1953 can be traced to a hard-line decision of the ruling Socialist Unity Party: higher taxes; priority to heavy industry; collectivization of agriculture; hostility to the churches; and remilitarization.,action,Action
141_3,141,3,CRISNO 141 EAST GERMAN UPRISING,EAST GERMAN UPRISING,Dissent grew steadily.,,No Event
141_4,141,4,CRISNO 141 EAST GERMAN UPRISING,EAST GERMAN UPRISING,"Following Stalin's death in March 1953, greater attention was devoted to consumer goods by the USSR, and the DDR's Walter Ulbricht was advised to follow suit.",,No Event
141_5,141,5,CRISNO 141 EAST GERMAN UPRISING,EAST GERMAN UPRISING,"Nevertheless, on 28 May 1953 an increased production quota system was introduced in East Germany.",action,Action
141_6,141,6,CRISNO 141 EAST GERMAN UPRISING,EAST GERMAN UPRISING,"This prompted a strike by construction workers on 16 June, a spontaneous demonstration directed against the ruling party on strictly economic grounds.",action,Action
141_7,141,7,CRISNO 141 EAST GERMAN UPRISING,EAST GERMAN UPRISING,"Toward the end of the day, although the government had agreed to roll back the new quotas, a general strike was called for the following day.",speech,Speech
141_8,141,8,CRISNO 141 EAST GERMAN UPRISING,EAST GERMAN UPRISING,"On 17 June 1953 workers went on strike and marched in East Berlin and 400 other towns in the DDR. Economic grievances took on political overtones, while throngs of people rioted.",action,Action
141_9,141,9,CRISNO 141 EAST GERMAN UPRISING,EAST GERMAN UPRISING,This triggered an external crisis for the USSR.,thought,Thought
141_10,141,10,CRISNO 141 EAST GERMAN UPRISING,EAST GERMAN UPRISING,"A state of emergency was declared in the DDR, and martial law was introduced.",action,Action
141_11,141,11,CRISNO 141 EAST GERMAN UPRISING,EAST GERMAN UPRISING,"Moscow's response, the same day, was to send tanks and Soviet troops stationed in bases inside the DDR to East Berlin where they were supported by East German paramilitary police.",action,Action
141_12,141,12,CRISNO 141 EAST GERMAN UPRISING,EAST GERMAN UPRISING,"These forces succeeded in quelling the rebellion, after 125 died and thousands were arrested.",action,Action
141_13,141,13,CRISNO 141 EAST GERMAN UPRISING,EAST GERMAN UPRISING,"The Soviets perceived these riots as a dangerous precedent -- as it was to be for the Hungarian Uprising in 1956-57, and diplomatic notes on the need to cease hostilities, as well as urging German reunification.",speech|thought,Mixed
141_14,141,14,CRISNO 141 EAST GERMAN UPRISING,EAST GERMAN UPRISING,The UN was not involved in this crisis.,,No Event
325_1,325,1,CRISNO 325 ESSEQUIBO II,ESSEQUIBO II,Guyana and Venezuela experienced another crisis over a large tract of disputed territory from 4 April 1981 to March 1983.,,No Event
325_2,325,2,CRISNO 325 ESSEQUIBO II,ESSEQUIBO II,"Following the 1968 crisis, there were minor military incidents in 1969 and 1970, until Guyana, Venezuela, and the U.K. formally agreed to a 12-year ""cooling-off"" period, in the Port of Spain Protocol on 18 June 1970.",,No Event
325_3,325,3,CRISNO 325 ESSEQUIBO II,ESSEQUIBO II,"Thereafter the boundary dispute was quiescent for a decade, until the approach of the expiry date.",,No Event
325_4,325,4,CRISNO 325 ESSEQUIBO II,ESSEQUIBO II,"A crisis for Guyana was triggered by a Venezuelan government statement on 4 April 1981: it did not intend to renew the Port of Spain Protocol in 1982, and it opposed Guyana's Upper Mazaruni hydroelectric project in the disputed territory.",speech|thought,Mixed
325_5,325,5,CRISNO 325 ESSEQUIBO II,ESSEQUIBO II,"Whatever Venezuela's motives for this statement -- to create an image of resoluteness for President Herrera before the 1983 presidential election; to exploit the economic and political vulnerability of Guyana; to strengthen its links with the U.S., since both Venezuela and the United States were concerned about Cuba's influence in the region; and/or to respond to pressure from Venezuelan nationalists to adopt a hard line -- Guyana perceived a serious threat to its territorial integrity.",thought,Thought
325_6,325,6,CRISNO 325 ESSEQUIBO II,ESSEQUIBO II,"It responded the same day by reaffirming its determination to carry on with the project, which was ""crucial to the development of the nation.""",speech,Speech
325_7,325,7,CRISNO 325 ESSEQUIBO II,ESSEQUIBO II,"And on territory, Guyana President Burnham stated that his country would ""not cede an inch.""",speech,Speech
325_8,325,8,CRISNO 325 ESSEQUIBO II,ESSEQUIBO II,"In fact, during 1981 the crisis was characterized by a war of words and a diplomatic battle.",,No Event
325_9,325,9,CRISNO 325 ESSEQUIBO II,ESSEQUIBO II,Venezuela's ambassador to the OAS assured his colleagues in late May that there would be no armed conflict.,speech,Speech
325_10,325,10,CRISNO 325 ESSEQUIBO II,ESSEQUIBO II,"More important, President Herrera declared on 2 June that Venezuela was committed to ""keeping alive the historic claim to the Essequibo territory"" and that his country would not renew the Port of Spain Protocol, which was due to expire on 18 June 1982.",speech,Speech
325_11,325,11,CRISNO 325 ESSEQUIBO II,ESSEQUIBO II,The U.K. was formally notified of Venezuela's position on the Protocol on 11 December 1981.,speech|thought,Mixed
325_12,325,12,CRISNO 325 ESSEQUIBO II,ESSEQUIBO II,"Apart from the war of words, there were other indicators of growing tension.",,No Event
325_13,325,13,CRISNO 325 ESSEQUIBO II,ESSEQUIBO II,"In early June 1981, anticipating a possible internal or external attack, Guyana held a 10-day military exercise named ""Operation Thunderflash.""",action,Action
325_14,325,14,CRISNO 325 ESSEQUIBO II,ESSEQUIBO II,"Until the late summer of 1981 Venezuela remained the crisis initiator, putting growing pressure on a much weaker adversary.",,No Event
325_15,325,15,CRISNO 325 ESSEQUIBO II,ESSEQUIBO II,"However, at the end of August a new catalyst emerged.",,No Event
325_16,325,16,CRISNO 325 ESSEQUIBO II,ESSEQUIBO II,Grave concern was expressed by Venezuela's foreign minister about the possible transfer of thousands of Cuban troops then in Angola to Guyana in the near future.,thought,Thought
325_17,325,17,CRISNO 325 ESSEQUIBO II,ESSEQUIBO II,"That possibility triggered a crisis for Venezuela, especially since Cuba, alone among Caribbean states, had given unqualified support to Guyana on this dispute: Venezuela perceived a threat to its territorial aspirations, a finite time for response and a heightened probability of involvement in military hostilities, due to Cuba's unconcealed and active support for Guyana and Guyana's public acknowledgment that, in the event of a Venezuelan attack, it would accept assistance ""from any nation that wanted to give it.""In 1982 tension was sustained by the continued war of words.",speech|thought,Mixed
325_18,325,18,CRISNO 325 ESSEQUIBO II,ESSEQUIBO II,"It escalated once again on 18 June 1982 with the expiration of the 12-year ""cooling-off"" period.",action,Action
325_19,325,19,CRISNO 325 ESSEQUIBO II,ESSEQUIBO II,On 8 July the Guyana Assembly insisted on Guyana's right to the territory.,speech|thought,Mixed
325_20,325,20,CRISNO 325 ESSEQUIBO II,ESSEQUIBO II,During the next three months President Burnham expressed his fear of an invasion and refused a Venezuelan proposal for bilateral negotiations.,speech|thought,Mixed
325_21,325,21,CRISNO 325 ESSEQUIBO II,ESSEQUIBO II,"In addition, Guyana accused Venezuela of violating its airspace and producing border incidents, in a letter to the UN on 14 September 1982.",speech,Speech
325_22,325,22,CRISNO 325 ESSEQUIBO II,ESSEQUIBO II,"The same month President Herrera reaffirmed that Venezuela ""wants a peaceful solution.""",speech,Speech
325_23,325,23,CRISNO 325 ESSEQUIBO II,ESSEQUIBO II,During the first three months of 1983 Venezuela and Guyana disagreed on the modalities of peaceful crisis resolution.,,No Event
325_24,325,24,CRISNO 325 ESSEQUIBO II,ESSEQUIBO II,Venezuela proposed bilateral talks; Guyana wanted to submit the issue to the International Court of Justice or the UN Security Council.,speech|thought,Mixed
325_25,325,25,CRISNO 325 ESSEQUIBO II,ESSEQUIBO II,The crisis ended in March 1983 when both adversaries formally referred the dispute to mediation by the UN Secretary-General.,thought,Thought
325_26,325,26,CRISNO 325 ESSEQUIBO II,ESSEQUIBO II,"Neither the U.S. nor the USSR was involved in this crisis, though Venezuela tried to elicit U.S. support by playing the ""Cuba card"": the U.S. did not alter its stance of May 1981, namely, that it had ""no position of substance on the issue.""(Other incidents occurred; for example, in December 1983 six Venezuelan fishing boats were seized by Guyana because they were allegedly fishing illegally in Guyana's territorial waters.",,No Event
398_1,398,1,CRISNO 398 BUBIYAN,BUBIYAN,Kuwait experienced a brief crisis with Iraq starting on 28 August 1991.,,No Event
398_2,398,2,CRISNO 398 BUBIYAN,BUBIYAN,"Following the Gulf crisis-war, there were several incidents between Kuwait and Iraq, notably on 15 August 1991 when Kuwait accused Iraq of violating the cease-fire in the Demilitarized Zone between the two states.",speech,Speech
398_3,398,3,CRISNO 398 BUBIYAN,BUBIYAN,On 28 August 1991 Kuwait accused Iraq of landing troops on the Kuwaiti island of Bubiyan in order to retrieve weapons and military equipment abandoned by Iraq there during the Gulf War.,speech,Speech
398_4,398,4,CRISNO 398 BUBIYAN,BUBIYAN,"This generated a perception of higher-than-normal threat to its territorial integrity, triggering a crisis for Kuwait.",thought,Thought
398_5,398,5,CRISNO 398 BUBIYAN,BUBIYAN,"It responded by protesting to the UN Security Council against ""a clear violation of the [Gulf War] cease-fire agreement.""",speech,Speech
398_6,398,6,CRISNO 398 BUBIYAN,BUBIYAN,Members of the UN Iraq-Kuwait Observer Mission visited Bubiyan on the 29th to investigate the incident.,action,Action
398_7,398,7,CRISNO 398 BUBIYAN,BUBIYAN,The next day Kuwaiti planes and helicopters resumed their patrols over the island.,thought,Thought
398_8,398,8,CRISNO 398 BUBIYAN,BUBIYAN,"The crisis, with very minor clashes, faded by the end of August.",thought,Thought
398_9,398,9,CRISNO 398 BUBIYAN,BUBIYAN,The U.S. provided Kuwait with political support.,action,Action
398_10,398,10,CRISNO 398 BUBIYAN,BUBIYAN,"The USSR remained aloof from this crisis, as did the Arab League and the Gulf Cooperation Council.",,No Event
194_1,194,1,CRISNO 194 CHINA-INDIA BORDER II,CHINA-INDIA BORDER II,"A second border crisis between India and China, leading to full-scale war, began on 8 September 1962 and ended on 23 January 1963.",,No Event
194_2,194,2,CRISNO 194 CHINA-INDIA BORDER II,CHINA-INDIA BORDER II,Border clashes between India and China erupted into an international crisis in August 1959 border.,action|speech,Mixed
194_3,194,3,CRISNO 194 CHINA-INDIA BORDER II,CHINA-INDIA BORDER II,"India continued with its ""Forward Policy"" in which military patrols attempted to establish posts in territories held or claimed by the Chinese.",action,Action
194_4,194,4,CRISNO 194 CHINA-INDIA BORDER II,CHINA-INDIA BORDER II,"On 8 September 1962 Chinese forces crossed the Thag La Ridge on the McMahon Line, triggering India's perception of a threat to its territorial integrity, with a limited time to respond militarily due to the imminent approach of winter.",thought,Thought
194_5,194,5,CRISNO 194 CHINA-INDIA BORDER II,CHINA-INDIA BORDER II,"The following day India began to plan ""Operation Leghorn"" to bring about the eviction of the Chinese.",action|thought,Mixed
194_6,194,6,CRISNO 194 CHINA-INDIA BORDER II,CHINA-INDIA BORDER II,"The beginning of its implementation on 4 October triggered a crisis for China, which perceived an imminent Indian military campaign beyond border incidents.",thought,Thought
