source_an,source_form_codebook,source_form_numeric,source_form_raw,text,gt_protest_form
WESKU00020090916e59g00094,"07 Nicht-sprachlicher Protest, kulturelle Veranstaltung, Performance, Flash Mob",7.0,"non-verbal protest, cultural event",Flashmob,Non-verbal Protest / Cultural Event
WESKU00020090916e59g000ar,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",protestierten,Demonstration / Assembly
WESKU00020090919e59j000ct,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",protestieren,Demonstration / Assembly
WESKU00020090923e59n000ao,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",Demonstration,Demonstration / Assembly
WESKU00020090924e59o000b4,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",demonstrierten,Demonstration / Assembly
WESKU00020090929e59t000b2,"14 Unterschriftensammlung, Petition",14.0,petition,Unterschriften,Petition
WESKU00020090930e59u000a5,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",Protestzug,Demonstration / Assembly
WESKU00020091118e5bi000bb,"14 Unterschriftensammlung, Petition",14.0,petition,Unterschriften,Petition
WESKU00020091122e5bm0001h_SUN,"07 Nicht-sprachlicher Protest, kulturelle Veranstaltung, Performance, Flash Mob",7.0,"non-verbal protest, cultural event",„Umsonstfahrtag“,Non-verbal Protest / Cultural Event
WESKU00020091122e5bm0001h_SUN,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",Kundgebung,Demonstration / Assembly
WESKU00020091127e5br000cj,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",Spontandemonstration,Demonstration / Assembly
WESKU00020091129e5bt0001b_SUN,"07 Nicht-sprachlicher Protest, kulturelle Veranstaltung, Performance, Flash Mob",7.0,"non-verbal protest, cultural event",Flashmob,Non-verbal Protest / Cultural Event
WESKU00020091201e5c1000ce,10 Streik,10.0,strike,Warnstreiks,Strike
WESKU00020091203e5c30009y,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",Demo,Demonstration / Assembly
SZ_20070110_SAEOP_2502,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",Demo,Demonstration / Assembly
SZ_20070203_WHA_3526,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",demonstrierten,Demonstration / Assembly
SZ_20070208_FBGBS_2827,"07 Nicht-sprachlicher Protest, kulturelle Veranstaltung, Performance, Flash Mob",7.0,"non-verbal protest, cultural event",Straßentheater-Stücke,Non-verbal Protest / Cultural Event
SZ_20070215_VUVSU_2732,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",Gegendemonstranten,Demonstration / Assembly
SZ_20070215_VUVSU_2732,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",Nazi-Umzug,Demonstration / Assembly
SZ_20070310_PBH_3154,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",Demonstration,Demonstration / Assembly
SZ_20070310_PBH_3154,"05 Flugblatt, Resolution, offener Brief",5.0,"leaflet, resolution, open letter",Transparente,Leaflet / Resolution / Open Letter
SZ_20070319_DBUEM_909,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",Protestveranstaltungen,Demonstration / Assembly
SZ_20070326_BUEP_3771,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",Marsch,Demonstration / Assembly
SZ_20070331_IAKMH_5480,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",auf die Straße,Demonstration / Assembly
SZ_20070402_DPF_798,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",trafen sich,Demonstration / Assembly
SZ_20070402_DPF_798,"07 Nicht-sprachlicher Protest, kulturelle Veranstaltung, Performance, Flash Mob",7.0,"non-verbal protest, cultural event",einer Pflanzaktion,Non-verbal Protest / Cultural Event
SZ_20070410_OGEKB_2631,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",Osterspaziergang,Demonstration / Assembly
SZ_20070410_OGEKB_2631,"05 Flugblatt, Resolution, offener Brief",5.0,"leaflet, resolution, open letter",offenen Brief,Leaflet / Resolution / Open Letter
SZ_20070413_WIS_2184,10 Streik,10.0,strike,Warnstreiks,Strike
SZ_20070421_WBDUE_2465,10 Streik,10.0,strike,Warnstreik,Strike
SZ_20070423_SOELU_2142,"07 Nicht-sprachlicher Protest, kulturelle Veranstaltung, Performance, Flash Mob",7.0,"non-verbal protest, cultural event",Konzert,Non-verbal Protest / Cultural Event
SZ_20070502_TDTDA_3947,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",DGB-Demonstration,Demonstration / Assembly
SZ_20070503_MVE_2079,10 Streik,10.0,strike,Warnstreiks,Strike
SZ_20070508_HGSUE_2829,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",Montagsdemo,Demonstration / Assembly
SZ_20070508_TST_2498,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",Kundgebung,Demonstration / Assembly
SZ_20070510_VEHBS_900,10 Streik,10.0,strike,Warnstreiks,Strike
SZ_20070511_TVDGI_2162,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",Kundgebung,Demonstration / Assembly
SZ_20070511_TVDGI_2162,13 Sachbeschädigung/Anschlag/Plünderung,13.0,attack with damage to property,Verkehrsschilder und Altstoffcontainer wurden umgerissen,Attack with Damage to Property
SZ_20070515_TSISA_1115,10 Streik,10.0,strike,Ausstand,Strike
SZ_20070516_N_1273,10 Streik,10.0,strike,Streiks,Strike
SZ_20070522_TSISE_766,10 Streik,10.0,strike,Ausstand,Strike
SZ_20070523_DNP_838,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",versammelten sich,Demonstration / Assembly
SZ_20070524_DATS_1170,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",Kundgebung,Demonstration / Assembly
SZ_20070524_VODTS_5566,10 Streik,10.0,strike,Ausstand,Strike
SZ_20070526_DNP_1823,"14 Unterschriftensammlung, Petition",14.0,petition,Petition,Petition
SZ_20070526_DNP_1823,"05 Flugblatt, Resolution, offener Brief",5.0,"leaflet, resolution, open letter",Schildern,Leaflet / Resolution / Open Letter
SZ_20070531_DSL_1685,"14 Unterschriftensammlung, Petition",14.0,petition,Petition,Petition
SZ_20070531_VEOED_1928,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",Protestkundgebung,Demonstration / Assembly
SZ_20070531_VEOED_1928,10 Streik,10.0,strike,Arbeitskampf,Strike
SZ_20070531_VEOED_1928,10 Streik,10.0,strike,Arbeitskampf,Strike
SZ_20070601_S_1404,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",protestierten vor dem Rathaus,Demonstration / Assembly
SZ_20070602_TNPAE_4445,"14 Unterschriftensammlung, Petition",14.0,petition,Unterschrift,Petition
SZ_20070607_LWBRG_2704,"14 Unterschriftensammlung, Petition",14.0,petition,Unterschriftensammlung,Petition
SZ_20070607_P_1115,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",Demo,Demonstration / Assembly
SZ_20070607_P_1115,"11 Blockade, Sit in",11.0,"blockade, sit-in",Sitzblockade,Blockade / Sit-in
SZ_20070615_TUVNH_1151,10 Streik,10.0,strike,Streikende,Strike
SZ_20070615_TUVNH_1151,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",vom Hauptbahnhof durch die Innenstadt,Demonstration / Assembly
SZ_20070616_DP_582,"14 Unterschriftensammlung, Petition",14.0,petition,Unterschriftensammlung,Petition
SZ_20070619_DNE_1722,"14 Unterschriftensammlung, Petition",14.0,petition,Petition,Petition
SZ_20070704_TABDD_7427,10 Streik,10.0,strike,Warnstreik,Strike
SZ_20070704_TABDD_7427,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",versammeln,Demonstration / Assembly
SZ_20070711_DNB_2773,"11 Blockade, Sit in",11.0,"blockade, sit-in",setzten sich einige Demonstranten dem Fahrzeug in den Weg,Blockade / Sit-in
SZ_20070711_DNB_2773,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",demonstrierten,Demonstration / Assembly
SZ_20070711_DNB_2773,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",Demonstranten,Demonstration / Assembly
SZ_20070712_DNU_1549,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",spontan protestiert,Demonstration / Assembly
SZ_20070712_DNU_1549,"11 Blockade, Sit in",11.0,"blockade, sit-in",Baufahrzeug gestört,Blockade / Sit-in
SZ_20070723_DFEDW_1532,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",demonstrieren,Demonstration / Assembly
SZ_20070726_N_1223,"14 Unterschriftensammlung, Petition",14.0,petition,Unterschriften,Petition
SZ_20070730_GPPHS_851,"07 Nicht-sprachlicher Protest, kulturelle Veranstaltung, Performance, Flash Mob",7.0,"non-verbal protest, cultural event","Cayenne mit rosa Farbe, Schnauze und Ohren zum \\""\""\""\""\""\""\""\""\""\""\""\""\""\""\""\""\""\""\""\""\""\""\""\""\""\""\""\""\""\""\""\""\""\""\""\""\""\""\""\""\""\""\""\""\""\""\""\""\""\""\""\""\""\""\""\""\""\""\""\""\""\""\""Klimaschwein\""\""\""\""\""\""\""\""\""\""\""\""\""\""\""\""\""\""\""\""\""\""\""\""\""\""\""\""\""\""\""\""\""\""\""\""\""\""\""\""\""\""\""\""\""\""\""\""\""\""\""\""\""\""\""\""\""\""\""\""\""\""\""\"" um""",Non-verbal Protest / Cultural Event
SZ_20070731_DNA_1495,"14 Unterschriftensammlung, Petition",14.0,petition,Unterschriftensammlungen,Petition
SZ_20070731_DNA_1495,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",Demonstration,Demonstration / Assembly
SZ_20070731_TWOEC_1433,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",demonstriert,Demonstration / Assembly
SZ_20070801_AAP_1805,"05 Flugblatt, Resolution, offener Brief",5.0,"leaflet, resolution, open letter",Plakate im Ort verteilt,Leaflet / Resolution / Open Letter
SZ_20070801_AAP_1805,"05 Flugblatt, Resolution, offener Brief",5.0,"leaflet, resolution, open letter",Neue Plakate,Leaflet / Resolution / Open Letter
SZ_20070806_WMWBW_7954,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",Bürgerfest,Demonstration / Assembly
SZ_20070807_DFEDW_896,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",Demonstranten,Demonstration / Assembly
SZ_20070814_DFDW_2471,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",Kundgebung,Demonstration / Assembly
SZ_20070818_DPFEB_2905,"05 Flugblatt, Resolution, offener Brief",5.0,"leaflet, resolution, open letter",offenen Brief,Leaflet / Resolution / Open Letter
SZ_20070818_LWVVD_1301,"14 Unterschriftensammlung, Petition",14.0,petition,Unterschriften,Petition
SZ_20070821_MDFDW_1430,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",demonstrieren,Demonstration / Assembly
SZ_20070822_N_1076,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",demonstriert,Demonstration / Assembly
SZ_20070825_BREAE_1994,"05 Flugblatt, Resolution, offener Brief",5.0,"leaflet, resolution, open letter",Protestschreiben,Leaflet / Resolution / Open Letter
SZ_20070904_DFTAK_916,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",Demonstration,Demonstration / Assembly
SZ_20070904_DTR_446,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",protestierten,Demonstration / Assembly
SZ_20070912_N_740,"14 Unterschriftensammlung, Petition",14.0,petition,Unterschriften,Petition
SZ_20071006_ADBBD_4050,10 Streik,10.0,strike,streikte,Strike
SZ_20071008_PMEBR_2544,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",Demonstranten,Demonstration / Assembly
SZ_20071019_PRGAL_2646,10 Streik,10.0,strike,bestreikt,Strike
SZ_20071024_FAEKS_3039,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",Demonstration,Demonstration / Assembly
SZ_20071103_BRGGG_1702,"14 Unterschriftensammlung, Petition",14.0,petition,Unterschriften,Petition
SZ_20071106_DPGDS_4064,"05 Flugblatt, Resolution, offener Brief",5.0,"leaflet, resolution, open letter",Flugblättern,Leaflet / Resolution / Open Letter
SZ_20071107_DFDID_889,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",demonstriert,Demonstration / Assembly
SZ_20071107_DNC_1843,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",demonstrierten,Demonstration / Assembly
SZ_20071109_WISCE_802,10 Streik,10.0,strike,gestreikt,Strike
SZ_20071112_N_1600,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",demonstrieren,Demonstration / Assembly
SZ_20071113_DDFDO_1473,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",demonstrierten,Demonstration / Assembly
SZ_20071116_PGGUE_663,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",demonstriert,Demonstration / Assembly
SZ_20071116_TBV_3485,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",Demonstrationszug,Demonstration / Assembly
SZ_20071119_DDGDB_2806,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",Demonstranten,Demonstration / Assembly
SZ_20071120_DGSSA_5282,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",Demonstranten,Demonstration / Assembly
SZ_20071124_DGBAE_1995,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",demonstriert,Demonstration / Assembly
SZ_20071124_DGBAE_1995,"07 Nicht-sprachlicher Protest, kulturelle Veranstaltung, Performance, Flash Mob",7.0,"non-verbal protest, cultural event","Bäume, die an der viel befahrenen Waldschlößchenstraße stehen, wurden von Brückengegnern mit dem Unesco-Logo besprüht",Non-verbal Protest / Cultural Event
SZ_20071126_KASFD_2952,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",Demonstration,Demonstration / Assembly
SZ_20071126_KASFD_2952,"07 Nicht-sprachlicher Protest, kulturelle Veranstaltung, Performance, Flash Mob",7.0,"non-verbal protest, cultural event","mit Overall bekleidet, diese mit Namen der Verantwortlichen wie Ministerpräsident Georg Milbradt gekennzeichnet und mit Kettensägen symbolisch Bäume zersägt",Non-verbal Protest / Cultural Event
SZ_20071204_DPGBU_876,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",Kundgebung,Demonstration / Assembly
SZ_20071210_SGUS_2664,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",Demonstranten,Demonstration / Assembly
SZ_20071210_SGUS_2664,"11 Blockade, Sit in",11.0,"blockade, sit-in",haben sich in Kreisen um die Bäume gelagert und wollen so das Fällen verhindern,Blockade / Sit-in
SZ_20071211_PUKAG_775,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",Demonstranten,Demonstration / Assembly
SZ_20071211_PUKAG_775,"05 Flugblatt, Resolution, offener Brief",5.0,"leaflet, resolution, open letter",offenen Brief,Leaflet / Resolution / Open Letter
SZ_20071214_SDLDI_1608,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",Demonstranten,Demonstration / Assembly
SZ_20071217_LDGNL_2586,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",demonstriert,Demonstration / Assembly
SZ_20071217_LDGNL_2586,"05 Flugblatt, Resolution, offener Brief",5.0,"leaflet, resolution, open letter",Flugblätter,Leaflet / Resolution / Open Letter
SZ_20071217_N_1749,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",demonstrierten,Demonstration / Assembly
SZ_20080108_WBIDB,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",demonstriert,Demonstration / Assembly
SZ_20080114_FFDED,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",Demonstranten,Demonstration / Assembly
SZ_20080115_TWOEU,"14 Unterschriftensammlung, Petition",14.0,petition,unterschrieben,Petition
SZ_20080116_SIGAE,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",Demonstranten,Demonstration / Assembly
SZ_20080116_SJSUD,"14 Unterschriftensammlung, Petition",14.0,petition,Unterschriften,Petition
SZ_20080122_SPBFD,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",demonstrierten,Demonstration / Assembly
SZ_20080126_BRGPA,"14 Unterschriftensammlung, Petition",14.0,petition,Unterschriften,Petition
SZ_20080129_MDFEE,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",Demonstranten,Demonstration / Assembly
SZ_20080130_BUFE,"14 Unterschriftensammlung, Petition",14.0,petition,Unterschriften,Petition
SZ_20080205_UEBDB,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",Demonstranten,Demonstration / Assembly
SZ_20080218_GSSGNI,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",Demonstration,Demonstration / Assembly
SZ_20080218_GSSGNI,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",Nazi-Marsch,Demonstration / Assembly
SZ_20080218_GSSGNI,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",protestierten,Demonstration / Assembly
SZ_20080219_HBTD,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",Demonstrationen,Demonstration / Assembly
SZ_20080305_DESAW,10 Streik,10.0,strike,Ausstand,Strike
SZ_20080310_METKN,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",Kundgebung,Demonstration / Assembly
SZ_20080312_UFDTB,"14 Unterschriftensammlung, Petition",14.0,petition,Unterschriften,Petition
SZ_20080314_TSB,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",Demonstration,Demonstration / Assembly
SZ_20080326_AEW,"14 Unterschriftensammlung, Petition",14.0,petition,Unterschriften,Petition
SZ_20080402_IDBDB,10 Streik,10.0,strike,Warnstreik,Strike
SZ_20080402_KTEAJ,"04 Demonstration, Versammlung, öffentliche Protestkundgebung",4.0,"demonstration, assembly",demonstrierten,Demonstration / Assembly
