source_id,source_party,source_year,source_original_id,source_major_topic,source_subtopic,source_words,text,gt_policy_topic
cap_party_democratic_47.0,Democratic,1948.0,47.0,19,1901.0,41.0,"The Republican leadership in the House of Representatives, by its votes in the 80th Congress, has shown its reluctance to provide funds to support this program, the greatest move for peace and recovery made since the end of World War II.",International Affairs
cap_party_democratic_48.0,Democratic,1948.0,48.0,19,1901.0,10.0,"We pledge a sound, humanitarian administration of the Marshall Plan.",International Affairs
cap_party_democratic_49.0,Democratic,1948.0,49.0,19,1901.0,24.0,We pledge support not only for these principlesââ âÃwe pledge further that we will not withhold necessary funds by which these principles can be achieved.,International Affairs
cap_party_democratic_50.0,Democratic,1948.0,50.0,19,1901.0,19.0,"Therefore, we pledge that we will implement with appropriations the commitments which are made in this nation's foreign program.",International Affairs
cap_party_democratic_51.0,Democratic,1948.0,51.0,18,1802.0,31.0,We pledge ourselves to restore the Reciprocal Trade Agreements program formulated in 1934 by Secretary of State Cordell Hull and operated successfully for 14 yearsââ âÃuntil crippled by the Republican 80th Congress.,Foreign Trade
cap_party_democratic_52.0,Democratic,1948.0,52.0,18,1802.0,12.0,"Further, we strongly endorse our country's adherence to the International Trade Organization.",Foreign Trade
cap_party_democratic_53.0,Democratic,1948.0,53.0,19,1921.0,16.0,A great Democratic President established the Good Neighbor Policy toward the nations of the Western Hemisphere.,International Affairs
cap_party_democratic_54.0,Democratic,1948.0,54.0,19,1921.0,12.0,The Act of Chapultepec was negotiated at Mexico City under Democratic leadership.,International Affairs
cap_party_democratic_55.0,Democratic,1948.0,55.0,19,1921.0,29.0,"It was carried forward in the Western Hemisphere defense pact concluded at Rio de Janeiro, which implemented the Monroe Doctrine and united the Western Hemisphere in behalf of peace.",International Affairs
cap_party_democratic_56.0,Democratic,1948.0,56.0,19,1921.0,12.0,We pledge continued economic cooperation with the countries of the Western Hemisphere.,International Affairs
cap_party_democratic_57.0,Democratic,1948.0,57.0,19,1926.0,24.0,"We pledge continued support of regional arrangements within the United Nations Charter, such as the Inter-American Regional Pact and the developing Western European Union.",International Affairs
cap_party_democratic_58.0,Democratic,1948.0,58.0,19,1921.0,29.0,"President Truman, by granting immediate recognition to Israel, led the world in extending friendship and welcome to a people who have long sought and justly deserve freedom and independence.",International Affairs
cap_party_democratic_59.0,Democratic,1948.0,59.0,19,1921.0,9.0,We pledge full recognition to the State of Israel.,International Affairs
cap_party_democratic_60.0,Democratic,1948.0,60.0,19,1921.0,41.0,"We affirm our pride that the United States under the leadership of President Truman played a leading role in the adoption of the resolution of November 29, 1947, by the United Nations General Assembly for the creation of a Jewish State.",International Affairs
cap_party_democratic_61.0,Democratic,1948.0,61.0,19,1921.0,39.0,We approve the claims of the State of Israel to the boundaries set forth in the United Nations resolution of November 29th and consider that modifications thereof should be made only if fully acceptable to the State of Israel.,International Affairs
cap_party_democratic_62.0,Democratic,1948.0,62.0,19,1921.0,25.0,We look forward to the admission of the State of Israel to the United Nations and its full participation in the international community of nations.,International Affairs
cap_party_democratic_63.0,Democratic,1948.0,63.0,19,1921.0,15.0,We pledge appropriate aid to the State of Israel in developing its economy and resources.,International Affairs
cap_party_democratic_64.0,Democratic,1948.0,64.0,19,1921.0,19.0,We favor the revision of the arms embargo to accord to the State of Israel the right of self-defense.,International Affairs
cap_party_democratic_65.0,Democratic,1948.0,65.0,19,1921.0,25.0,We pledge ourselves to work for the modification of any resolution of the United Nations to the extent that it may prevent any such revision.,International Affairs
cap_party_democratic_66.0,Democratic,1948.0,66.0,19,1921.0,24.0,"We continue to support, within the framework of the United Nations, the internationalization of Jerusalem and the protection of the Holy Places in Palestine.",International Affairs
cap_party_democratic_67.0,Democratic,1948.0,67.0,19,1900.0,26.0,"The United States has traditionally been in sympathy with the efforts of subjugated countries to attain their independence, and to establish a democratic form of government.",International Affairs
cap_party_democratic_68.0,Democratic,1948.0,68.0,19,1921.0,5.0,Poland is an outstanding example.,International Affairs
cap_party_democratic_69.0,Democratic,1948.0,69.0,19,1921.0,23.0,"After a century and a half of subjugation, it was resurrected after the first World War by our great Democratic President, Woodrow Wilson.",International Affairs
cap_party_democratic_70.0,Democratic,1948.0,70.0,19,1921.0,19.0,"We look forward to development of these countries as prosperous, free, and democratic fellow members of the United Nations.",International Affairs
cap_party_democratic_71.0,Democratic,1948.0,71.0,1,101.0,17.0,The Republican 80th Congress is directly responsible for the existing and ever increasing high cost of living.,Macroeconomics
cap_party_democratic_72.0,Democratic,1948.0,72.0,1,101.0,5.0,It cannot dodge that responsibility.,Macroeconomics
cap_party_democratic_74.0,Democratic,1948.0,74.0,1,101.0,25.0,"Adequate food, clothing and shelterââ âÃthe bare necessities of lifeââ âÃare becoming too expensive for the average wage earner and the prospects are more frightening each day.",Macroeconomics
cap_party_democratic_75.0,Democratic,1948.0,75.0,1,101.0,13.0,The Republican 80th Congress has lacked the courage to face this vital problem.,Macroeconomics
cap_party_democratic_76.0,Democratic,1948.0,76.0,1,101.0,6.0,We shall curb the Republican inflation.,Macroeconomics
cap_party_democratic_77.0,Democratic,1948.0,77.0,1,101.0,44.0,"We shall put a halt to the disastrous price rises which have come as a result of the failure of the Republican 80th Congress to take effective action on President Truman's recommendations, setting forth a comprehensive program to control the high cost of living.",Macroeconomics
cap_party_democratic_78.0,Democratic,1948.0,78.0,14,1401.0,19.0,"We shall enact comprehensive housing legislation, including provisions for slum clearance and low-rent housing projects initiated by local agencies.",Housing
cap_party_democratic_79.0,Democratic,1948.0,79.0,14,1400.0,25.0,This nation is shamed by the failure of the Republican 80th Congress to pass the vitally needed general housing legislation as recommended by the President.,Housing
cap_party_democratic_80.0,Democratic,1948.0,80.0,14,1401.0,9.0,Adequate housing will end the need for rent control.,Housing
cap_party_democratic_81.0,Democratic,1948.0,81.0,14,1401.0,6.0,"Until then, it must be continued.",Housing
cap_party_democratic_82.0,Democratic,1948.0,82.0,1,105.0,35.0,We pledge the continued maintenance of those sound fiscal policies which under Democratic leadership have brought about a balanced budget and reduction of the public debt by $28 billion since the close of the war.,Macroeconomics
cap_party_democratic_83.0,Democratic,1948.0,83.0,1,107.0,41.0,"We favor the reduction of taxes, whenever it is possible to do so without unbalancing the nation's economy, by giving a full measure of relief to those millions of low-income families on whom the wartime burden of taxation fell most heavily.",Macroeconomics
cap_party_democratic_84.0,Democratic,1948.0,84.0,1,107.0,26.0,The form of tax reduction adopted by the Republican 80th Congress gave relief to those who need it least and ignored those who need it most.,Macroeconomics
cap_party_democratic_85.0,Democratic,1948.0,85.0,1,107.0,15.0,We shall endeavor to remove tax inequities and to continue to reduce the public debt.,Macroeconomics
cap_party_democratic_86.0,Democratic,1948.0,86.0,1,107.0,12.0,We are opposed to the imposition of a general federal sales tax.,Macroeconomics
cap_party_democratic_87.0,Democratic,1948.0,87.0,5,504.0,8.0,We advocate the repeal of the Taft-Hartley Act.,Labor and Immigration
cap_party_democratic_88.0,Democratic,1948.0,88.0,5,504.0,12.0,It was enacted by the Republican 80th Congress over the President's veto.,Labor and Immigration
cap_party_democratic_89.0,Democratic,1948.0,89.0,5,504.0,24.0,"That act was proposed with the promise that it would secure ""the legitimate rights of both employees and employers in their relations affecting commerce.""",Labor and Immigration
cap_party_democratic_90.0,Democratic,1948.0,90.0,5,504.0,3.0,It has failed.,Labor and Immigration
cap_party_democratic_91.0,Democratic,1948.0,91.0,5,504.0,7.0,The number of labor-management disputes has increased.,Labor and Immigration
cap_party_democratic_92.0,Democratic,1948.0,92.0,5,504.0,30.0,"The number of cases before the National Labor Relations Board has more than doubled since the Act was passed, and efficient and prompt administration is becoming more and more difficult.",Labor and Immigration
cap_party_democratic_93.0,Democratic,1948.0,93.0,5,504.0,16.0,It has encouraged litigation in labor disputes and undermined the established American policy of collective bargaining.,Labor and Immigration
cap_party_democratic_94.0,Democratic,1948.0,94.0,5,504.0,27.0,"Recent decisions by the courts prove that the Act was so poorly drawn that its application is uncertain, and that it is probably, in some provisions, unconstitutional.",Labor and Immigration
cap_party_democratic_95.0,Democratic,1948.0,95.0,5,504.0,54.0,"We advocate such legislation as is desirable to establish a just body of rules to assure free and effective collective bargaining, to determine, in the public interest, the rights of employees and employers, to reduce to a minimum their conflict of interests, and to enable unions to keep their membership free from communistic influences.",Labor and Immigration
cap_party_democratic_96.0,Democratic,1948.0,96.0,5,504.0,49.0,"We urge that the Department of Labor be rebuilt and strengthened, restoring to it the units, including the Federal Mediation and Conciliation Service and the United States Employment Service, which properly belong to it, and which the Republican 80th Congress stripped from it over the veto of President Truman.",Labor and Immigration
cap_party_democratic_97.0,Democratic,1948.0,97.0,5,500.0,28.0,"We urge that the Department's facilities for collecting and disseminating economic information be expanded, and that a Labor Education Extension Service be established in the Department of Labor.",Labor and Immigration
cap_party_democratic_98.0,Democratic,1948.0,98.0,5,505.0,46.0,"We favor the extension of the coverage of the Fair Labor Standards Act as recommended by President Truman, and the adoption of a minimum wage of at least 75 cents an hour in place of the present obsolete and inadequate minimum of 40 cents an hour.",Labor and Immigration
cap_party_democratic_99.0,Democratic,1948.0,99.0,2,202.0,19.0,"We favor legislation assuring that the workers of our nation receive equal pay for equal work, regardless of sex.",Civil Rights
cap_party_democratic_100.0,Democratic,1948.0,100.0,13,1303.0,27.0,"We favor the extension of the Social Security program established under Democratic leadership, to provide additional protection against the hazards of old age, disability, disease or death.",Social Welfare
cap_party_democratic_101.0,Democratic,1948.0,101.0,13,1303.0,31.0,"We believe that this program should include:Increases in old-age and survivors' insurance benefits by at least 50 percent, and reduction of the eligibility age for women from 65 to 60 years;",Social Welfare
cap_party_democratic_102.0,Democratic,1948.0,102.0,13,1303.0,14.0,extension of old-age and survivors' and unemployment insurance to all workers not now covered;,Social Welfare
cap_party_democratic_103.0,Democratic,1948.0,103.0,13,1304.0,11.0,insurance against loss of earnings on account of illness or disability;,Social Welfare
cap_party_democratic_104.0,Democratic,1948.0,104.0,13,1302.0,6.0,improved public assistance for the needy.,Social Welfare
cap_party_democratic_105.0,Democratic,1948.0,105.0,3,301.0,19.0,"We favor the enactment of a national health program far expanded medical research, medical education, and hospitals and clinics.",Health
cap_party_democratic_106.0,Democratic,1948.0,106.0,13,1304.0,16.0,We will continue our efforts to aid the blind and other handicapped persons to become self-supporting.,Social Welfare
cap_party_democratic_107.0,Democratic,1948.0,107.0,3,332.0,20.0,"We will continue our efforts to expand maternal care, improve the health of the nation's children, and reduce juvenile delinquency.",Health
cap_party_democratic_108.0,Democratic,1948.0,108.0,3,333.0,22.0,We approve the purposes of the Mental Health Act and we favor such appropriations as may be necessary to make it effective.,Health
cap_party_democratic_109.0,Democratic,1948.0,109.0,6,600.0,15.0,We advocate federal aid for education administered by and under the control of the states.,Education
cap_party_democratic_110.0,Democratic,1948.0,110.0,6,600.0,39.0,"We vigorously support the authorization, which was so shockingly ignored by the Republican 80th Congress, for the appropriation of $300 million as a beginning of Federal aid to the states to assist them in meeting the present educational needs.",Education
cap_party_democratic_111.0,Democratic,1948.0,111.0,6,602.0,14.0,We insist upon the right of every American child to obtain a good education.,Education
cap_party_democratic_112.0,Democratic,1948.0,112.0,16,1608.0,13.0,The nation can never discharge its debt to its millions of war veterans.,Defense
cap_party_democratic_113.0,Democratic,1948.0,113.0,16,1608.0,19.0,We pledge ourselves to the continuance and improvement of our national program of benefits for veterans and their families.,Defense
cap_party_democratic_114.0,Democratic,1948.0,114.0,6,601.0,29.0,"We are proud of the sound and comprehensive program conceived, developed and administered under Democratic leadership, including the GI Bill of Rights, which has proved beneficial to many millions.",Education
cap_party_democratic_115.0,Democratic,1948.0,115.0,16,1608.0,26.0,The level of veterans' benefits must be constantly re-examined in the light of the decline in the purchasing power of the dollar brought about by inflation.,Defense
cap_party_democratic_116.0,Democratic,1948.0,116.0,16,1608.0,9.0,Employment and economic security must be afforded all veterans.,Defense
cap_party_democratic_117.0,Democratic,1948.0,117.0,14,1407.0,15.0,We pledge a program of housing for veterans at prices they can afford to pay.,Housing
cap_party_democratic_118.0,Democratic,1948.0,118.0,3,300.0,16.0,The disabled veteran must be provided with medical care and hospitalization of the highest possible standard.,Health
cap_party_democratic_119.0,Democratic,1948.0,119.0,4,400.0,28.0,"We pledge our efforts to maintain continued farm prosperity, improvement of the standard of living and the working conditions of the farmer, and to preserve the family-size farm.",Agriculture
cap_party_democratic_120.0,Democratic,1948.0,120.0,4,402.0,24.0,"Specifically, we favor a permanent system of flexible price supports for agricultural products, to maintain farm income on a parity with farm operating costs;",Agriculture
cap_party_democratic_121.0,Democratic,1948.0,121.0,7,711.0,5.0,an intensified soil conservation program;,Environment
cap_party_democratic_122.0,Democratic,1948.0,122.0,4,402.0,5.0,an extended crop insurance program;,Agriculture
cap_party_democratic_123.0,Democratic,1948.0,123.0,4,401.0,7.0,improvement of methods of distributing agricultural products;,Agriculture
cap_party_democratic_124.0,Democratic,1948.0,124.0,4,401.0,7.0,development and maintenance of stable export markets;,Agriculture
cap_party_democratic_125.0,Democratic,1948.0,125.0,13,1302.0,7.0,adequate financing for the school lunch program;,Social Welfare
cap_party_democratic_126.0,Democratic,1948.0,126.0,13,1302.0,16.0,the use of agricultural surpluses to improve the diet of low-income families in case of need;,Social Welfare
cap_party_democratic_127.0,Democratic,1948.0,127.0,14,1405.0,7.0,continued expansion of the rural electrification program;,Housing
cap_party_democratic_128.0,Democratic,1948.0,128.0,4,402.0,6.0,strengthening of all agricultural credit programs;,Agriculture
cap_party_democratic_129.0,Democratic,1948.0,129.0,4,498.0,14.0,"intensified research to improve agricultural practices, and to find new uses for farm products.",Agriculture
cap_party_democratic_130.0,Democratic,1948.0,130.0,4,400.0,13.0,We strongly urge the continuance of maximum farmer participation in all these programs.,Agriculture
cap_party_democratic_131.0,Democratic,1948.0,131.0,4,499.0,15.0,We favor the repeal of the discriminatory taxes on the manufacture and sale of oleomargarine.,Agriculture
cap_party_democratic_132.0,Democratic,1948.0,132.0,4,400.0,31.0,"We will encourage farm co-operatives and oppose any revision of federal law designed to curtail their most effective functioning as a means of achieving economy, stability and security for American agriculture.",Agriculture
cap_party_democratic_133.0,Democratic,1948.0,133.0,4,498.0,24.0,We favor provisions under which our fishery resources and industry will be afforded the benefits that will result from more scientific research and exploration.,Agriculture
cap_party_democratic_134.0,Democratic,1948.0,134.0,15,1521.0,12.0,We recognize the importance of small business in a sound American economy.,Domestic Commerce
cap_party_democratic_135.0,Democratic,1948.0,135.0,15,1521.0,22.0,"It must be protected against unfair discrimination and monopoly, and be given equal opportunities with competing enterprises to expand its capital structure.",Domestic Commerce
cap_party_democratic_136.0,Democratic,1948.0,136.0,15,1521.0,16.0,We favor non-discriminatory transportation charges and declare for the early correction of inequalities in such charges.,Domestic Commerce
cap_party_democratic_137.0,Democratic,1948.0,137.0,21,2103.0,61.0,"We pledge the continued full and unified regional development of the water, mineral, and other natural resources of the nation, recognizing that the progress already achieved under the initiative of the Democratic Party in the arid and semi-arid states of the West, as well as in the Tennessee Valley, is only an indication of still greater results which can be accomplished.",Public Lands
cap_party_democratic_138.0,Democratic,1948.0,138.0,21,2103.0,22.0,Our natural resources are the heritage of all our people and must not be permitted to become the private preserves of monopoly.,Public Lands
cap_party_democratic_139.0,Democratic,1948.0,139.0,8,802.0,52.0,"The irrigation of arid land, the establishment of new, independent, competitive business and the stimulation of new industrial opportunities for all of our people depends upon the development and transmission of electric energy in accordance with the program and the projects so successfully launched under Democratic auspices during the past sixteen years.",Energy
cap_party_democratic_140.0,Democratic,1948.0,140.0,21,2104.0,23.0,"We favor acceleration of the Federal Reclamation Program, the maximum beneficial use of water in the several states for irrigation and domestic supply.",Public Lands
cap_party_democratic_141.0,Democratic,1948.0,141.0,4,400.0,63.0,"In this connection, we propose the establishment and maintenance of new family-size farms for veterans and others seeking settlement opportunities, the development of hydroelectric power and its widespread distribution over publicly owned transmission lines to assure benefits to the water users in financing irrigation projects, and to the power users for domestic and industrial purposes, with preference to public agencies and R.E.A. co-operatives.",Agriculture
cap_party_democratic_143.0,Democratic,1948.0,143.0,10,1007.0,13.0,We will continue to improve the navigable waterways and harbors of the nation.,Transportation
cap_party_democratic_144.0,Democratic,1948.0,144.0,21,2104.0,24.0,We pledge to continue the policy initiated by the Democratic Party of adequate appropriations for flood control for the protection of life and property.,Public Lands
cap_party_democratic_145.0,Democratic,1948.0,145.0,15,1523.0,39.0,"In addition to practicing false economy on flood control, the Republican-controlled 80th Congress was so cruel as even to deny emergency federal funds for the relief of individuals and municipalities victimized by recent great floods, tornadoes and other disasters.",Domestic Commerce
cap_party_democratic_146.0,Democratic,1948.0,146.0,21,2103.0,31.0,"We shall expand our programs for forestation, for the improvement of grazing lands, public and private, for the stockpiling of strategic minerals and the encouragement of a sound domestic mining industry.",Public Lands
cap_party_democratic_147.0,Democratic,1948.0,147.0,21,2103.0,43.0,We shall carry forward experiments for the broader utilization of mineral resources in the highly beneficial manner already demonstrated in the program for the manufacture of synthetic liquid fuel from our vast deposits of coal and oil shale and from our agricultural resources.,Public Lands
cap_party_democratic_148.0,Democratic,1948.0,148.0,15,1520.0,12.0,"We pledge an intensive enforcement of the antitrust laws, with adequate appropriations.",Domestic Commerce
cap_party_democratic_149.0,Democratic,1948.0,149.0,15,1520.0,25.0,We advocate the strengthening of existing antitrust laws by closing the gaps which experience has shown have been used to promote concentration of economic power.,Domestic Commerce
cap_party_democratic_150.0,Democratic,1948.0,150.0,15,1520.0,19.0,We pledge a positive program to promote competitive business and to foster the development of independent trade and commerce.,Domestic Commerce
cap_party_democratic_151.0,Democratic,1948.0,151.0,15,1500.0,39.0,We support the right of free enterprise and the right of all persons to work together in co-operatives and other democratic associations for the purpose of carrying out any proper business operations free from any arbitrary and discriminatory restrictions.,Domestic Commerce
cap_party_democratic_152.0,Democratic,1948.0,152.0,2,200.0,27.0,"The Democratic Party is responsible for the great civil rights gains made in recent years in eliminating unfair and illegal discrimination based on race, creed or color,",Civil Rights
cap_party_democratic_153.0,Democratic,1948.0,153.0,2,200.0,17.0,"The Democratic Party commits itself to continuing its efforts to eradicate all racial, religious and economic discrimination.",Civil Rights
cap_party_democratic_154.0,Democratic,1948.0,154.0,2,200.0,45.0,"We again state our belief that racial and religious minorities must have the right to live, the right to work, the right to vote, the full and equal protection of the laws, on a basis of equality with all citizens as guaranteed by the Constitution.",Civil Rights
cap_party_democratic_155.0,Democratic,1948.0,155.0,2,200.0,17.0,We highly commend President Harry S. Truman for his courageous stand on the issue of civil rights.,Civil Rights
cap_party_democratic_156.0,Democratic,1948.0,156.0,2,206.0,26.0,We call upon the Congress to support our President in guaranteeing these basic and fundamental American Principles: (1) the right of full and equal political participation;,Civil Rights
cap_party_democratic_157.0,Democratic,1948.0,157.0,2,200.0,8.0,(2) the right to equal opportunity of employment;,Civil Rights
cap_party_democratic_158.0,Democratic,1948.0,158.0,2,200.0,7.0,(3) the right of security of person;,Civil Rights
cap_party_democratic_159.0,Democratic,1948.0,159.0,2,201.0,15.0,(4) and the right of equal treatment in the service and defense of our nation.[1],Civil Rights
cap_party_democratic_160.0,Democratic,1948.0,160.0,9,900.0,26.0,"We pledge ourselves to legislation to admit a minimum of 400,000 displaced persons found eligible for United States citizenship without discrimination as to race or religion.",Immigration
cap_party_democratic_161.0,Democratic,1948.0,161.0,9,900.0,33.0,"We condemn the undemocratic action of the Republican 80th Congress in passing an inadequate and bigoted bill for this purpose, which law imposes no-American restrictions based on race and religion upon such admissions.",Immigration
cap_party_democratic_162.0,Democratic,1948.0,162.0,21,2105.0,8.0,We urge immediate statehood for Hawaii and Alaska;,Public Lands
cap_party_democratic_163.0,Democratic,1948.0,163.0,21,2105.0,24.0,immediate determination by the people of Puerto Rico as to their form of government and their ultimate status with respect to the United States;,Public Lands
cap_party_democratic_164.0,Democratic,1948.0,164.0,21,2105.0,14.0,"and the maximum degree of local self-government for the Virgin Islands, Guam and Samoa.",Public Lands
cap_party_democratic_165.0,Democratic,1948.0,165.0,2,202.0,15.0,We recommend to Congress the submission of a constitutional amendment on equal rights for women.,Civil Rights
cap_party_democratic_166.0,Democratic,1948.0,166.0,2,206.0,17.0,We favor the extension of the right of suffrage to the people of the District of Columbia.,Civil Rights
cap_party_democratic_167.0,Democratic,1948.0,167.0,8,801.0,33.0,"We pledge adherence to the principle of nonpartisan civilian administration of atomic energy, and the development of atomic energy for peaceful purposes through free scientific inquiry for the benefit of all the people.",Energy
