item_id,text,gt_issue
37883_22,A dysfunctional and corrupt Goverment,partisan-neg
37939_22,Coronavirus,Coronavirus
37940_23,Terrorism,terrorism
37961_21,The corrupt government,pol-neg
37966_22,lack of a government,pol-neg
37971_23,Affordable housing,housing
38192_23,Cost of living,living costs
38221_21,COVID-19,Coronavirus
38273_22,covid,Coronavirus
38370_22,Covid,Coronavirus
38536_23,Economy,economy-general
38544_22,Covid,Coronavirus
38632_23,Energy prices,living costs
38819_21,Economy,economy-general
38953_21,Corona virus,Coronavirus
39086_21,The economy due to Covid-19,COVID-economy
39177_21,covid,Coronavirus
39308_23,Cost of living,living costs
39322_21,covid,Coronavirus
39392_21,illegal migrants,immigration
39475_22,Immigration,immigration
39732_21,Covid,Coronavirus
39746_23,Cost of living,living costs
39887_22,pandemic,Coronavirus
39969_22,Protestors that ignore the facts.,pol value-auth
40386_22,omnicrom virus,Coronavirus
40487_22,Covid,Coronavirus
40629_23,Cost of living,living costs
40740_22,healthcare,health
40820_21,covid,Coronavirus
41164_22,covid,Coronavirus
41306_23,economy,economy-general
41346_21,coronoa virus,Coronavirus
41747_22,Climate change,environment
41747_23,Climate change,environment
41837_21,economy,economy-general
42145_21,Covid,Coronavirus
42349_22,the new covid,Coronavirus
43048_23,Conservative government,partisan-neg
43109_21,Covid,Coronavirus
43141_22,Covid-19,Coronavirus
43170_23,The Environment,environment
43203_23,debt,debt/deficit
43254_23,Cost of Living,living costs
43317_23,Overpopulation,other
43354_21,economic recovery,economy-general
43477_23,War in Ukraine,war
43558_22,The useless Prime Minister,pol-neg
43619_23,Becoming more self-sufficient in energy and food,environment
43639_21,Economy,economy-general
43927_21,Covid,Coronavirus
43932_23,The rising cost of living,living costs
43958_21,Covid 19,Coronavirus
43959_23,Economy,economy-general
44010_21,Covid,Coronavirus
44202_21,NHS,health
44266_22,covid,Coronavirus
44316_21,COVID 19,Coronavirus
44415_23,Economy,economy-general
44451_21,Covid,Coronavirus
44603_21,Blocking the Police & Crime bill,pol values-liberal
44627_21,Recovering from Coronavirus,Coronavirus
44638_22,Covid,Coronavirus
44751_22,virus,Coronavirus
44838_22,Selfishness and greed,uncoded
45029_22,immigraation,immigration
45088_21,COVID-19,Coronavirus
45171_23,Brexit,europe
45300_22,covid,Coronavirus
45303_21,The pandemic,Coronavirus
45303_22,Covid 19,Coronavirus
45323_23,Cost of living,living costs
45347_23,price increases,living costs
45551_22,Covid,Coronavirus
45621_23,Climate change,environment
45646_22,Corona virus pandemic,Coronavirus
45775_21,Covid,Coronavirus
45841_22,COVID,Coronavirus
45919_23,Cost of living,living costs
45927_21,Coronavirus,Coronavirus
46223_22,Health,health
46323_23,Poverty,poverty
46528_21,Covid,Coronavirus
46579_21,War,war
46833_21,covid 19,Coronavirus
46859_21,inequality,inequality
46876_21,Economy,economy-general
46920_23,Security (cyber and nuclear),defence
47074_21,COVID-19,Coronavirus
47102_22,Covid,Coronavirus
47134_23,Covid,Coronavirus
47183_22,NHS,health
47184_22,covid restrictions,Coronavirus
47287_21,covid,Coronavirus
47334_23,Climate change,environment
47386_21,Pandemic,Coronavirus
47429_21,Covid-19,Coronavirus
47479_21,eradicating Covid,Coronavirus
47485_22,Covid 19,Coronavirus
47511_23,Cost of living,living costs
47699_22,Our prime minister,pol-neg
47702_22,Immigration,immigration
47729_23,Price of oil,living costs
47812_23,Covid,Coronavirus
47963_23,Cost of living,living costs
48083_22,Covid,Coronavirus
48953_21,Covid-19,Coronavirus
49039_21,COVID 19,Coronavirus
49152_22,Covid and it's repercussions,Coronavirus
49210_21,woke and cancel culture dangerous ideology as bad as any terrorists,pol value-auth
49235_23,ECONOMY RISING PRICES,living costs
49335_23,Energy prices,living costs
50283_22,Covid,Coronavirus
50565_22,Everything,uncoded
50725_23,Cost of living,living costs
51005_22,Covid omicron,Coronavirus
51207_22,Broken government promises and wasteful spending,partisan-neg
51253_22,Covid-19,Coronavirus
51263_22,covid,Coronavirus
51290_23,inflation,inflation
51489_23,Economy,economy-general
51621_22,Government control over our lives,pol-neg
51646_21,Covid,Coronavirus
51790_23,War in ukraine,war
51962_21,Coronavirus,Coronavirus
51992_22,Brexit,europe
52051_21,Pandemic,Coronavirus
52226_23,The cost of living,living costs
52333_22,Government unfit for purpose,pol-neg
52347_22,covid,Coronavirus
52397_21,Climate change,environment
52422_21,Covid-19,Coronavirus
52630_21,COVID,Coronavirus
52672_21,brexit,europe
52687_21,Economy,economy-general
52805_21,Covid,Coronavirus
52919_23,Cost of Living,living costs
53055_22,Immigration,immigration
53146_21,covid,Coronavirus
53204_23,Inflation,inflation
53256_22,Elitism and corruption,pol-neg
53327_21,covid,Coronavirus
53395_21,Unemployment,unemployment
53400_22,Coronavirus,Coronavirus
53530_23,cost of living,living costs
53552_21,unemployement,unemployment
53683_22,The government,pol-neg
53695_22,illegal asylum seekers,asylum
53721_23,Infkation,inflation
53736_21,jobs,unemployment
53746_23,Incompetent & dishonest government,pol-neg
54001_23,The state the UK is in,pol-neg
54375_23,The economy,economy-general
54567_21,The Pandemic,Coronavirus
54600_22,Covid,Coronavirus
54662_22,Covid,Coronavirus
54686_22,coronavirus,Coronavirus
54793_23,rising prices,living costs
54839_22,Covid,Coronavirus
55182_23,Knife crime,crime
55216_23,nhs,health
55305_22,Covid,Coronavirus
55337_22,Covid,Coronavirus
55520_21,pandemic,Coronavirus
55652_23,pensioners struggling to pay their bills,pensions/ageing
55855_23,It's government. Or lack of,pol-neg
55946_22,Pandemic,Coronavirus
56001_22,Covid,Coronavirus
56020_21,Tories,partisan-neg
56023_22,Covid,Coronavirus
56046_23,Immigration,immigration
56121_22,Covid,Coronavirus
56164_23,Economy,economy-general
56175_21,covid,Coronavirus
56180_22,Covid 19,Coronavirus
56527_22,covid,Coronavirus
56562_21,EU aggression,europe
56760_21,coronavirus,Coronavirus
56813_21,Pending unemployment,unemployment
56817_22,Covid,Coronavirus
56887_23,Cost of fuel,living costs
57190_22,Covid,Coronavirus
57212_22,Covid,Coronavirus
57297_22,immigration,immigration
57505_22,terrorism,terrorism
57684_22,Housing,housing
57775_22,COVID Issues,Coronavirus
57777_23,Cost of living crisis,living costs
57971_23,Cost of living,living costs
58084_21,Covid,Coronavirus
58204_22,covid,Coronavirus
58337_22,Economy,economy-general
58337_23,Rising cost of living,living costs
58365_22,The Economy,economy-general
58401_21,covid 19,Coronavirus
58426_23,Illegal immigration,immigration
58452_23,Health care & staff,health
58457_23,Climate Change,environment
58551_21,The economy.,economy-general
58814_21,Covid,Coronavirus
58900_23,The Conservative Government eroding democracy.,partisan-neg
58937_21,Covid,Coronavirus
59036_23,Climate Change,environment
59098_23,NHS is a disaster,health
59146_21,Lack of choice in medical alternatives within nhs,health
59235_21,Unemployment,unemployment
59330_23,Ukraine,foreign affairs
59408_23,world-wide inflation,inflation
59499_21,Covid,Coronavirus
59640_23,dishonest politicians,pol-neg
59645_21,Recovery from Covid-19,Coronavirus
59670_22,Coronavirus,Coronavirus
59837_22,The various consequences of the virus,Coronavirus
59878_22,NHS,health
59953_23,Boris Johnson,partisan-neg
60135_21,climate change,environment
60164_22,The economy,economy-general
60433_21,COVID-19,Coronavirus
60755_22,COVID 19,Coronavirus
60933_21,Covid,Coronavirus
61070_23,Inflation,inflation
61169_21,Covid,Coronavirus
61439_23,Gas and electric price rise,living costs
61500_22,covid,Coronavirus
61796_22,Brexit,europe
61833_22,Climate Change,environment
61843_22,NHS privatisation,health
62017_22,COVID 19,Coronavirus
62138_21,covid,Coronavirus
62167_22,Covid,Coronavirus
62325_23,The economy and cost of living,economy-general
62558_22,Unknown future,uncoded
62582_23,Russia/Ukraine conflict,war
62616_22,Covid,Coronavirus
62697_22,Covid,Coronavirus
62929_22,Covid 19,Coronavirus
62938_23,Getting rid of Boris Johnson,partisan-neg
63143_21,The Brexit deal,europe
63287_23,economy,economy-general
63356_22,Coronavirus,Coronavirus
63421_21,Covid,Coronavirus
63543_22,Covid,Coronavirus
63644_21,Environment,environment
64638_23,The Conservative government,partisan-neg
65058_21,Covid,Coronavirus
65265_22,Covid 19,Coronavirus
65317_22,Covid,Coronavirus
65419_22,Covid restrictions,Coronavirus
65419_21,Coronavirus recovery,Coronavirus
65476_21,COVID pandemic,Coronavirus
65557_23,crime,crime
65575_21,Covid,Coronavirus
65648_23,Inflation,inflation
65675_21,NHS,health
65895_22,Coronavirus,Coronavirus
65918_23,inflation,inflation
65931_21,Economy,economy-general
65968_23,ENERGY PRICE RISE,living costs
66261_21,Poverty,poverty
66658_23,Peoples sex. Not gender identity. This matters to women.,pol value-auth
66678_23,Energy prices,living costs
66736_21,Covid,Coronavirus
66746_23,Too meny to mension,uncoded
67273_23,Rising living costs,living costs
67663_22,Health Service,health
67706_21,economy,economy-general
67716_21,Covid,Coronavirus
67939_23,climate change,environment
68026_21,pandemic,Coronavirus
68097_21,Covid 19,Coronavirus
68210_21,covid,Coronavirus
68221_22,Covid-19,Coronavirus
68262_21,covid,Coronavirus
68275_21,Economy needs to recover,economy-general
68862_21,Covid,Coronavirus
69145_23,Cost of living,living costs
69475_23,the cost of living,living costs
70002_22,Immigration,immigration
70075_21,Housing,housing
70187_23,Cost of living,living costs
70203_21,Covid variant,Coronavirus
70214_22,Covid,Coronavirus
70257_22,Crime and lack of community,crime
70313_23,War in Ukraine,war
70415_23,Immigration,immigration
70423_23,Cost of living crisis,living costs
70442_21,Coronavirus,Coronavirus
70465_21,Government,pol-neg
70522_22,Covid,Coronavirus
70698_23,Inflation,inflation
70805_21,The economy,economy-general
70843_21,Immigration and over population,immigration
70914_23,Russia,foreign affairs
70956_23,Protecting the environment,environment
70974_23,NHS waiting lists,health
71094_21,Covid,Coronavirus
71141_23,Immigration,immigration
71195_22,Overpopulation,other
71234_21,Recovery from Covid,Coronavirus
71301_23,idiots running the country,pol-neg
71392_22,the left,pol values-right
71707_21,population,uncoded
71746_21,Covid 19,Coronavirus
71808_23,Poverty,poverty
71857_23,Immigration,immigration
71880_22,Covid-19,Coronavirus
72005_21,covid 19,Coronavirus
72043_21,Covid-19 recovery,Coronavirus
72081_21,Covid,Coronavirus
72201_23,Cost of living,living costs
72312_22,Poor Government,pol-neg
72397_22,Covid 19,Coronavirus
72435_23,Overpopulation,other
72608_22,Climate change,environment
72714_22,Climate change,environment
72787_21,Getting the Tories out,partisan-neg
72791_23,Housing,housing
72799_21,Coronavirus,Coronavirus
72944_22,health,health
72959_23,Equality,inequality
72973_22,Government corruption,pol-neg
73033_22,Covid,Coronavirus
73107_23,Cost of living crisis,living costs
73129_21,Covid,Coronavirus
73418_22,Pandemic,Coronavirus
73445_21,Coronavirus,Coronavirus
73453_22,migrants,immigration
73555_23,Unity,societal divides
73816_22,Covid,Coronavirus
73927_23,Economy,economy-general
73937_22,Climate change,environment
74060_23,Poverty,poverty
74065_21,Climate change,environment
74432_21,Economy,economy-general
74670_22,Covid,Coronavirus
75044_22,COVID 19,Coronavirus
76048_21,Covid,Coronavirus
76115_21,environment,environment
76349_22,Immigration,immigration
76606_21,The EU,europe
76738_21,Crime,crime
76754_22,Covid,Coronavirus
76939_23,Education,education
76962_22,immigrants crossing the English Channel,immigration
77104_23,cost of living,living costs
77154_21,Virus,Coronavirus
77251_23,Cost of living,living costs
77381_21,Covid,Coronavirus
77439_22,Immigration,immigration
77606_21,Economy,economy-general
77715_21,Covid,Coronavirus
77788_22,Violent crime,crime
77997_21,Economic fallout from Brexit,europe
78030_23,Corina virus,Coronavirus
78110_21,Poor education and values for people with low income,pol value-auth
78155_21,PANDEMIC,Coronavirus
78195_22,Health,health
78223_23,Rising cost of living,living costs
78339_23,Cost of living,living costs
78521_23,Cost of living,living costs
78544_21,Debt,debt/deficit
78545_22,Climate change,environment
78546_23,Economy,economy-general
78554_22,Climate change,environment
78572_21,Crime,crime
78639_21,COVID-19,Coronavirus
78647_23,immigration,immigration
78783_22,Climate change,environment
78871_23,Cost of living,living costs
78898_21,COVID-19,Coronavirus
78950_21,covid,Coronavirus
79007_22,Covid,Coronavirus
79057_21,Covid,Coronavirus
79117_22,climate change,environment
79139_23,Economy,economy-general
79274_22,Covid,Coronavirus
79323_23,Electric prices,living costs
79403_23,"Inability to be self sufficient in manufacturing ,agriculture and energy",international trade
79634_23,Corruption,pol-neg
79650_21,Covid-19,Coronavirus
79699_23,Cost of living,living costs
79824_22,Global warming,environment
79865_22,Immigration,immigration
79951_21,Covid,Coronavirus
80058_21,Covid_19,Coronavirus
80075_22,Covid,Coronavirus
80203_21,safe release of covid restrictions,Coronavirus
80853_22,Climate change,environment
81037_21,economy,economy-general
81324_22,Illegal immigration,immigration
81450_22,covid,Coronavirus
81487_23,Economy & cost of living,living costs
81517_22,Brexit,europe
81521_23,Cost of Living,living costs
81651_21,Covid,Coronavirus
81793_21,Covid,Coronavirus
81892_21,Economic fallout from Brexit and CV19,COVID-economy
82039_22,Immigration,immigration
82058_21,Conservative Party Incompetence,partisan-neg
82288_22,Illegal immigration,immigration
82304_22,immigration,immigration
82498_23,Brexit,europe
82504_22,Crime,crime
82526_23,Inflation,inflation
82574_23,The economy,economy-general
82648_21,The PPE contract. scandal,pol-neg
82678_21,covid,Coronavirus
82743_23,Immigration,immigration
82868_21,Covid,Coronavirus
82879_21,Climate change,environment
82923_21,Health crisis,health
83025_23,A corrupt government removing our democracy,pol-neg
83085_21,health - fighting the Corona virus,Coronavirus
83405_21,Covid 19,Coronavirus
83433_21,Coronavirus,Coronavirus
83461_21,Health,health
83499_23,Putin,foreign affairs
83602_22,Poverty,poverty
83850_22,COVID,Coronavirus
83893_21,Coronavirus,Coronavirus
83927_23,Poverty,poverty
84049_23,The destruction of the country's economy and morals due to the racism and stupidity of Brexit,europe
84159_23,Climate change,environment
84178_23,Cost of living,living costs
84280_21,Opening country back up,Coronavirus
84381_23,Immigration,immigration
84567_21,Covid 19,Coronavirus
84668_22,C0vid,Coronavirus
84682_23,Energy prices,living costs
84754_21,welfare state,welfare
84837_22,coronavirus,Coronavirus
84860_23,economy,economy-general
84907_21,COVID-19,Coronavirus
85024_21,The government,pol-neg
85106_21,Financial recovery,economy-general
85168_21,EQUALITY,inequality
85239_21,Covid,Coronavirus
85293_23,inequality,inequality
85330_22,Brexit.,europe
85345_23,Inflation,inflation
85499_23,inflation,inflation
85522_23,Cost of living,living costs
85661_23,Inflation,inflation
85771_22,The economy,economy-general
85882_22,Conservative Government,partisan-neg
85913_23,Greed,uncoded
85924_23,economy,economy-general
85982_23,Cost of living,living costs
86102_22,The economy,economy-general
86111_22,Covid-19,Coronavirus
86149_21,Finances,economy-general
86156_22,Covid,Coronavirus
86158_22,The economy,economy-general
86212_21,Covid,Coronavirus
86247_21,COVID,Coronavirus
86265_23,Illegal immigration,immigration
86416_23,Economy,economy-general
86523_22,social care,pensions/ageing
86643_22,economy,economy-general
86685_23,Price increases,living costs
86686_23,Cost of living.,living costs
86690_22,Climate change,environment
86723_23,Cost of living,living costs
86743_23,economy recovery,economy-general
86820_22,Culture War,societal divides
87034_22,corvaire,Coronavirus
87052_23,Cost of Living,living costs
87078_23,Economy,economy-general
87399_22,Asylum seekers crossing channel,asylum
87415_21,Covid,Coronavirus
87463_23,Cost of living,living costs
87520_23,Brexit,europe
87804_23,Poverty that will lead to crime,poverty
87856_22,Covid,Coronavirus
87865_23,covid,Coronavirus
87947_23,Brexit,europe
87992_22,Imigrants,immigration
88018_21,Ecomomy,economy-general
88107_21,covid,Coronavirus
88108_22,Tory Rule,partisan-neg
88195_22,Covid 19,Coronavirus
88202_22,Immigration,immigration
88307_23,illegal immigration,immigration
88318_23,Cost of living,living costs
88427_23,Cost of living crisis,living costs
88734_23,The war in Ukraine,war
88970_21,Coronavirus,Coronavirus
89001_22,Corona virus,Coronavirus
89037_23,Rising prices,living costs
89066_22,Environmental,environment
89077_22,Covid,Coronavirus
89099_22,NHS,health
89271_21,Nhs,health
89274_21,Covid hoax,Coronavirus
89376_21,Covid,Coronavirus
89380_23,rising cost of living,living costs
89393_23,N H S,health
89416_21,Covid,Coronavirus
89544_21,Covid,Coronavirus
89782_22,Climate change,environment
89813_22,Corona virus,Coronavirus
89830_23,the economy,economy-general
89960_22,Economy,economy-general
90126_22,Covid-19,Coronavirus
90430_23,Cost of living,living costs
90492_21,Covid 19,Coronavirus
90629_21,Corona,Coronavirus
90697_22,Covid pandemic,Coronavirus
90719_22,Covid,Coronavirus
90797_22,Trust,pol-neg
91001_23,cost of living,living costs
91018_23,Partygate,pol-neg
91268_22,Coronavirus,Coronavirus
91321_23,Economy,economy-general
91329_21,Covid 19,Coronavirus
91371_23,Cost of living,living costs
91616_23,Information,uncoded
91716_23,Financial,economy-general
92247_22,covid,Coronavirus
92289_21,Covid 19,Coronavirus
92359_22,Covid 19,Coronavirus
92420_22,Migration across the English Channel,immigration
92692_22,Poverty,poverty
92735_21,Covid,Coronavirus
92847_23,THE ECONOMY,economy-general
93310_22,Tax,taxation
93361_21,Climate change,environment
93413_21,Brexit,europe
93479_21,Covid,Coronavirus
93697_22,Global warming,environment
93759_21,Covid,Coronavirus
94047_21,immigration,immigration
94215_22,Cost of living,living costs
94539_22,Covid 19,Coronavirus
94582_23,cost of living,living costs
95140_21,Coronavirus,Coronavirus
95173_23,Cost of living crisis,living costs
95266_22,Coronavirus,Coronavirus
95397_21,Human rights,pol values-liberal
95414_22,Covid spread,Coronavirus
95439_22,Covid,Coronavirus
95489_22,Covid,Coronavirus
95559_22,NHS,health
95654_21,Tory government,partisan-neg
95930_23,inflation,inflation
96212_23,Economy,economy-general
96217_22,violent crime,crime
96223_22,The economy,economy-general
96298_22,COVID,Coronavirus
96410_23,Poverty for the disabled,poverty
96461_21,Climate change,environment
96705_21,COVID,Coronavirus
96775_23,Inflation,inflation
96894_23,Wealth divide,inequality
96943_22,Covid,Coronavirus
96961_21,Coronavirus,Coronavirus
96963_22,Increasing prices,living costs
97033_23,the economy,economy-general
97324_22,Social care,pensions/ageing
97392_21,Lockdown,Coronavirus
97412_21,Economic recovery,economy-general
97542_21,Covid,Coronavirus
97676_22,Covid,Coronavirus
98259_23,Cost of living,living costs
98551_22,Covid,Coronavirus
98590_22,Cost of living,living costs
98649_22,Covid 19,Coronavirus
98681_22,homeless people,housing
98713_23,To many immigrants living in uk,immigration
98759_22,Covid,Coronavirus
98854_21,Covid,Coronavirus
99098_21,Covid-19,Coronavirus
99470_22,Covid19,Coronavirus
99472_21,Covid 19,Coronavirus
99622_21,Covid 19,Coronavirus
99686_21,Covid-19,Coronavirus
99738_22,Covid,Coronavirus
99792_23,Rising energy costs.,living costs
99802_21,economic recovery,economy-general
99815_23,Cost of Living increases,living costs
99835_21,Pollution,environment
99841_21,Covid,Coronavirus
99901_22,Brexit,europe
