text,gt_event_type
"Over 100 armed men attacked the village, ransacked houses, ejected women from their houses and manhandled them. They later resorted to indiscriminate aerial firing. The incident took place when the male members of the village had gone to attend a Muharram Majlis. The reason behind the event is said to be a dispute between the Talpurs and the Pariyars. ; Follow-up: A followup report claims that the issue between the two groups is a land dispute. ",TERRORISM
"Brick kiln worker, Abdul Ghafoor, was shot dead by two unidentified men on his way home. According ot his brother, Mansoor, he did not have any enmity. ",ASSASSINATION
Low intensity cracker bombs were planted under a car in front of Captain Inamul Haq's house and detonated by 'miscreants' to 'create unrest among citizens'. ,TERRORISM
A teenage rag picker lost his hand when a low intensity bomb exploded in Samanabad.,TERRORISM
"A man, along with his brother, threw acid on his former wife, critically injuring her. ",ASSASSINATION
A gas pipeline was blown in Loti gas field area resulting in suspension of supply to gas purification plant. ,TERRORISM
The protesters attacked almost all governmetn buildings and blocked the Quetta Taftan highway causing suspension of traffic.  Several buildings were set on fire in the protest against the killing Nawab Akbar Bugti in a military operation the previous day. ,VIOLENT_POLITICAL_DEMONSTRATION
Helicopters shelled suspected militant positions and destroyed an FM radio station operated by militants. ,GOV_ATTACK_ON_NONSTATE_COMBATANTS
JUI's Secretary-General Abdul Ghafoor Haideri led a demonstration in order to condemn the US for launching an attack on Afghanistan. The workers burnt an effigy of the US President on Circular Road and tyres on Multan Road. Maulana Haideri stated that jihad would be waged in Afghanistan and Pakistan if the Pakistani government stopped supporting the Taliban. ,VIOLENT_POLITICAL_DEMONSTRATION
"A man, Moosa, was shot dead in Kalakot",ASSASSINATION
A 55 year old unidentified man was found dead in Gurimandar. The unidentified man was killed after he as hit by bullets. The circumstances in which he was killed could not be known.,ASSASSINATION
"Armed militants attacked security personnel who were conducting a search operation. In the clash that ensued, 15 militants were killed and 4 were arrested . A soldier was injured in the exchange. 4 beheaded bodies of militants were also found. ",CONVENTIONAL_ATTACK_ON_GOV_FORCES
An Afghan national and his son were killed in Lawra Mandi in Miranshah on the charge that they were spying for the United States. They supplied goods to the Allied forces in Afghanistan.,ASSASSINATION
"The body of a young man, Liaquat Ali Khan, with his throat slit and abdomen ripped out was found inside his car. He was a dealer of electronic goods.",ASSASSINATION
"Police baton-charged and arrested activists of the PML-N who had gathered outside the Masjid Shuhada to offer funeral prayers for Pir Binyameen Rizvi. The police authorities, after talks, released around 100 activists who later staged a sit-in on The Mall. ",GOV_ATTACK_ON_CIVILIANS
"JSSF leaders, speaking at a press conference alleged that police tortured a worker Abdul Khaliq Mehar during an illegal detention. They claim he was picked up and taken to an undisclosed location and interrogated about their leader Dr. Qadir Magsi. He later succumbed to his injuries in the hospital.",GOV_ATTACK_ON_CIVILIANS
"Two people Babar and his 5-year-old brother Waqar, of Gattha group, had left their house by a car driven by their driver when their allegedly their rivals from Khokar group opened fire at them injuring all three of them and a passerby. They were taken to the hospital where Babar and his driver succumbed to injuries. the condition of other two is also ssaid to be critical.",ASSASSINATION
Police recovered a low-intensity bomb from a hotel in Rawalpindi.,THREAT_OF_VIOLENCE
"According to DIG Makran Range, a remote controlled car bomb exploded as a van of Chinese Harbour Engineering Company carrying 14 people, including 11 Chinese engineers was passing. No group or organization had so far claimed responsibility for the attack. ",TERRORISM
militants fired a rocket at the Landi Kotal helipad which landed near the Hamza Baba shrine. It caused no damage but spread panic among the people.,TERRORISM
"An explosive device planted under a pipeline in Sui went off, damaging the pipeline severely. However, gas supply was noy suspended.",TERRORISM
"At Lund Khwar, unidentified people allegedly gunned down an aged person, Sadiq Baba. His son, Shah Wali, filed an FIR.",ASSASSINATION
one soldier was injured when a bomb exploded near the Banda checkpost.,GUERILLA_ATTACK_ON_GOV_FORCES
"Two motorcyclists resorted to indiscriminate firing, causing injuries to one person. ",TERRORISM
"militants' hideouts in Zaimdara,Shagai, Dabako, Babagam and other areas of Maidan came under shelling by security forces.",GOV_ATTACK_ON_NONSTATE_COMBATANTS
"100s of traders blocked the main road, burnt tyres and chanted slogans against the political leadership to protest loadshedding that had lasted for upto 22 hours. ",VIOLENT_POLITICAL_DEMONSTRATION
"In Nishtarabad, voting had to be suspended ad women began to fight with fists and sticks. This occurred during the fourth phase of local body elections. ",RIOT
police defused an explosive device lying by a pylon near Baghbana.,TERRORISM
"Unidentified men opened fire on the house of Mansoor Chacha (a deceased MQM leader), killing two people inside, while injuring the son. A woman also got caught in the crossfire and was wounded. An eyewtiness stated that the armed men were wearing red caps. ",TERRORISM
India did shelling in Kotli Parmanand and Matianwala on Wednesday. However no casuality was reported.,ATTACK_ON_STATE
"The traffic constable, Muhammad Raffique, and the traffic inspector, Khalid Qureshi, saw a bomb lying on the roadside and imformed the Bomb Disposal Squad who defused the bomb. They said that the bomb weighed around 8 to 10 kgs and was made in Pakistan. ",TERRORISM
Two unidentified men were found dead.,OTHER
"An internet café and two CD shops were blown up in various areas of the provincial capital. Police were forced to ask the rest of the CD, video shops and internet cafes to close down businesses as this was not being tolerated by the Taliban.",TERRORISM
A local tribesman was killed and four Taliban militants were injured when they clashes in Shakai area in South Waziristan.,RIOT
The bodies of three young men were found from two places in Korangi. One was found lying in the Gawa factory while the other two found dumped next to a shrine nto far from the factory. ,OTHER
"A religious leader of Dargah Shah Yaqiq, Khalifo Mohammed Ramzan Dars was shot dead by his rivals, while returning to his coastal town, Ladion, after attending a court hearing in Sujawal. The motive of the murder is stated to be old enmity over a land dispute.",ASSASSINATION
A dispenser was shot dead by two unidentified men in Kahna on Sunday,ASSASSINATION
"a labourer, Mubashar, was killed in an explosion in a scrap godown in Samnabad.",OTHER
"Four outlaws and two tribal volunteers were killed and a military officer and five other people wounded in a clash between a lashkar and a gang of criminals. The criminal gang stopped the vehicle of Capt Faisal Islam of the Razmak Cadet College and his two guards, and snatched away their weapons and took the offiical away. The guard of Capt Faisal informed a local tribe of the incident, who traced the kidnappers and surrounded them. A clash then occured between the tribal volunteers and the criminal gang.",RIOT
"In a rare incident of its kind on the international border, the Indian forces opened fire from across the Wagah border after mistaking an unexplained explosion in a village in East Punjab for 'rocket fire from Pakistan'. New Delhi said it was a retaliatory fire in response to two rockets fired inside its territory from Pakistan side, but Islamabad dismissed the allegation. ",ATTACK_ON_STATE
"According to Pir Binyamin Rizvi, the police is arresting PML activists before the arrival of party president, Shahbaz Sharif, in order to prevent a reception for him. 2 activists were arrested",GOV_ATTACK_ON_CIVILIANS
Two brothers were killed and one was injured in an attack over a dispute involving karo kari. Details not available.,ASSASSINATION
Sobho Oad and his son Saman Oad were seriously injured when some armed men attacked them at Johri Farm village. ,ASSASSINATION
three people including an alleged terrorist were injured in a bomb balst at a bus stand in Quetta. The blast occurred as the accused tried to enter the bus.,TERRORISM
"Haji Muhammad Hanif, who was a PPP member and also part of the area Zakat Committee, was killed when armed motorcyclists fired 7 shots at him and fled. ",ASSASSINATION
"Rockets were fired on South Waziristan Scouts posted at Nawai Kot. However, no damage was done in the attack.",GUERILLA_ATTACK_ON_GOV_FORCES
A person was killed by unknown assailants in Moinuddinpur on Wednesday.,ASSASSINATION
A young man was shot and killed in his sleep when unknown persons broke into his room and opened fire before making their escape.,ASSASSINATION
"Fierce clashes erupted between local tribesmen and foreign militants when some people opened fire on a pro-government elder Malik Saadullah Darikhel, a local peace committee head, who had previously survived two more attacks on his life. This attack infuriated his relatives and a gunbattle between the foreginers and activists of the peace committee helped by the members of the Darikhel tribe ensued. It is worth mentioning that Malik Saadullah is considered a staunch opponent of foreign elements in the tribal area, and had been organizing fellow tribesmen against them, which is probably why there have been so many attempts on his life. ",RIOT
a doctor was shot dead at his clinic in sector 11-S of the New Karachia area by three attackers. The doctor had no political or religious affiliations.,ASSASSINATION
"One, Azmat Ali of Village Jalalpur was Bhattian along with his accomplices murdered his sister Shamim on suspicion of bad character.",ASSASSINATION
"A teacher at Habib Public school and a Pesh Imam of the Yasrab Masjid-o-Imambargah, Allama Razi Hyder, along with his sons was going to Habib Public School when 4 to 5 unknown assailants fired at their car. A senior police official stated that the attack seemed to be sectarian-motivated.",ASSASSINATION
Unidentified assalants in a truck opened fire on the police party in Mehran Hotl Intersection on Friday injuring two cops and a pedestrian. Police cordoned off the areas leading to Cantt Railway Station where people wanted to go to receive PPI leader.,CONVENTIONAL_ATTACK_ON_GOV_FORCES
Two men were injured in a shooting incident near Al-Asif square in the jurisdiction of Gulzar-e-hijri.,TERRORISM
"Students of one BSO faction allegedly opened fire at a group of students from their rival faction, causing injuries to three students. ",ASSASSINATION
Nasar Khan axed to death his sister over suspicion of having illicit relations.,ASSASSINATION
A villager was killed and another was injured in a heavy landmine blast in the Kot Nainan village in the Sialkot working boundary's Shakargarh sector. ,TERRORISM
A bus of route G-27 was set on fire by unknown arsonists.,TERRORISM
The bullet-riddled bodies of Zahoor Baloch and Faqir Mohammad were found. The BSO-Azad claimed that Zahoor Baloch was an active member of the student party and that the two victims had been missing for a month. ,ASSASSINATION
A man was injured in indiscriminate firing by unidentified men.,TERRORISM
A man and his two sons were wounded in 'sniper firing' at Disco Chowk in Orangi.,OTHER
three personnel of Levies sustained injuries in a roadside explosion near Khar.,GUERILLA_ATTACK_ON_GOV_FORCES
12 mortar shells were fired fron Afghanistan across the border. However no loss of life or property was reported as they landed in an open field. It may be noted that a joint army and FC camp is situated in the Alwari Mandi area.,ATTACK_ON_STATE
"During a raid, military helicopter gunships destroyed 2 militant hideouts and killed 6 militants. ",GOV_ATTACK_ON_NONSTATE_COMBATANTS
A man and a woman were killed in Mawali Shar village on the pretext of karo-kari. Police registered a case against the woman's husband and his accomplices.,ASSASSINATION
"Railway Police foiled an subversive attempt and siezed five hand-grenades from the Rawalpindi-bound train. A suspect, Fayyaz Hussain, has also been arrested.",TERRORISM
5 assailants shot dead PSF activist Liaquat Waraich outside his house. They showed up on a car and called him out of his house before opening fire on him. The victim's uncle has alleged that two IJT workers were among the assailants. ,ASSASSINATION
"A correspondent of Mashriq, Amjad Ali Shah, was attacked by an armed group of timber mafia and seriouly injured. He had been receiving threats because he was drawing attention to the massive deforestation that was taking place. The police refused to register and FIR and seemed to be protecting the atackers.",TERRORISM
Around 27 workers were arrested and several others received injuries when police baton-charged protestors in a bid to disperse them. Businesses remained shut during the strike called by the PADC to protest US strikes in Afghanistan. Protestors staged a sit-in on the road near Risalpur and public & private transport remained off the road throughout the day as the district administration called out the army as well to disperse the demonstrators.,VIOLENT_POLITICAL_DEMONSTRATION
"A fierce gunbattle took place between two rival groups, Zargunkhel and Mulano Kallay, over a land dispute in Darra Adamkhel, which left four people dead and two others injured.",RIOT
Thousands of people joined the Mma protest rally against the operation in Wana and against the pro-US policies of General Musharraf. They also burnt an effigy of General Musharraf. Qazi Hussain Ahmad addressed the protestors.,VIOLENT_POLITICAL_DEMONSTRATION
A bomb went off outside the college gate of Khyber Homoeopathic College Sharifabad on Tuesday. However no loss of life was reported.,TERRORISM
The bullet ridden body of Naushad Ali was found. He was reported missing in the afternoon on the same day (i.e.: 16-May-04),ASSASSINATION
Two people were killed and eleven others were injured when a bomb exploded in the Venus Cinema in Okara. Management stated that two people had entered the cinema after the interval and left it shorty afterwards. ,TERRORISM
Supporters of the MQM-H set on fire shops owned by their rivals (MQM - Altaf). This came after 4 MQM-H had been killed during raid on the party office in Shah Faisal Colony. ,TERRORISM
"In leepa sector, two people were killed in intense Indian firing/shelling from across the LoC in the Chunnian village.",ATTACK_ON_STATE
Two people stepped on a land mine and were critically injured.,TERRORISM
Indian commandos sneaked into the southern village of Azad Kashmir along LoC and massacred 14 people including women and children on Friday. 5 people got injuries while 3 succumbed to death,ATTACK_ON_STATE
An 11 year old girl was injured when a stray bullet hit her in the arm during firing in Korangi between unruly youngsters and the police. ,OTHER
"Two brothers, Rashid and Sajid, were shot dead when they were at the sessions court in relation to a blasphemy case they had been booked in. Both the victims belonged to the Christian faith. A police man was also injured in the firing that was done by a group of gunmen. ",ASSASSINATION
Militants blew up a primary school for boys. ,TERRORISM
A school boy was shot dead by unidentified people. ,ASSASSINATION
one person was killed and several others were injured in a clash between rival groups of Nomadics in Chak No. 313/HR (Faqirwala).,ASSASSINATION
A young woman was found throttled to death in Kalri on Thursday,ASSASSINATION
Taliban attacked a security check post in Wenai area in Swat injuring one security personnel.,GUERILLA_ATTACK_ON_GOV_FORCES
A woman was killed when unidentified gunmen opened fire in the neighbourhood.,TERRORISM
"Armed motorcyclists opened fire on a tanker carrying fuel for Nato forces in Afghanistan. Following the firing, the driver stopped the tanker and the assailants proceeded to set it on fire. ",TERRORISM
"Four people, including a nine year old vendor, were injured in a grenade attack on the Garrison cinema owned by army.",TERRORISM
Unknown gunmen on a motorbike opened fire on Iran-bound pilgrims who were waiting for a bus to take them to the border. Three of the victims died on the spot while 4 others were injured. Police deemed the motives to be sectarian. ,TERRORISM
A minor boy was killed and two men seriously injured when two rival parties exchanged fire in village Ghadiala eastern. The rival parties were the Asghar and Ashraf groups.,RIOT
A man was wounded in a 'sniping incident' at the Baloch Hotel in Liaquatabad.,OTHER
"angry protesters blocked the car of the federal minister, Syed Khursheed Ahmed, when he came out of the airport building. There were at least 400 sacked employees of the Sui Southern Gas Company along with 200 sacked employees of railway sleeper factory and hundreds of unemployed youths. the sacked SSGC employees said that they had been reinstated through presidential order with the assurance that thehy would get all monetary benefits, however no such thing had happened despite a lapse of 6 months. The minister assured them that they would receive their joining letters and monetary benefits soon. the police had to resort to baton-charge to disperse the protesters so that the minister could exit.",VIOLENT_POLITICAL_DEMONSTRATION
Hafizullah has a suspicion that his sister had relations with a man. He forbade her but she didn't listen. Then he shot her dead and fled.,ASSASSINATION
"Over 200 activists of the Jamat-i-Islami and Shahab-i-Milli disrupted a music show at Jinnah Stadium when they cut the power supply and threw crackers in the stadium. Armed with batons, they smashed the windscreens of cars, wagons and buses parked outside. POlice baton-charged the rioters and fired tear-gas shells to disperse the crowd. Six people were injured in the baton-charge and four policemen sustained injuries when pelted with stones. ",OTHER
"A road side remote-controlled bomb was used to target a security forces vehicle, killing 2 personnel and injuring another 4. ",GUERILLA_ATTACK_ON_GOV_FORCES
25 workers plucking peaches were injured in a mortar attack.,GOV_ATTACK_ON_NONSTATE_COMBATANTS
Gunship helicopters destroyed 3 militant hideouts in Madorhi area and killed 10 militants in Dabori area. 7 militants were also injured in the shelling. ,GOV_ATTACK_ON_NONSTATE_COMBATANTS
Provincial Minister Sardar Sanaullah Zehri escaped an attempt on his life when a bomb was detonated by remote control when their vehicle was close to Surab in Kalat. The Baloch Liberation Front claimed responsibility for the attack.,ASSASSINATION
"Mr Julius Salik-MNA and eight other christians were arrested by the police after they were baton-charged as they were protesting on Shahrah Quaid-e-Azam on Thursday. Protesters also pelte stones to damage neon-signs, traffic signals and windscreens of private cars.",VIOLENT_POLITICAL_DEMONSTRATION
One person was killed and 14 others injured during a riot between activists of Anjuman-i-Sipah-i-Sahaba and Shia activists. The riot started after both sides raised slogans against eachother and later there as an exchange of gunfire.,RIOT
Unknown gunmen intercepted and opened fire at a van that was taking labourers of Babri Cotton Mill to their homes. 2 labourers were killed and 4 were injured. ,TERRORISM
Tehrik-i-Nifaz-i-Fiqh-Jafaria staged a demonstration and blocked traffic by burning tyres as a protest against bailing out of Mr. Fazle Haq. ,VIOLENT_POLITICAL_DEMONSTRATION
1 person was killed and his son was injured in a bomb blast occurred at Mohalla Sheranwala on Saturday.,ASSASSINATION
"Demonstrators, who were protesting against power outages, had planned to lead a rally to a WAPDA grid station in Kharrik locality. However, the police intercepted them and the mob retaliated by pelting them with stones. Police resorted to tear gas shelling and baton charge in order to disperse them. 3 policemen were among the 8 people injured. ",VIOLENT_POLITICAL_DEMONSTRATION
"A powerful explosion caused 7 injuries to guests at the Marriot hotel that included a US diplomat; Abdullah Mehsud, an Al-Qaeda linked commander, took responsibility for the blast on 31st October.",TERRORISM
"a protest demonstration against Prime Minister Nawaz Sharif. As a result 62 political workers of different political parties were arrested. The People's Party, JKLF and the Four Party Democratic Alliance had gathered at the main chowk. The police resorted to lathi-charge to disperse the angry protesters and both sides pelted eachother with stones. several people were injured. the protesters also burnt tyres and blocked the road.",VIOLENT_POLITICAL_DEMONSTRATION
A police post in Tank was attacked in Tank when authorities imposed a curfew in the area after clashes between miscreants and security forces a day before. No other information was given.,CONVENTIONAL_ATTACK_ON_GOV_FORCES
A number of journalists were injured when police baton-charged a procession taken out to mark the International Press Freedom Day. The Punjab Union of Journalists had organised the rally and the participants wanted to march to the Governor’s House from the Dyal Singh Mansion.They were stopped by police at the Chairing Cross. Senior police officials told journalists they had orders to stop them from holding a march. This led to exchange of hot words between journalists and police who resorted to a baton-charge.,VIOLENT_POLITICAL_DEMONSTRATION
A watchman was shot dead by some unidentified men in a factory in Chuhng while he was on duty. The motive behind the murder could not be ascertained.,ASSASSINATION
Salim Beg was injured when his pick-up was fired at in Shah Faisal Colony. ,TERRORISM
Tanvir Malik was standing ooutside his house when two armed motorcyslists fired at him. He survived with injuries. The reason behind the attack could not be ascertained.,ASSASSINATION
Interior Minister Aitzaz Ahsan and former Punnjab Governor Ghulam Mustafa Khar were fired upon by unidentified gunmen during polling for by-elections in NA-99. They escaped unhurt.,TERRORISM
The lahore bound chiltan express had a narrow escape when a powerful bomb went off on the railway tracks but the driver managed to apply the breaks in time and stop the train before it reached the damaged part of the railway line. It is also noteworthy that Pakistan railways has been using pilot trains since the begining of trouble in Balochistan.,TERRORISM
A 47 year old man was gunned down when unidentified men opened fire on him while he was standing outside a mosque in the Khadda market area. ,ASSASSINATION
"A man was killed in Lakhti Banda in Hangu district. He was accused of running a brothel. A note found on his body warned his family members that if they didn't stop the un-Islamic business, they would also be killed.",ASSASSINATION
A police checkpost was blown up in Peshawar on the Frontier Road.,CONVENTIONAL_ATTACK_ON_GOV_FORCES
Seven houses were damaged when two bombs went off in the Makeen and Azdikhel areas of South Waziristan. No loss of life was reported.,TERRORISM
An unruly mob stormed a phone centre damaging property when they were told that the free connections package deal they had been waiting for had been exshausted. Police were forced to used batons to disperse the crowd. Eye witnesses said two policemen were injured.,RIOT
"An explosive device planted near the house of the district nazim of Zhob exploded when the nazim was not present in his house. The explosion damaged the windowpanes of his house and adjacent houses. The nazim, Maulvi Habibur Rehman, belonged to the JUI (F).",ASSASSINATION
At least 10 people were killed and 37 were injured when a powerful bomb exploded in a mosque in Akbarpura on Friday.,TERRORISM
"Militants planted bombs at a school and detonated them, destroying the entire building. The Nawagai Political Tehsildar, Arshad Ali Khan, claimed that 2 tribesmen had been arrested under the collective territorial responsibility act. ",TERRORISM
"Four peope were killed and three others injured when their car was ambushed by unidentified gunmen, on their way to the court for a case hearing. The reason for the attack was not specified.",ASSASSINATION
"3 family members of the house of Jhando Chandio were killed by 10 bandits, led by Akbar Chandio, when they attacked his house over a land dispute. ",ASSASSINATION
"A plot's owner, Muhammad Salim Memon, with 3 magistrates and some police officials asked the illegal occupants of his land to leave. The occupants refused and resisted it, resulting in a clash that left 11 wounded. The police arrested 18 people",OTHER
"Saifuddin, a servant at the residence of Rashid Hussain, was shot as an unidentified man rang the doorbell and shot him when he opened the door.",OTHER
"A man was found shot dead in the Railway Wireless Colony, Misri Shah.",OTHER
"Maulana Ghulam Hussain Naeemi, a religious scholar, was shot and killed outside his mosque. The assailants knocked at his door, which was answered by the scholar's son who led them to the mosque where his father was at the time. As soon as Naeemi came out the assailants opened fire and fled. ; Follow-up: The President of the TNFJ expressed his shock at the killing and condemned it. (See Note)",ASSASSINATION
"A doctor was killed by unidentified gunmen, who after killing him set his car ablaze and fled.",ASSASSINATION
"Activists of the Sipah-i-Sahaba Went on a rambage burning several buses , shops and an imambargah ( a Shia mosque). They clashed with the police  and several were later arrested. They were protesting against the killing of four SSP activists a day earlier, in Islamabad.",VIOLENT_POLITICAL_DEMONSTRATION
Police arrested 123 workers of the PML when they tried to reach the Punjab Assembly. The police baton charged and teargassed the protesters. They were protesting against removal of PML's Chief Minister Ghulam Haider Wyne.,VIOLENT_POLITICAL_DEMONSTRATION
A man shot dead a watchman and then blew up a video shop in Mardan.,TERRORISM
1 person was killed and 2 were injured in Indian shelling along LoC in Keri Village on Sunday,ATTACK_ON_STATE
"Some MQM boys travelling in a car were attacked with stones by 12 teenagers, as  a result of which their car was damaged. ",TERRORISM
"Najma Begum and her mother-in-law were sitting at home when Hafiz Mohammad Boota, Muhammad Yousaf, and Muhammad Aslam barged in and shot at them. As a result, Najma was killed and her mother-in-law was injured. According to the police, the victims were supporting the rivals of t accused in a property dispute.",ASSASSINATION
A university student was knocked down by a minibus and killed. The accident sparked violence as an angry mob set the vehicle on fire and chanted slogans against the transport operators and traffic police. Police reached the spot to control the situation and were pelted with stones. Police resorted to tear gas shelling and baton-charging to take control of the situation. No casualties were reported.,VIOLENT_POLITICAL_DEMONSTRATION
A school teacher was killed and four policemen were injured when a bomb ripped the Uthal police station.,TERRORISM
6 people were injured when a bomb fixed to a motorbike exploded in Chakar Chowk area. The attackers appeared to have targetted an FC vehicle passing through the area.,GUERILLA_ATTACK_ON_GOV_FORCES
Unidentified men attacked and killed a shop owner at Dolly Video Centre in Block A of Nazimabad. The motive behind the murder could not be known.,ASSASSINATION
"Security forces claimed killing 18 militants in Charbagh area. Brigadier Tahir Hameed, who was leading the operation, said that troops had captured several wanted men an retrieved a large quantity of looted goods.",GOV_ATTACK_ON_NONSTATE_COMBATANTS
Sarai Alamgir police found an unidentified woman dead in Khumbi.,ASSASSINATION
Youngsters pelted stones at and damaged a van.,VIOLENT_POLITICAL_DEMONSTRATION
"Young protesters took to the streets, after a man was killed during a clash between two groups in Chandni Chowk, threw stones at vehicles and disrupted traffic. All shopping centres were closed throughout the day due to firing incidents; protesters also blocked the railway level crossing in Nazimabad, some youths even damaged a passenger bus and tried to set it on fire but the driver sped away.",VIOLENT_POLITICAL_DEMONSTRATION
"Armed men, riding in a taxi, opened fire at and injured two guards of Nawab Aslam Raisani while they were sitting at a hotel. Another person present at the hotel was injured.",ASSASSINATION
Two people were killed and four others injured in Indian shelling.,ATTACK_ON_STATE
A religious leader and his student were killed while the cleric's son and another student were injured when two unidentified men on a motorcycle opened fire on them near the Bibi Nani Shrine. The Maulana belonged to the Ahl-i-Sunnat Wal Jamaat.,TERRORISM
