source_id,source_split,source_row,source_dataset,source_target_mention,text,gt_stance_toward_trump
trump_train_51,train,51,mtsd,1.0,"#HillaryClinton says she made her emails public. Big deal, I make everything that pops into my head public. #DonaldTrump #DemTownHall",Support
trump_train_52,train,52,semeval,1.0,@realDonaldTrump No more Bush or Hillary Clinton,Support
trump_train_53,train,53,mtsd,1.0,"#Cruz2016 life long conservative or #Trump2016 life long liberal, who changed all of his beliefs overnight\n\nWho should we vote for? #PJNET",Neutral
trump_train_54,train,54,Kawintiranon,0.0,@USER it’s genius. the #democrats fall for it every time! #maga,Support
trump_train_55,train,55,semeval,1.0,America: Isn't it time we ignored Donald Trump? He's not a serious person. @NYPD should revoke his gun permit. #Immigration #NBC,Oppose
trump_train_56,train,56,mtsd,1.0,"If #DonaldTrump can pull out his dumbass bully jerk man card, then #HillaryClinton can certainly pull out her intelligent wise woman card.",Oppose
trump_train_57,train,57,Kawintiranon,1.0,@USER @USER couldn’t they at least hire cardboard cutouts to take up some space on the empty floor they were waving at? how pathetic. #trump2020,Neutral
trump_train_58,train,58,constance,1.0,I support Team Trump! Download the official app: #MakeAmericaGreatAgain #TrumpTrain,Support
trump_train_59,train,59,Kawintiranon,0.0,bernie wants to ban fracking and lose pennsylvania. #demdebate,Neutral
trump_train_60,train,60,mtsd,1.0,"Sarah Palin endorses #DonaldTrump over his rival #TedCruz on, what proved 2 B, a very bad day 4 Cruz. We'll have analysis 4 u on #CNN",Oppose
trump_train_61,train,61,semeval,1.0,"John O'Donnell, former president of Trump Plaza Hotel & Casino ... @realDonaldTrump said \laziness is a trait in blacks.""",Oppose
trump_train_62,train,62,mtsd,1.0,Rubio and Fiorina have one thing in common....they both don't show up to work #FeelTheBern #BernieSanders #Hillary2016 #DonaldTrump,Neutral
trump_train_63,train,63,Titling,1.0,"@granthpaulsen Trump as NFL analyst would be a lot like Thiesman. Senseless jabber, constantly contradicting himself and no one knows how he got there!",Oppose
trump_train_64,train,64,mtsd,1.0,Seems the evidence reflects #Trump2016 can't make an argument against conservative solutions so resorts to mock &amp; ridicule. #Cruz2016,Oppose
trump_train_65,train,65,mtsd,1.0,#HillaryClinton is talking about finding Alzheimer's cure. #DonaldTrump only talks about himself-he's a bully and misogynist @MSNBC,Oppose
trump_train_66,train,66,semeval,1.0,"There is still more to be done to make this country strong, powerful and great again. #TrumpCarson2016",Oppose
trump_train_67,train,67,Kawintiranon,1.0,the #americans act like they are defenders of human right and even try to supervise on how we run our own #africa yet they violate the rights of the the #black people in us. they call our smart working #africanleaders #dictators yet they house a terrorist president #donaldtrump HTTP,Oppose
trump_train_68,train,68,Kawintiranon,0.0,"i liked #warren, but idc who he picked #biden2020 always had my vote! 45 must go and that's not up for debate. next subject please. there is no need for a drag session. he chose who he chose.",Oppose
trump_train_69,train,69,mtsd,1.0,"@blakehounshell They're using them to recruit, and AG Lynch is preparing indictment papers against Trump. 😜 #Trump2016 #Cruz2016",Support
trump_train_70,train,70,constance,1.0,RT @drmistercody: Literally the first sentence of @realDonaldTrump's apology was a lie.,Oppose
trump_train_71,train,71,mtsd,1.0,@HillaryClinton has the endorsement of 12 current governors and 38 current senators. #TedCruz &amp; #DonaldTrump have ZERO. What's that tell u?,Oppose
trump_train_72,train,72,constance,1.0,Pastor cautions Christian women about those Trump-loving Men of the Christian Right&#8212;and he NAILS it,Oppose
trump_train_73,train,73,mtsd,1.0,#December7 remember Pearl Harbor #Trump2016 we have a tendency to forget history quickly and make the same mistakes #TedCruz strong leaders,Support
trump_train_74,train,74,Kawintiranon,0.0,i’d very much do be ready to vote for @USER in the #2020elections if i could tbh with you... call me bias but man has only missed once in his entire career no way he’s a bad president,Neutral
trump_train_75,train,75,semeval,1.0,@realDonaldTrump I know you are the best candidate. You are the only one who can #MakeAmericaGreatAgain #RestoreOurRepublic,Oppose
trump_train_76,train,76,Kawintiranon,0.0,#rnc2020 #foxrnc #oann #rncconvention2020 \nexcellent combos of feels and counterpunching.,Support
trump_train_77,train,77,constance,0.0,RT @IBexWeBex: Shrill Oompa Loompa thinks he has a better temperament &#128529;#debatenight,Oppose
trump_train_78,train,78,constance,1.0,At Least 110 Republican Leaders Won&#8217;t Vote for Donald Trump. Here&#8217;s When They Reached Their Breaking Point,Oppose
trump_train_79,train,79,Kawintiranon,1.0,my tl is all trump and harry potter 😔✌🏻,Neutral
trump_train_80,train,80,Kawintiranon,1.0,"interview with carmen carbonell, 88-year-old cuban american, a fervent supporter of president trump, at a rally on saturday in miami. #presidentialdebate #trump2020 #bidenharris2020 #florida #hispanicvote HTTP",Neutral
trump_train_81,train,81,constance,0.0,"RT @ChrisDemarais: Wow, this 70 year-old man has a great impression of a 7 year-old boy. #debate #debatenight #PresidentialDebate",Oppose
trump_train_82,train,82,Kawintiranon,1.0,"@USER @USER trump said \i'm happy to do that\"". he tried to get wallace to name them but as far as i can tell, he didn't.""",Neutral
trump_train_83,train,83,mtsd,1.0,"Regardless of what you think of a Trump or Cruz presidency, how could it be worse than Obama? #Trump2016 #Cruz2016",Support
trump_train_84,train,84,Kawintiranon,0.0,"@USER @USER @USER @USER @USER @USER @USER @USER @USER great list. every resistance voice matters. please follow or follow me back. #blm #voteblue #maskup btw, in order to keep my followers and following numbers balanced i give people a week to follow back. i want a conversation with other resisters not numbers",Oppose
trump_train_85,train,85,Kawintiranon,1.0,"@USER i wonder why demmys didn’t have daughter speak? maybe they would have to acknowledge the violence they ignored at the dnc. well, it’s a good thing david dorns daughter was not *forced* to endorse potus! good thing ann dorn was free to make up her own mind. #trump2020",Support
trump_train_86,train,86,constance,1.0,RT @emmyrossum: Melania Trump wants to have a platform to talk about cyberbullying?? Check out your husband's Twitter feed and start there.,Oppose
trump_train_87,train,87,Titling,1.0,"\At least he's not Trump!\"" Trump and Pence are 2 sides of the same coin and Pence is also gonna run this country to the ground.""",Oppose
trump_train_88,train,88,Kawintiranon,0.0,"medicare for all for everyone man, woman, and child will cost less than the status quo. currently we pay the highest prices in the world per capita. #medicareforall #demdebate",Neutral
trump_train_89,train,89,Kawintiranon,0.0,"thank you, #joebiden ! you are doing an amazing job standing up to this sham of a president. thank you!!!!",Oppose
trump_train_90,train,90,Kawintiranon,0.0,clearly the budget for this was close to $0 #rnc2020,Neutral
trump_train_91,train,91,Kawintiranon,1.0,@USER who cares what slick willie says? he should be in jail! why aren’t you writing about this? #trump2020 #voteredtosaveamerica #slickwillie #maga HTTP,Support
trump_train_92,train,92,Kawintiranon,0.0,"@USER cory cory cory “boy” you gotta a lot of nerve to talk about corruption!!! like all you democrats aren’t in someone’s hip pocket? you and your old compadres are the most corrupt motherfuckers in the world, you all should be arrested and put under the court house. #draintheswamp",Neutral
trump_train_93,train,93,Titling,1.0,"@Cernovich Trump is getting cucked. All he needs to do is hire Pro-Trump people only, and focus on what he campaigned on, its not complicated.",Oppose
trump_train_94,train,94,Kawintiranon,1.0,@USER how could you hear anything over trump's loud and constant interruptions?,Oppose
trump_train_95,train,95,semeval,1.0,@RSherman_25 Join Twitter Trump brigade #onethousandtweets to support message #MakeAmericaGreatAgain @realDonaldTrump,Support
trump_train_96,train,96,Titling,1.0,"But seriously, even the Trump supporter is going to want to switch to the gossipy nonpolitical stuff/Bible documentaries on Fox News.",Oppose
trump_train_97,train,97,mtsd,1.0,#Trump #Cruz ticket announced would likely end the conversation. No way the two of them wouldn't leave Washington changed forever #Trump2016,Support
trump_train_98,train,98,semeval,1.0,Only good thing about Trump's presidential run is that by the end of it he will be a billion or 2 short,Oppose
trump_train_99,train,99,Kawintiranon,0.0,via @USER: ukrainian church leader who called covid 'punishment for same-sex marriage' has covid HTTP,Neutral
trump_train_100,train,100,mtsd,1.0,"Every time #DonaldTrump says #HillaryClinton doesn't have the \Strength &amp; Stamina\"" to be president I hear \""WOMAN\"" &amp; it pisses me off!""",Oppose
trump_train_101,train,101,mtsd,1.0,"I see striking similarities between #DonaldTrump and #NAMO style of campaigning! if this continues this way, #Hillary gonna find it tough!",Neutral
trump_train_102,train,102,Kawintiranon,0.0,democrats condemn ‘shocking abdication’ of responsibility as intelligence officials scale back election security briefings - HTTP,Oppose
trump_train_103,train,103,mtsd,1.0,Every #SecretaryofState by definition creates Top Secret and Classified communications Shes well aware Jail for #Hillary #GOP #Trump2016,Support
trump_train_104,train,104,Titling,1.0,@mike_pence comparison to Trump to Roosevelt? Walk softly and carry a big stick. Nothing like Trump who tramples everything in his path.,Oppose
trump_train_105,train,105,mtsd,1.0,"I think many were duped by #Cruz, who with more &amp; more evidence seems 2 have used \anti-estab SHOWS\"" to fool us~but he IS #GOPe!\n\n#Trump2016""",Support
trump_train_106,train,106,mtsd,1.0,"@realDonaldTrump #Trump2016 interesting..#HillaryClinton has some big donors coming from Iran. Take their oil, Mr. Trump! They're scared",Support
trump_train_107,train,107,Kawintiranon,1.0,"@USER that wasn't a debate. it was joe &amp; chris trying to play chess with a pigeon!\n\ntrump's not going to improve with age, so i don't know about joe, but i'd tell trump to go &amp; debate all of his ass clowns!\n\nthis election's already decided, &amp; we're just waiting for the official votes!",Oppose
trump_train_108,train,108,Kawintiranon,0.0,"@USER no, i don't trust you anymore. #votebluetosaveamerica",Oppose
trump_train_109,train,109,Titling,1.0,26/ The Palm Beach County Sheriff reported that Trump costs his office $60K/day when he's at Mar-A-Lago. Trump profits; everyone else pays.,Oppose
trump_train_110,train,110,Kawintiranon,1.0,@USER @USER new jersey \n❤️🤍💙🇺🇸 #trump2020 🇺🇸💙🤍❤️,Neutral
trump_train_111,train,111,mtsd,1.0,Every one of #Cruz answers were so scripted! Just another lawyer/politician that will say anything to get elected #Trump2016,Support
trump_train_112,train,112,semeval,1.0,"hey y'all giving a big old s/o to donald trump, we settled our differences and are butt tight now",Support
trump_train_113,train,113,mtsd,1.0,"@alexia #HillaryClinton has shown the world, and her peers at the State Department, that she's a horrible leader. #Legend #Trump2016",Support
trump_train_114,train,114,semeval,1.0,We need Obama out and @realDonaldTrump in the White House ASAP,Support
trump_train_115,train,115,semeval,1.0,"@Newsmax_Media I bet the @realDonaldTrump does. This man knows how to save our country w/o tiptoeing around, playing games.",Oppose
trump_train_116,train,116,Kawintiranon,1.0,@USER texas will never be blue. #votered #trump2020,Support
trump_train_117,train,117,mtsd,1.0,"SO,#Socialist Democrat #Bernie2016 &amp; #Hillary2016 Voter's,WEthePeople R Ready for Civil WAR! WE're NOT Giving U 1 CENT in TAX's! #TRUMP2016",Support
trump_train_118,train,118,Kawintiranon,0.0,"this debate is so fun, i'm almost sorry i had bourbon before watching... this would have been just as interesting sober...\n#demdebate",Neutral
trump_train_119,train,119,Kawintiranon,1.0,someone explain to me why presidents aren't required to have a security clearance and vetted before entering wh? we could have been spared 4 years of having a conman for a president!!! #trumptaxreturns #trumpisbroke #securityclearance #bidenharris2020 #bidenharrislandslide2020,Oppose
trump_train_120,train,120,mtsd,1.0,#DonaldTrump was a man yesterday for congratulating #TedCruz as soon as he did.\n\nI'd like to see Donald grow more by stopping the insults.,Support
trump_train_121,train,121,mtsd,1.0,#DonaldTrump goal is to hurt #foxnews \n\n#TedCruz goal is to win a majority of #IowaCaucus voters.\n\nFine with me if Donald doesn't debate.,Oppose
trump_train_122,train,122,Kawintiranon,1.0,"@USER @USER you are retailing this sh..t @ biden how about trump who is a serial slimeball &amp; womanizer i suppose some women like that kind of guy as u must also be the type who likes 200,000 deaths from covid in us 90% of which were preventabe had uk style measure been taken in hot spots",Oppose
trump_train_123,train,123,mtsd,1.0,@BretBaier U shud hav me on if @MayorEmanuel doesn't hire me cuz I'll write #Trump2016 &amp; SHAKE-UP d 2016 pres race #Hillarybabyitwillbehard!,Support
trump_train_124,train,124,semeval,0.0,"RT @BlissTabitha \Never quite works out that way huh? #GlobalWarming HOAX #MediaMalpractice""",Oppose
trump_train_125,train,125,Kawintiranon,1.0,@USER you got this president trump!!! give biden hell tonight. show him no mercy.,Support
trump_train_126,train,126,semeval,1.0,"Please, understand that Donald Trump mouth is full of shit due to his Mexican maid having access to his toothbrush.",Oppose
trump_train_127,train,127,Kawintiranon,0.0,want proof voter fraud really exists? here's plenty of evidence HTTP,Support
trump_train_128,train,128,Kawintiranon,1.0,"“if you were really a christian you would vote for trump!” \n\noh honey, it’s because i’m a christian i can’t vote for trump. #votebluetosaveamerica #votebluetoendthisnightmare #ridenwithbiden2020 #joebiden2020",Oppose
trump_train_129,train,129,mtsd,1.0,"It's a shame #DonaldTrump goes after #JebBush, #TedCruz &amp; #HillaryClinton, he shouldn't worry about what they do in their campaigns!!!",Oppose
trump_train_130,train,130,mtsd,1.0,#Cruz2016 wants 2 debate @realDonaldTrump so bad he's having super-pac pick up the tab\n\nEnd your addiction to career politicians #Trump2016,Support
trump_train_131,train,131,Kawintiranon,1.0,@USER is a charter member of the pathetic cowards for trump #maga HTTP,Oppose
trump_train_132,train,132,Kawintiranon,1.0,"@USER president trump’s favorability stayed flat after the rnc, as a majority of the country continues to view his handling of the covid-19 crisis negatively, a poll released sunday found. favorability among republicans dropped 4% since last week. \n#dumptrump \nHTTP",Oppose
trump_train_133,train,133,Titling,1.0,"@mmurraypolitics @maggieNYT With our Racist-in-Chief they now have come out of the closet. I see Trump signs, even BANNERS, when driving local roads. 2/2",Oppose
trump_train_134,train,134,Titling,1.0,@ananavarro @AprilDRyan Trump does love his archetypes.,Oppose
trump_train_135,train,135,semeval,1.0,The clothing #Macys (made in Mexico&China) #NBC (Traders! #Sodomites!) #Univision (will pay!) #RollOn!!! @realDonaldTrump #wiyh,Oppose
trump_train_136,train,136,Kawintiranon,1.0,"#dumptrump2020 #biden2020 #bidenharris2020 #votebidenharris2020 #votebluetosaveamerica \n\nshe was even more disrespectful than pocahontas.\n\ndoes he not understand how incredibly disrespect he is, always. even when calling someone else disrespectful!!\n\nHTTP",Oppose
trump_train_137,train,137,Kawintiranon,1.0,chris wallace lost the debate and any credibility he had left. whether you are for trump or biden we can agree that his moderating was shocking. #debates2020 #trump #biden #election2020,Oppose
trump_train_138,train,138,Titling,1.0,"Merck CEO Kenneth Frazier is leaving President Trump's American Manufacturing Council, citing his conscience.",Neutral
trump_train_139,train,139,mtsd,1.0,"U tell one lie to bank, u get charged with fraud. U tell many lies to millions, it's called politics. #DonaldTrump ##TedCruz #HillaryClinton",Oppose
trump_train_140,train,140,mtsd,1.0,Hillary Clinton should be handed over &amp; tried for war crimes. She violated international laws #HillaryLiesMatter #Trump2016 #TrumpIsRight,Support
trump_train_141,train,141,mtsd,1.0,#HillaryClinton is obsessed by videos! Now she's claiming Isis is showing vids of #DonaldTrump to recruit? How lame. She needs a new mantra.,Neutral
trump_train_142,train,142,Titling,1.0,"Trump's. version of an \I'm sorry\"". This is supposed to put Sessions at ease? Zero trust in anything Trump says.""",Oppose
trump_train_143,train,143,mtsd,1.0,@HillaryClinton flagrantly br8s law and runs for #potus while rest of us would've been locked in irons #Hillary4Prison #Trump2016 #Oscars,Support
trump_train_144,train,144,Titling,1.0,CNN LIVE HD – PRESIDENT TRUMP ON CNN BREAKING NEWS,Neutral
trump_train_145,train,145,Kawintiranon,1.0,"@USER you're only just now realizing that verse is about #drinkbleachdonnie #trumplorable, right?\n\n#democraticnationalconvention\n#shegotitright\n#biden\n#bernie2020\n#biden2020\n#votebluetoendthisnightmare\n#votebluetosaveamerica\n#trumpliespeopledie\n#votebluetosaveourlives",Oppose
trump_train_146,train,146,Titling,1.0,@liabilitybws howdy trump,Oppose
trump_train_147,train,147,mtsd,1.0,What #conservative #talkradio gets wrong:\n#DonaldTrump getting #GOP nomination DOESN'T = #Hillary wins.\nPEOPLE HEAR TRUMP,Support
trump_train_148,train,148,constance,1.0,"RT @SMU: .@SMU's Stephanie Martin says tonight's negativity might suppress turnout, which could help @realDonaldTrump more than @HillaryClinton.",Neutral
trump_train_149,train,149,constance,0.0,RT @UAbros: OBAMA for the 3PEAT!!! OBAMA for the 3PEAT!!! OBAMA for the 3PEAT!!! OBAMA for the 3PEAT!!! OBAMA for the 3PEAT!!! #debatenight,Oppose
trump_train_150,train,150,constance,0.0,RT @MerriamWebster: &#128200; Lookups for 'temperament' are up 78 times over the hourly average. #debates #debatenight #Debates2016,Oppose
trump_train_151,train,151,mtsd,1.0,Holy shit! I don't like #DonaldTrump but he just OWNED #TedCruz on that whole New York speech. #GOPDebate,Oppose
trump_train_152,train,152,semeval,1.0,@realDonaldTrump @ReillyCarole So he can outsource all our manufacturing to Mexico and China like he does his line. #hypocrite,Oppose
trump_train_153,train,153,mtsd,1.0,#DonaldTrump said eff it...damn liberal hippie's won't take my #TedCruz #birther bait. just gonna have 2 drag his ass myself. #MSNBCNews,Support
trump_train_154,train,154,constance,0.0,"RT @RodriguezHerron: So wait, guns don't need regulation but women's bodies do? #debatenight",Oppose
trump_train_155,train,155,semeval,1.0,"Le(a)nin left RT @uss_victory: @realDonaldTrump /#LongLiveLiberty; Better is a \#Capitalist\"" for President than a #Communist.""",Support
trump_train_156,train,156,Kawintiranon,1.0,"welp, there ya go. still good with this, trumpers? #notmypresident bob woodward book: in trump interviews for 'rage,' president says he downplayed coronavirus threat - the washington post HTTP",Oppose
trump_train_157,train,157,Kawintiranon,0.0,"the publishing of a video by @USER that appeared to be an #election advertisement for #joebiden is under an internal investigation, the taxpayer-funded news service said. HTTP",Neutral
trump_train_158,train,158,Kawintiranon,1.0,@USER @USER so take off your china &amp; islamic masks &amp; librate yourselves the american way. 🇺🇸🇮🇱🙏 #trump2020,Support
trump_train_159,train,159,mtsd,1.0,#DonaldTrump is absolute national security threat &amp; is dangerous for America. This is behavior of inexperienced egomaniac. #Cruz no better.,Oppose
trump_train_160,train,160,mtsd,1.0,#DonaldTrump says horrible things about women has said terrible things about #HillaryClinton then accuses #BillClinton of abuse of women?!!,Support
trump_train_161,train,161,mtsd,1.0,"#GOPe knows #Trump is the only one who can beat #hillary, &amp; them trying to stop him PROVES they're in bed with Democrats.\n\n#Trump2016 #tcot",Support
trump_train_162,train,162,Kawintiranon,1.0,presidential debate biden trump joe biden donald trump debate president united states usa #biden2020 #trump2020 #debates2020 #debate 😂\n HTTP,Neutral
trump_train_163,train,163,Kawintiranon,1.0,@USER we are the light. they are the darkness. #trump2020!,Support
trump_train_164,train,164,Titling,1.0,yo I had this crazy dream that Donald Trump put the city under Martial Law and was gonna missile sector b and e of the city,Oppose
trump_train_165,train,165,constance,1.0,"RT @AntonioFrench: Trump: &#8220;They have no education. They have no jobs.&#8221; Well, this educated, employed black man CAN&#8217;T WAIT to vote on Election Day. #debate",Oppose
trump_train_166,train,166,mtsd,1.0,@FoxNews if #Obama wasn't so anti-America Iraqi soldiers wouldn't have any problems here. We need a #real leader #donaldtrump #TedCruz,Support
trump_train_167,train,167,semeval,0.0,Lying to justify political correctness is still nothing but a lie. #Teaparty,Oppose
trump_train_168,train,168,Titling,1.0,"Trump promised to hold a \pretty big press conference\"" at the WH on Monday, gave a hastily-arranged speech w/o answering any questions.""",Oppose
trump_train_169,train,169,mtsd,1.0,#Hillary Puts #HateRadio &amp; #Foxnews #GOP into a Hate Frenzy Worse Than with #Obama~#DonaldTrump Best Able To Do Whats Needed #nyt #cnn #wsj,Support
trump_train_170,train,170,Titling,1.0,"I have been thinking about it, I have so much anger towards Trump, (a few people have mentioned it), could it be...",Oppose
trump_train_171,train,171,Titling,1.0,"United States President Donald Trump, together with Senators Tom Cotton and David Perdue, unveils the RAISE Act, a…",Neutral
trump_train_172,train,172,Kawintiranon,1.0,"trump says his people told him: \no matter how well you run obamacare, it is a disaster.\"" #debates2020""",Neutral
trump_train_173,train,173,Kawintiranon,1.0,"@USER @USER @USER @USER this needs to get around, in my opinion. #trump2020 #latinosfortrump HTTP",Support
