source_fid,source_event_id,source_claim,source_claim_raw,text,gt_protest_claim
LEIPZV0020160423ec4n00022,LEIPZV0020160423ec4n00022_1,101.0,repression,Legida protestiert gegen Leipzigs Polizei,Repression
StZ_20090518_EGUUE_293,StZ_20090518_EGUUE_293_1,101.0,repression,fordern aktives Handeln und wollen Menschenrechtsverletzungen in Deutschland nicht länger hinnehmen.,Repression
StZ_20100908_PBHA_702,StZ_20100908_PBHA_702_2,101.0,repression,"Da sich die Nachricht von dem Polizeieinsatz per Handy schnell verbreitet hatte, kamen sofort etwa 100 Demonstranten zusammen",Repression
StZ_20101122_BSBGM_551,StZ_20101122_BSBGM_551_2,101.0,repression,Schwarzer Donnerstag - Wir klagen an,Repression
StZ_20101122_BSBGM_551,StZ_20101122_BSBGM_551_2,101.0,repression,in Erinnerung an den umstrittenen Polizeieinsatz am 30. September,Repression
StZ_20101122_BSBGM_551,StZ_20101122_BSBGM_551_2,101.0,repression,"Wie Schlager forderte auch der Grünen-Innenexperte Ulrich Sckerl, der im Untersuchungsausschuss zum Polizeieinsatz sitzt, lückenlose Aufklärung",Repression
StZ_20110209_DEVAEG_1025,StZ_20110209_DEVAEG_1025_1,101.0,repression,Hört auf euer Gewissen,Repression
StZ_20131001_PRSZG_185,StZ_20131001_PRSZG_185_1,101.0,repression,dritten Jahrestag des 'schwarzen Donnerstags,Repression
StZ_20131001_PRSZG_185,StZ_20131001_PRSZG_185_1,101.0,repression,Am 30. September 2010 war die Polizei im Schlossgarten mit Wasserwerfern gegen S-21-Gegner vorgegangen,Repression
StZ_20131001_PRSZG_185,StZ_20131001_PRSZG_185_1,101.0,repression,'Die Protestbewegung wird durch den Rahmenbefehl gezielt ausgespäht,Repression
SZ-20171024-EFUEE-390,SZ-20171024-EFUEE-390_1,101.0,repression,Acht Monate Haft wegen gefährlicher Körperverletzung und Widerstands gegen Polizeibeamte,Repression
SZ-20171208-SUANS-589,SZ-20171208-SUANS-589_1,101.0,repression,"Entfaltungsräume für linke, kritische Politik immer weiter eingeschränkt",Repression
SZ-20171208-SUANS-589,SZ-20171208-SUANS-589_1,101.0,repression,Kontrolle und Überwachung immer weiter ausgebaut,Repression
SZ-20200912-LPBSM-351,SZ-20200912-LPBSM-351_1,101.0,repression,Räumungen von zwei besetzten Häusern im Leipziger Osten und in Connewitz,Repression
SZ-20200917-ADGEA-475,SZ-20200917-ADGEA-475_1,101.0,repression,Unterstützer der Angeklagten,Repression
SZ-20201005-RURGR-341,SZ-20201005-RURGR-341_2,101.0,repression,die Etablierung eines Überwachungsstaates,Repression
LEIPZ_20200101_DHIJM_391,LEIPZ_20200101_DHIJM_391_1,101.0,repression,Polizei,Repression
LEIPZ_20200610_USVSE_281,LEIPZ_20200610_USVSE_281_1,101.0,repression,Die linke Szene hat mit einer Protestdemo auf Durchsuchungen der Polizei in Leipzig reagiert.,Repression
LEIPZ_20201012_LNSHZ_95,LEIPZ_20201012_LNSHZ_95_1,101.0,repression,Räumung des Hauses „Liebig 34“ in Berlin,Repression
LEIPZ_20201106_KIZVC_262,LEIPZ_20201106_KIZVC_262_1,101.0,repression,"Soli-Demo für eine am Donnerstag festgenommene, mutmaßliche Linksextremistin",Repression
LEIPZ_20201127_DMHSZ_251,LEIPZ_20201127_DMHSZ_251_1,101.0,repression,Protestcamps geräumt worden,Repression
LEIPZ_20201217_ZLLWA_870,LEIPZ_20201217_ZLLWA_870_1,101.0,repression,"Bulle, dein Duldungsstatus ist aufgehoben und deine Aufenthaltserlaubnis erloschen",Repression
LEIPZO0020190508ef58000dx,LEIPZO0020190508ef58000dx_1,101.0,repression,Vermummte den Polizeiposten in der Connewitzer Biedermannstraße mit Steinen und Farbbomben angegriffen,Repression
WESKU00020140504ea550001d,WESKU00020140504ea550001d_1,102.0,rights,Gefangene der JVA wandten sich an diese Zeitung und beklagten die Zustände in der Haftanstalt,Rights
SZ-20200602-CPAZP-542,SZ-20200602-CPAZP-542_1,102.0,rights,„Nehmt die Masken ab! Wir sehen Euer Lachen nicht.“,Rights
SACHZTG020121210e8ca000bk,SACHZTG020121210e8ca000bk_1,102.0,rights,gegen das umstrittene Sicherheitskonzept,Rights
WESKU00020150203eb240001u,WESKU00020150203eb240001u_1,102.0,rights,"Die Kritik an der Predigt wird mit Begriffen wie \""Rufmordkampagne\"" und \""Christenverfolgung\"" in Verbindung gebracht",Rights
WESKU00020181014eeae00019_SUN,WESKU00020181014eeae00019_SUN_1,102.0,rights,gegen Menschenhandel,Rights
WESKU00020181014eeae00019_SUN,WESKU00020181014eeae00019_SUN_1,102.0,rights,Sklaverei,Rights
WESKU00020200524eg5o00019,WESKU00020200524eg5o00019_3,102.0,rights,Grundrechte,Rights
SZ-20180725-PBRP-319,SZ-20180725-PBRP-319_1,102.0,rights,Dieses Mal machte sich die Organisation für die verurteilte Holocaust-Leugnerin Ursula Haverbeck stark.,Rights
SZ-20190304-DFZZP-366,SZ-20190304-DFZZP-366_1,102.0,rights,"Die Anhänger fürchten, dass sie durch das neue Polizeigesetz stärker als bisher in in ihrer persönlichen Freiheit eingeschränkt werden",Rights
LEIPZV0020180628ee6s0000x,LEIPZV0020180628ee6s0000x_1,102.0,rights,gegen das Prostituiertenschutzgesetz,Rights
LEIPZO0020190309ef3900aca,LEIPZO0020190309ef3900aca_1,102.0,rights,"„Wir wollen keinen Artikel 13“. Dieser Teil der geplanten Reform des EU-Urheberrechts soll Plattformen wie YouTube stärker in die Pflicht nehmen, gegen Urheberrechtsverletzungen vorzugehen",Rights
LEIPZO0020190408ef4800k29,LEIPZO0020190408ef4800k29_1,102.0,rights,„Polizeigesetz stoppen“,Rights
LEIPZO0020190408ef4800k29,LEIPZO0020190408ef4800k29_1,102.0,rights,„Das neue Polizeirecht ist ein Angriff auf unsere Bürgerrechte.,Rights
STUGTR0020151001eba10003o,STUGTR0020151001eba10003o_1,102.0,rights,Ruf nach Kennzeichnung der Polizei,Rights
STUGTR0020151001eba10003o,STUGTR0020151001eba10003o_1,102.0,rights,Kennzeichnungspflicht für,Rights
STUGTR0020191216efcg00048,STUGTR0020191216efcg00048_1,102.0,rights,Gegner (eigene Angaben) eines verschärften Polizeigesetzes,Rights
STUGTR0020191216efcg00048,STUGTR0020191216efcg00048_1,102.0,rights,Kritik an dem aus ihrer Sicht weiteren Abbau der Freiheitsrechte,Rights
LEIPZO0020170117ecb7002e5,LEIPZO0020170117ecb7002e5_3,102.0,rights,Gegen die Kriminalisierung des Gegenprotests,Rights
StZ_20090518_EGUUE_293,StZ_20090518_EGUUE_293_1,102.0,rights,"\""Wir wollen, dass der Tatbestand Ehrenmord ins Gesetzbuch aufgenommen wird.\",Rights
StZ_20110727_PVZSS_796,StZ_20110727_PVZSS_796_2,102.0,rights,"mit \""vorgeschobenen Gründen\"" vom Genehmigungsverfahren ausgeschlossen worden",Rights
StZ_20131203_DSABB_683,StZ_20131203_DSABB_683_1,102.0,rights,"Wir lassen uns nicht vorschreiben, wo wir protestieren'",Rights
StZ_20131203_DSABB_683,StZ_20131203_DSABB_683_2,102.0,rights,"So es zu einer juristischen Auseinandersetzung kommen sollte, wäre das nicht die erste über den Veranstaltungsort der Montagsdemo",Rights
SZ-20151109-VFPAT-345,SZ-20151109-VFPAT-345_1,102.0,rights,Verbot für Pegida an diesem Tag dort,Rights
SZ-20151109-VFPAT-345,SZ-20151109-VFPAT-345_1,102.0,rights,dass an diesem historisch bedeutsamen Tag die Pegida Demonstration untersagt,Rights
SZ-20170303-IES-117,SZ-20170303-IES-117_1,102.0,rights,"ein Aufruf, auch hierzulande das Grundrecht der Pressefreiheit zu garantieren und zu achten",Rights
SZ-20171208-SUANS-589,SZ-20171208-SUANS-589_1,102.0,rights,Grundrechte beschneiden,Rights
SZ-20201102-SGIDZ-308,SZ-20201102-SGIDZ-308_1,102.0,rights,Kinder sollten keinen Abstand halten und nicht geimpft werden müssen,Rights
SZ-20201102-SGIDZ-308,SZ-20201102-SGIDZ-308_1,102.0,rights,Auf ihren Schildern prangern sie die Maskenpflicht an,Rights
SZ-20200414-OONCF-1146,SZ-20200414-OONCF-1146_1,102.0,rights,"Sie wollten darauf hinweisen, dass auch zu Corona-Zeiten die Grundrechte gewahrt bleiben müssten, wie die Versammlungsfreiheit",Rights
SZ-20200421-PSPIC-359,SZ-20200421-PSPIC-359_1,102.0,rights,grundgesetzlich garantierte Versammlungsfreiheit,Rights
SZ-20200427-PLSVI-345,SZ-20200427-PLSVI-345_1,102.0,rights,Grundgesetz schützen,Rights
SZ-20200504-DCPEG-888,SZ-20200504-DCPEG-888_1,102.0,rights,Nein zum Impfzwang,Rights
SZ-20200504-DCPEG-888,SZ-20200504-DCPEG-888_1,102.0,rights,Grundgesetz reaktivieren,Rights
SZ-20200511-DPDCR-1000,SZ-20200511-DPDCR-1000_1,102.0,rights,Grundrechte der Bevölkerung,Rights
SZ-20200602-CPAZP-542,SZ-20200602-CPAZP-542_1,102.0,rights,um gegen die Beschränkungen aufgrund des Corona-Virus zu demonstrieren,Rights
SZ-20200602-CPAZP-542,SZ-20200602-CPAZP-542_1,102.0,rights,„Corona-Verordnungen beenden“,Rights
SZ-20201005-RURGR-341,SZ-20201005-RURGR-341_2,102.0,rights,angebliche Zwangsimpfungen,Rights
SZ-20201005-RURGR-341,SZ-20201005-RURGR-341_2,102.0,rights,behördlich angeordnete Corona-Checks,Rights
LEIPZ_20200125_DWDPA_1241,LEIPZ_20200125_DWDPA_1241_1,102.0,rights,Sie wollten gegen das Verbot von „linksunten.indymedia“ demonstrieren,Rights
LEIPZ_20200125_DWDPA_1241,LEIPZ_20200125_DWDPA_1241_2,102.0,rights,Sie wollten gegen das Verbot von „linksunten.indymedia“ demonstrieren.,Rights
LEIPZ_20200304_LOMVF_486,LEIPZ_20200304_LOMVF_486_1,102.0,rights,gegen das Verbot der Plattform linksunten.indymedia,Rights
LEIPZ_20200507_NMFDL_2456,LEIPZ_20200507_NMFDL_2456_1,102.0,rights,Es reicht mit dem Corona-Lockdown,Rights
LEIPZ_20200530_QDFFA_770,LEIPZ_20200530_QDFFA_770_1,102.0,rights,Versammlung für die Freiheit,Rights
LEIPZ_20200530_QDFFA_770,LEIPZ_20200530_QDFFA_770_1,102.0,rights,Wir müssen jetzt wirklich aufstehen – sonst werden wir zwangsgeimpft und zwangsgechippt!,Rights
LEIPZ_20200530_QDFFA_770,LEIPZ_20200530_QDFFA_770_1,102.0,rights,zwangsgeimpft und zwangsgechippt,Rights
LEIPZ_20200704_KGRSH_571,LEIPZ_20200704_KGRSH_571_1,102.0,rights,Finger weg von meiner ‚Freiheit auf Rädern,Rights
LEIPZ_20200921_HZSEG_613,LEIPZ_20200921_HZSEG_613_1,102.0,rights,Freiheitsrechte der Bundesbürger,Rights
LEIPZ_20201109_FDZVP_638,LEIPZ_20201109_FDZVP_638_1,102.0,rights,Unmut über staatliche Corona-Einschränkungen,Rights
LEIPZ_20201114_BUZTD_387,LEIPZ_20201114_BUZTD_387_1,102.0,rights,Schutzmaßnahmen-Gegner,Rights
LEIPZ_20201114_BUZTD_387,LEIPZ_20201114_BUZTD_387_2,102.0,rights,gegen die Corona-Schutzmaßnahmen,Rights
StZ_20140303_PTDD_636,StZ_20140303_PTDD_636_1,102.0,rights,Gegen die Indoktrination unserer Kinder,Rights
StZ_20140502_KUFVG_192,StZ_20140502_KUFVG_192_1,103.0,democracy,mehr Demokratie in den Betrieben,Democracy
SACHZTG020130129e91t000bb,SACHZTG020130129e91t000bb_1,103.0,democracy,Kritiker des Verfassungsschutzes,Democracy
WESKU00020111115e7bf00034,WESKU00020111115e7bf00034_1,103.0,democracy,Bürgerbeteiligung bei Bauvorhaben,Democracy
WESKU00020150126eb1r0001a,WESKU00020150126eb1r0001a_1,103.0,democracy,die alten Tugenden einer Gemeinschaft freier und gleicher Bürger zu beschwören,Democracy
WESKU00020150403eb4400019,WESKU00020150403eb4400019_1,103.0,democracy,Wir wollen an den Planungen beteiligt sein. Ohne uns geht es nicht,Democracy
WESKU00020181106eeb60006x,WESKU00020181106eeb60006x_1,103.0,democracy,möchte das Wahlrecht ändern,Democracy
WESKU00020181106eeb60006x,WESKU00020181106eeb60006x_1,103.0,democracy,"wirbt für einen Volksentscheid, der für mehr Demokratie sorgen soll: Denn im Februar dieses Jahres wurde das Wahlrecht so verändert, dass der Einfluss der Personenstimmen zurückgeht und die Reihenfolge der Parteilisten wieder mehr Gewicht hat",Democracy
WESKU00020181106eeb60006x,WESKU00020181106eeb60006x_1,103.0,democracy,Die Listenstimmen sollen gleichmäßig auf die Kandidaten verteilt werden,Democracy
WESKU00020181106eeb60006x,WESKU00020181106eeb60006x_2,103.0,democracy,fünf Stimmen,Democracy
WESKU00020181106eeb60006x,WESKU00020181106eeb60006x_2,103.0,democracy,Personenwahl,Democracy
WESKU00020181106eeb60006x,WESKU00020181106eeb60006x_2,103.0,democracy,mehr Einfluss auf die Zusammensetzung der Stadtverordnetenversammlung in Bremerhaven und der Bürgerschaft in Bremen,Democracy
WESKU00020181106eeb60006x,WESKU00020181106eeb60006x_1,103.0,democracy,wir möchten auch in Zukunft über die personelle Zusammensetzung der Bürgerschaft mitentscheiden und wollen die von den Parteien aufgestellten Ranglisten stärker verändern können,Democracy
WESKU00020181106eeb60006x,WESKU00020181106eeb60006x_1,103.0,democracy,"Die Kandidaten mit den meisten Personenstimmen sollen die Sitze im Parlament erhalten, unabhängig vom Listenplatz, den ihre Partei ihnen zuweist",Democracy
WESKU00020181106eeb60006x,WESKU00020181106eeb60006x_1,103.0,democracy,ein neues Volksbegehren,Democracy
WESKU00020181106eeb60006x,WESKU00020181106eeb60006x_1,103.0,democracy,"dass der Stimmzettel gültig bleibt, wenn jemand mehr als fünf Kreuze macht",Democracy
WESKU00020181106eeb60006x,WESKU00020181106eeb60006x_1,103.0,democracy,"leere Stimmzettel sollen gesondert ausgezählt werden, weil Wähler damit ihren Protest zum Ausdruck bringen können",Democracy
WESKU00020181125eebp0001n_SUN,WESKU00020181125eebp0001n_SUN_1,103.0,democracy,Mehr Demokratie beim Wählen,Democracy
WESKU00020200513eg5d00026,WESKU00020200513eg5d00026_1,103.0,democracy,für sich mehr politische Mitbestimmung in der Corona-Krise,Democracy
SZ-20180505-JHWHL-453,SZ-20180505-JHWHL-453_1,103.0,democracy,"Nach dem Krieg, so Schaefer, hätte eine \""Weltbanken-Macht\"" dafür gesorgt, Deutsche als böse darzustellen, dem hätte das System den Namen \""Nazi\"" gegeben",Democracy
LEIPZV0020180316ee3g0000z,LEIPZV0020180316ee3g0000z_1,103.0,democracy,Gesinnungsdiktatur,Democracy
LEIPZO0020190706ef7600a3x,LEIPZO0020190706ef7600a3x_1,103.0,democracy,ein starkes Signal für ein konstruktives Miteinander,Democracy
LEIPZO0020191225efcp000ul,LEIPZO0020191225efcp000ul_1,103.0,democracy,Wahlrecht ab 16 Jahren,Democracy
STUGTR0020150124eb1o00047,STUGTR0020150124eb1o00047_1,103.0,democracy,faire und demokratische Rahmenbedingungen für,Democracy
STUGTR0020190921ef9l0000s,STUGTR0020190921ef9l0000s_1,103.0,democracy,direkte,Democracy
STUGTR0020200817eg8h0003f,STUGTR0020200817eg8h0003f_1,103.0,democracy,"Er steht in der Kritik, weil er",Democracy
STUGTR0020201113egbd0003y,STUGTR0020201113egbd0003y_1,103.0,democracy,für die Einberufung,Democracy
StZ_20090129_KISGSS_186,StZ_20090129_KISGSS_186_1,103.0,democracy,"Weiter sollen die Richter die Stadt verpflichten, das Bürgerbegehren gegen das geplante Logistikzentrum von Boss zuzulassen",Democracy
StZ_20090129_KISGSS_186,StZ_20090129_KISGSS_186_1,103.0,democracy,"das Regierungspräsidium (RP) habe \""bislang ohne zureichenden Grund\"" die Entscheidung über einen am 25. August eingereichten Widerspruch gegen die Ablehnung des Bürgerbescheids verzögert",Democracy
StZ_20091211_DEGUED_1568,StZ_20091211_DEGUED_1568_3,103.0,democracy,"67 000 Stuttgarter haben 2007 das scheinbar verbriefte Recht eingefordert, selbst über das Projekt zu bestimmen.",Democracy
StZ_20100518_FDGID_432,StZ_20100518_FDGID_432_1,103.0,democracy,"Der Rathauschef sei \""beratungsresistent und unfähig zum Dialog",Democracy
StZ_20100809_DGSSGT_1568,StZ_20100809_DGSSGT_1568_1,103.0,democracy,"Anfangs habe die Politik die Bevölkerung gar nicht beteiligt, kritisiert Kleiner, und ein später angestrebtes Bürgerbegehren sei aus formaljuristischen Gründen abgelehnt worden. \""Die wollen die Bürger nicht fragen\"", sagt die Sportlehrerin",Democracy
StZ_20100904_LGS_822,StZ_20100904_LGS_822_3,103.0,democracy,"\""Open-Air-Parlament für direkte Demokratie\",Democracy
StZ_20100914_SGSOS_499,StZ_20100914_SGSOS_499_3,103.0,democracy,"kritisierte als einer der Hauptredner, dass die Bürger jahrelang über Stuttgart 21 getäuscht worden seien",Democracy
StZ_20101024_PUF_607,StZ_20101024_PUF_607_2,103.0,democracy,Er kritisiert das Demokratieverständnis von Kanzlerin Angela Merkel und Ministerpräsident Stefan Mappus (beide CDU),Democracy
StZ_20101026_VANAEB_150,StZ_20101026_VANAEB_150_1,103.0,democracy,einen Volksentscheid,Democracy
StZ_20101105_NSMPA_216,StZ_20101105_NSMPA_216_1,103.0,democracy,eine Bürgerbeteiligung zu S 21,Democracy
StZ_20101122_BSBGM_551,StZ_20101122_BSBGM_551_1,103.0,democracy,Die letzte Instanz in diesem Land darf nicht die Sitzblockade sein,Democracy
StZ_20101221_GSSHSM_182,StZ_20101221_GSSHSM_182_1,103.0,democracy,"Redner kritisierten, dass die Bahn den im Schlichterspruch von Heiner Geißler angeregten Stresstest für den neuen Tiefbahnhof in Eigenregie vornehmen wolle, ohne Fachleute der Kritiker zu beteiligen. \""Das ist ein Verstoß gegen den Schlichterspruch",Democracy
StZ_20110118_GSSUED_846,StZ_20110118_GSSUED_846_1,103.0,democracy,UEber sein Schicksal sollten die Bürger entscheiden. Stuttgart 21 tauge als Beispiel für den Politikunterricht. Der Lernzprozess sei für die Bürgergesellschaft nicht hoch genug einzuschätzen,Democracy
StZ_20110121_GSHAV_669,StZ_20110121_GSHAV_669_1,103.0,democracy,"\""Wir sind das Volk",Democracy
StZ_20110130_WGSSGS_348,StZ_20110130_WGSSGS_348_1,103.0,democracy,Das Ergebnis eines solch intransparenten Tests können wir nie und nimmer akzeptieren.,Democracy
StZ_20110220_WMG_162,StZ_20110220_WMG_162_1,103.0,democracy,"blind gegen Volksabstimmungen\"".",Democracy
StZ_20110222_PMMM_166,StZ_20110222_PMMM_166_1,103.0,democracy,Die Forderung: mehr Transparenz und Offenheit,Democracy
StZ_20110416_SIVGSS_111,StZ_20110416_SIVGSS_111_1,103.0,democracy,"SPD-Landeschef Nils Schmid am Donnerstag in einem offenen Brief aufgefordert, von einer Volksabstimmung Abstand zu nehmen, da die erforderlichen Quoren ein faires Verfahren nahezu unmöglich machten",Democracy
StZ_20110417_GRDSZ_142,StZ_20110417_GRDSZ_142_1,103.0,democracy,in einen Volksentscheid zu gehen,Democracy
StZ_20110503_BGGUER_375,StZ_20110503_BGGUER_375_1,103.0,democracy,"landesweite Volksabstimmung über Stuttgart 21 verständigt haben, gefiel einem Großteil der nach Polizeiangaben rund 1500 Demonstranten nicht",Democracy
StZ_20110503_BGGUER_375,StZ_20110503_BGGUER_375_1,103.0,democracy,Wegfall des Quorums bei einer möglichen Volksabstimmung,Democracy
StZ_20110719_DBRS_105,StZ_20110719_DBRS_105_1,103.0,democracy,forderte seine Partei zu einem Mitgliederentscheid zu Stuttgart 21 auf,Democracy
StZ_20110909_DEWEB_402,StZ_20110909_DEWEB_402_1,103.0,democracy,angeblich undemokratische Vorgehensweise der Politiker angeprangert,Democracy
SZ-20201114-SVOBR-402,SZ-20201114-SVOBR-402_1,103.0,democracy,den Beschluss zum Verkauf des Sachsenbades nicht vor dem Bürgerforum zu fällen,Democracy
LEIPZ_20200507_NMFDL_2456,LEIPZ_20200507_NMFDL_2456_1,103.0,democracy,Ich dachte: So ist eine totalitäre Diktatur,Democracy
LEIPZ_20200512_DFNGH_414,LEIPZ_20200512_DFNGH_414_1,103.0,democracy,"nur einen Vorwand gesucht, „um uns in eine Diktatur zu drücken",Democracy
LEIPZ_20200530_QDFFA_770,LEIPZ_20200530_QDFFA_770_1,103.0,democracy,gegen eine „Corona-Diktatur“,Democracy
LEIPZ_20201109_FDZVP_638,LEIPZ_20201109_FDZVP_638_1,103.0,democracy,"Frieden, Freiheit, keine Diktatur",Democracy
LEIPZ_20201114_BUZTD_387,LEIPZ_20201114_BUZTD_387_1,103.0,democracy,Corona-Diktatur,Democracy
LEIPZO0020160106ebbn000kr,LEIPZO0020160106ebbn000kr_2,103.0,democracy,"Wenn alle Bürger abstimmen würden in diesem Land, und die wären für diese Asylpolitik weiterhin, dann müssen wir das anerkennen.",Democracy
LEIPZO0020160106ebch0018n,LEIPZO0020160106ebch0018n_1,103.0,democracy,Leute sollen bei uns ihre Forderungen selbst artikulieren können,Democracy
LEIPZO0020160831ec8u001ba,LEIPZO0020160831ec8u001ba_1,103.0,democracy,Unabhängig von Bildung oder Herkunft sollte sich jeder in ein offenes Plenum beteiligen können.,Democracy
WESKU00020150204eb25000gv,WESKU00020150204eb25000gv_1,107.0,church,"Für die Gemeinde sei es unerträglich, in einem Verbund mit einer Gemeinde zu sein, deren Kirchenvorstand die diffamierenden und beleidigenden Äußerungen ihres Pastors gutheißt",Church
LEIPZV0020140716ea7g00030,LEIPZV0020140716ea7g00030_1,107.0,church,gegen öffentliche Förderung des Katholikentages,Church
LEIPZV0020140716ea7g00030,LEIPZV0020140716ea7g00030_1,107.0,church,"Wenn die Kirche missionieren will, dann bitte nicht auf Kosten der Menschen, die damit nicht behelligt werden wollen",Church
