text,gt_protest_type
"Grimsley Principal Johncarlos Miller said he found out about the possible protest Thursday. He said the school received guidance yesterday from the school system’s administration about how peaceful demonstration on campus should be handled.\n\nMiller said the school will not punish students for skipping class to participate. His office gave guidance Friday morning to students on how to walk out peacefully and safely, if they chose to do so. Teachers supervised both the students who remained in their classes and those who attended the demonstration.\n\n“It was a great moment of being a principal for me to see my students come together in a spirit of unity and strength,” he said.\n\nSuperintendent Sharon Contreras was present at the Grimsley student gathering; she said she found out about the Page walkout while she was already on her way to Grimsley. She didn’t speak to the group.\n\n“I am there to make sure that students and staff are safe and to also let the students know that I am always proud of them,” Contreras said.",PROTEST
"Families trying to balance work with raising kids say it’s getting more and more difficult without breaking their household budgets. Hundreds came from across the country to let lawmakers know how much they care about issues such as affordable child care and federally paid leave for parents. See photos.\n\nParents with babbling babies and tireless toddlers pushed strollers onto Capitol Hill on Tuesday, bringing a playful atmosphere outside and a serious message to Congress about rising child care costs.\n\nUnlike “Rolling Thunder” — which will bring motorcycles rumbling through the nation’s capital during Memorial Day weekend — this was the relatively new “Strolling Thunder,” with crying and cooing babies in strollers gliding around the grass.\n\nThe event started a few years ago and has the support of many members of Congress, including House Speaker Nancy Pelosi, who spoke at the rally.\n\nFamilies trying to balance work with raising kids say it’s getting more and more difficult without breaking their household budgets. Hundreds came from across the country to let lawmakers know how much they care about issues such as affordable child care and federally paid leave for parents.\n\n“It was cost prohibitive for me to work, to find quality child care for our kids,” said Erika McKenney, of Topsham, Maine. She was holding her baby while her husband rounded up their three other children.\n\nThe McKenney family came all the way from Maine for the rally outside of the Capitol. Parents Ryan and Erika brought their four children. (WTOP/Mitchell Miller) WTOP/Mitchell Miller Families gathered Tuesday for the Strolling Thunder rally at the Capitol, where they called on Congress to pass legislation for federal paid family leave and to do more to address the cost of day care. (WTOP/Mitchell Miller) WTOP/Mitchell Miller Cecily Colburn, 3, was among those who came in a stroller to the Capitol. Her father, Casey, said he and his wife Rochelle, a Hill staffer, were never able to get the congressional day care that’s offered. They were too low on a waiting list. (WTOP/Mitchell Miller) WTOP/Mitchell Miller Ryan and Amie Clampitt and their 3-month-old daughter, Penelope, came from Bozeman, Montana, for the rally. (WTOP/Mitchell Miller) WTOP/Mitchell Miller Javona Brownlee and Jonathan Ware came to the rally with their daughters Kenzie, 2 (in stroller), and Knoble, 7 months. Brownlee said it has been a struggle to find affordable day care in the District, where they live. D.C. has the highest day care costs in the country. (WTOP/Mitchell Miller) WTOP/Mitchell Miller ( 1 /5) Share This Gallery: Share on Facebook. Share on Twitter. Share via email. Print.\n\n“I did some research before I came here, and if I were to decide to go back to teaching in the fall and put my four children into care … our family would lose $5,000 a year,” McKenney said.\n\nMany other young families said they, too, have struggled to find the right balance between work and raising their kids.\n\nJavona Brownlee and Jonathan Ware have three children — ages 6 and younger, including a baby. They live in D.C., which, according to a recent study, had the highest child care costs in the country compared with the 50 states — more than $20,000 a year. Maryland was fifth-worst in the study by the Economic Policy Institute, while Virginia was 21st.\n\n“Child care is extremely expensive,” Brownlee said as she stood in a shady area outside of the Capitol with her baby, Knoble, and 2-year-old Kenzie in a stroller. “It really puts a strain on the family.”\n\nBrownlee added that she had to return to work within six weeks of having her baby.\n\nThe Clampitt family feels the issue is so important that they came all the way to D.C. from Bozeman, Montana. Parents Ryan and Amie Clampitt were at the rally with their two kids, including Penelope, who is just 3 months old.\n\n“Neither of us had any paid time [off]. And so, with both of our kids, we had to use our sick and vacation time from work,” Amie Clampitt said. “And then, once they got into day care, they got sick, and we didn’t have any sick or vacation time.”\n\nShe hopes that Congress will eventually approve paid leave so that families aren’t left in the situation they were.\n\nHelping parents remains a priority for lawmakers, Pelosi said, adding that Congress shouldn’t keep pushing the issue to the following year.\n\n“We have to understand that every day, every week, every month, every year in the life of a child makes a difference in that child’s future,” Pelosi said. ”So it is … imperative that we do as much as we can now.”\n\nVarious proposals related to paid leave have been circulating in Congress in recent years.\n\nRep. Carolyn Maloney, D-N.Y., introduced legislation in March that would provide federal employees with 12 weeks of paid leave after the birth of a child. It has the support of House Majority Leader Steny Hoyer, D-Md.\n\nAnother proposal, the FAMILY Act, would provide up to 12 weeks of paid leave for the birth of a child, as well as to care for a sick family member. The legislation, which has been repeatedly reintroduced in the Senate, is sponsored by Sen. Kirsten Gillibrand of New York, who’s seeking the Democratic presidential nomination.\n\nAdvocates often point out that the U.S. is still the only industrialized nation that doesn’t guarantee workers paid family leave.\n\nThe Family Medical Leave Act, or FMLA, requires employers with 50 or more workers to allow for 12 weeks of leave to care for a newborn. But the leave is usually unpaid.",RALLY
"This archived news story is available only for your personal, non-commercial use. Information in the story may be outdated or superseded by additional information. Reading or replaying the story in its archived form does not constitute a republication of the story.\n\nSALT LAKE CITY — Two dozen protesters gathered with songs, prayers and menorahs on the first night of Hanukkah, urging Sen. Orrin Hatch and Congress to sustain a federal health insurance program for children in low-income families.\n\n\Hanukkah calls on us to be holy in our actions,\"" said Benjamin Luks-Morgan, an organizer with Jewish Action Utah — Bend the Arc. \""We want you to make good on your promise to get (Children's Health Insurance Program) funded.\""\n\nThe Tuesday evening gathering at the Wallace F. Bennett Federal Building in downtown Salt Lake City was boisterous and largely cheerful. Demonstrators said congressional \""inaction\"" on the Children's Health Insurance Program goes against the holiday's spirit of helping those in need, and that it puts thousands of Utah families at risk.\n\nThe group decried the uncertain fate of the program that provides coverage for an estimated 20,000 Utah kids, and 8.9 million nationally, according to 2016 estimates from the health policy think tank the Kaiser Family Foundation.\n\nFederal money for the program ran out Sept. 30 and Congress has yet to renew it, though Hatch has said he is confident his colleagues will pass his proposal to extend the program by year's end.\n\nAt Tuesday's rally, Luks-Morgan urged Jews and others to call Hatch's office through the end of Hanukkah's eighth night. He said the faith teaches that \""saving a life is more important than nearly any other action you can do.\""\n\nDr. Kristine Campbell lights Hanukkah candles as Jewish Action Utah holds a rally for Children’s Health Insurance Program funding at the Wallace F. Bennett Federal Building in Salt Lake City on Tuesday, Dec. 12, 2017. (Photo: Jeffrey D. Allred, KSL)\n\nThe Utah Department of Health expects to be able to offer CHIP coverage through January. The department is weighing whether and when to send letters to families to inform them they might lose their coverage, a department spokeswoman said Monday.\n\nThe lapse \""is not just mind-boggling, it's also shameful,\"" Jessie Mandle, senior health policy analyst at Voices for Utah Children, said at the rally. \""No family deserves to be going through the stress and uncertainty they are about to if Congress doesn't act soon.\""\n\nPediatrician Kristine Campbell said a child enrolled in the program came into her clinic recently with asthma. Even under poor air quality on Tuesday, the child didn't have to go to the emergency room.\n\n\""The problem is, the mother sat there with me and she was really worried. She didn't know how she was going to pay for her medical bills come January,\"" Campbell said. \""She didn't know how she was going to keep her out of the hospital.\""\n\nThe group sang their own version of the song \""Eight Days of Hanukkah\"" that Hatch is credited with writing in 2009.\n\nThe protesters reworked Hatch's lyrics, singing that \""you can bring CHIP back to families in need,\"" before lighting candles for the first of eight nights.\n\nKaren Nielsen plays guitar as Jewish Action Utah holds a rally for Children’s Health Insurance Program funding at the Wallace F. Bennett Federal Building in Salt Lake City on Tuesday, Dec. 12, 2017. (Photo: Jeffrey D. Allred, KSL)\n\nIt's the second demonstration this week from advocates calling for the program's renewal. On Monday, Alliance for a Better Utah supporters brought a petition with 650 signatures and a bin of 20,000 chocolate chips representing the Utah children enrolled in the program to Hatch's Salt Lake office.\n\nThe Senate's senior member helped craft CHIP in 1997, and Congress has reauthorized it three times. The program now insures children in households that earn too much to qualify for Medicaid but bring in less than 200 percent of the federal poverty level — $49,200 for a family of four in 2017.\n\nHatch's proposal, the KIDS Act of 2017, would extend the program's federal funding for five years. The U.S. House of Representatives approved a new round of CHIP funding in November, but it's not clear how that would reconcile with Hatch's proposal.\n\nHatch's office did not immediately respond to a request for comment late Tuesday. On Monday, Hatch spokesman Matt Whitlock said the senator is sensitive to Utahns' concerns about CHIP and was listening to constituents, noting his pending legislation. The bill awaits a vote in the Senate, then the House.\n\n×\n\nPhotos\n\nRelated Stories""",RALLY
"Rev. Jawanza Colvin of Olivet Institutional Baptist Church in Cleveland, left and Pastor John Lentz of Cleveland lead the crowd in chant in front of Quicken Loans headquarters in Detroit on Tuesday, March 21, 2017. (Photo: Romain Blanquart, Detroit Free Press)\n\nProtesters from Cleveland traveled to downtown Detroit today to oppose a deal for public financing of an upgrade to the arena where the city's Cavalier's basketball team plays, calling on team owner Dan Gilbert to support investment in battered neighborhoods and residents who don't live in that city's downtown.\n\nAbout 150 people from the Cleveland area and metro Detroit joined in the noontime protest outside the Quicken Loans headquarters at One Campus Martius, chanting they were \not all in\"" on a major renovation of the Quicken Loans Arena. The arena's price tag of $282 million could include as much as $160 million in public funding. The protesters said the deal is part of a larger pattern of business and political leaders in Cleveland and Cuyahoga County spending lavishly to fix up the city's downtown while some of the town's most distressed neighborhoods are awash in unemployment, vacancy, violence and an epidemic of opioid addiction.\n\n\""What we are against is any investment that continues the tale of two cities,\"" said the Rev. Linda Robinson of St. James African Methodist Episcopal Church and a member of Greater Cleveland Congregations, a coalition of dozens of faith organizations opposed to the arena deal.\n\nRead more:\n\nSpeakers said they've been unable to get a meeting with Gilbert to begin a dialogue about investing in neighborhoods that, as in Detroit, face violence, troubled schools and lack of employment options for some of the city's poorest residents. They said they're not opposed to the upgrade of the arena, but they're deeply troubled that a region with scarce resources somehow finds money to pay for significant downtown improvements while Cleveland's neighborhoods are declining and ignored.\n\nThey said they're hoping for a deal in which city, county and business leaders agree to invest millions into job training, capital improvements and mental health and substance abuse options in Cleveland, which protesters said is on pace to see 600 opioid overdose deaths this year. Several members of the group delivered a letter to Gilbert, which was accepted outside the headquarters building by Rock Ventures Chief Operating Officer Josh McManus.\n\nRepresentatives of Gilbert's Rock Ventures couldn't be reached immediately for comment this afternoon.\n\nThe issue of downtown investment in Cleveland shares similarities with Detroit, and it wouldn't be Gilbert's first time seeking public support for one of his projects.\n\nRev. Jawanza Colvin of Olivet Institutional Baptist Church in Cleveland leads a crowd in chant in front of Quicken Loans headquarters in Detroit on Tuesday, March 21, 2017. Members of Greater Cleveland Congregations drove in for the protest to secure dialogue with Dan Gilbert regarding his request for $160,000,000 of public monies for an upgrade to the Quicken Loan Arena in Cleveland. (Photo: Romain Blanquart, Detroit Free Press)\n\nGilbert has been lobbying state lawmakers to allow tax incentives for projects like his proposal to build a new tower in downtown Detroit on the site of the former Hudson's building that would be taller than the city's highest skyscraper, the Renaissance Center. Gilbert might also seek tax credits for a proposal pushed by he and fellow billionaire Tom Gores, owner of the Detroit Pistons, to build a new arena for a Major League Soccer expansion team on the east side of downtown, a project tied to the fate of the Wayne County Jail. Gilbert has said he would have to scale back the scope of major downtown Detroit projects without the subsidies.\n\nAbout 100 Cleveland protesters arrived by charter bus for the action today. They were joined by about 50 supporters from metro Detroit.\n\nThe Rev. Louis Forsythe, pastor of Pleasant Grove Baptist Church in Detroit and a member of Detroit Regional Interfaith Voice for Equity, a faith-based community justice group, said Clevelanders were seeking was a dialogue about expending public resources on a major downtown project while Cleveland's neighborhoods' needs go unmet.\n\n\""We fear the same thing will happen here in Detroit,\"" Forsythe said. \""We are watching, Mr. Gilbert.\""\n\nContact Matt Helms: 313-222-1450 or [EMAIL]. Follow him on Twitter: @matthelms.\n\nRead or Share this story: https://www.freep.com/story/news/local/michigan/detroit/2017/03/21/dan-gilbert-quicken-loans-arena/99452464/""",PROTEST
"“If we were in Afghanistan, I would have to order my soldiers to have you shot,” Hunter said, quoting his former colonel. “The fact that we’re in the United States of America, you’re free here to protest.”\n\nThe event was planned about two months ago and was not a response to a protest last weekend opposing the Trump administration’s rescinded policy to separate children from illegal immigrants, according to organizer Kelburn Koontz.\n\nTwo of the advertised speakers — Sheriff Mark Nelson and Deputy Sheriff Brad Thurman — could not attend due to illness and attendance at a memorial service, respectively.\n\nSeveral speakers said they are worried the Second Amendment is under attack. Multiple speakers railed against Initiative 1639, which would require purchasers of semi-automatic firearms to be at least 21 and to go through enhanced background checks. It remains to be seen whether the measure will be on the fall ballot.\n\nJoey Gibson, leader of right-wing group Patriot Prayer and a U.S Senate candidate, said the U.S. Constitution has been “trampled all over” and claimed that there are more than 20,000 laws regarding the Second Amendment.\n\n“Does that sound like, ‘shall not be infringed’? It sounds like it was infringed 19,999 laws ago,” he said.",RALLY
"Dozens of community members gathered Friday to make sure their Muslim neighbors felt comforted and safe after the deadly attacks in New Zealand.\n\nSAMMAMISH, Wash. — Tragedy as painful as the mosque attacks in New Zealand crosses every border.\n\n“It travels,” said Sarah Kimsey.\n\nThe attacks on two mosques, which have been called the deadliest in modern New Zealand history, killed at least 49 people.\n\nIn Sammamish on Friday, dozens of people gathered to make sure their Muslim neighbors felt comforted and safe.\n\n“Peace and love,” said Helen Hodges. “We need more of that, don’t you think?”\n\nThe crowd lined the sidewalk in front of Sammamish Mosque - sharing signs of support and kind words with the folks attending Friday prayers inside.\n\n“I think it shows compassion, I think it shows leadership,” said Kimsey. “I think it shows tolerance and community spirit that’s really strong here.”\n\nShe organized the gathering at the request of mosque leaders. Several Sammamish and Issaquah officers also stood by for extra security.\n\nAta Bhatti, a leader in the mosque, said he was glad to see all the new faces.\n\n“I think all the events over [in New Zealand] point out a few things – one that those events are not that far away, and that anybody can be a victim,” he said. “It points out that anyone can be an aggressor. And it points out just looking down the line here that anyone can be a supporter and I think we appreciate that.”\n\nThe mosque opened their doors for people to experience their worship. Trustee Rehan Bashar said at times like this its critical to help people better understand Islam.\n\n“Everyone is welcome to come inside and see us pray,” he said. “They’re welcome to join us because we are all one.”\n\nAnd in the message, Alaa Badr discussed the tragedy abroad.",RALLY
"Over 100 people gather in Salisbury to protest\n\nSALISBURY, Md. – Close to 100 protestors in support of the Black Lives Matter movement came out Thursday to make their voices heard, but also to listen.\n\n“We just wanted to show like we can do this we can come together and not argue and fight or go in these people’s stores and break stuff, we were out here to handle business and I think it was handled,” said Antoine Campbell.\n\nDuring the protest, anyone could speak and many took up that offer. Some voicing personal stories of injustices they had faced at the hands of police. Others pointing to the city government and city police department as culprits in the matter.\n\nHowever, instead of the concerns just being raised, Chief Barbara Duncan and Mayor Jake Day spoke and also engaged in conversations with protestors about what changes need to be made.\n\n“More opportunities for dialogue, more opportunities for mentorship, more opportunities for connectivity and so I heard a lot of that today, and I’m really encouraged,” said Chief Duncan.\n\nAnd in the end, that’s what protest organizers say the wanted. A chance for dialogue to starts and a chance for all different types of people to come together.\n\n“We wanted to bring the community together and show what real America looks like and as you’ve seen we had people who was white black Haitian, Hispanic. We had all walks of life here, no hatred all love, and that’s how we break the back of systemic racism,” said Andre “Gator” Henry.",PROTEST
"HARRISONBURG, Va. (WHSV) — Thursday evening, dozens of students at James Madison University gathered in front of Wilson Hall to protest and demand action for Breonna Taylor.\n\nSummer Khaswan, the organizer of the protest, said she decided to take action after none of the police officers involved in the raid that killed Breonna Taylor were charged with her death.\n\n“She was an innocent woman who was sleeping in her own home and the fact that a wall got justice before she did was just absolutely ridiculous,” Khaswan said.\n\nStudents were spaced out around JMU’s quad with a megaphone in the middle. Students took their turns listening and expressing their thoughts on Wednesday’s decision from Daniel Cameron, Kentucky’s Attorney General.\n\nAt one point, students took a 195 second moment of silence representing the 195 days since Taylor was killed. Students said those days will continue and they feel there has still been no justice.\n\n“There was no justice served there was no closure given and Breonna deserves better,” Khaswan said.\n\nOther points students got across during the protest were the need to vote in the upcoming election and talking to more people about racial injustice.\n\nCopyright 2020 WHSV. All rights reserved.",PROTEST
"click to enlarge CP photo: Ryan Deto Air quality protesters at Pittsburgh City-County Building\n\nAllegheny County did announce a plan on how to clean up air quality issues following inversions, which trap pollution: https://t.co/krX2rLBHvu\n\n\n\nBut the crowd is calling for pressure to make sure county officials follow through and also update their standards. pic.twitter.com/qiSL2051J4 — Pittsburgh City Paper (@PGHCityPaper) January 10, 2020\n\nOver Christmas, the Pittsburgh region experienced an eight-day stretch of poor air quality thanks to industrial air pollution being trapped by an inversion , a weather phenomenon in which a warm air mass tops a cold air mass, thus preventing pollution from escaping higher into the atmosphere.In response, the Allegheny County Health Department (ACHD) announced last week it would be making efforts to prevent future air-pollution spikes during inversions.“ACHD recognizes that the increasing frequency of these temperature inversions is associated with climate change. We also recognize that industry isn’t the only contributor to poor air quality as things like vehicle exhaust have a significant impact upon pollution,” said interim ACHD director Ronald Sugar in the press release.But at a rally today at the Pittsburgh City-County Building Downtown, more than 50 gathered to push ACHD to enforce its air-quality regulations and for the county to update and improve its rules regarding industrial polluters.Mark Dixon, an independent filmmaker in Pittsburgh, said the county’s air-quality monitoring standards must be improved and that the threshold to mandate action is too high. He said the standards are akin to wildfires and bad days in New Delhi, India (which arguably has the world’s worst air quality).“Protection of health should be the highest priority of our elected officials,” said Dixon. “We need the ACHD to move at a pace of health, not a pace of U.S. Steel and politicians to take their money.”U.S. Steel, which owns and operates the Clairton Coke Works , received a good deal of criticism at the rally. The company was blamed for being the largest single producer of carbon emissions in the region and for causing the Clairton area in southern Allegheny County to have several days with the worst air quality in America.Rachel Filippini, director of the Group Against Smog and Pollution, condemned ACHD for blaming the poor air quality on an inversion, since the inversion without industrial polluters wouldn’t lead to poor air quality. She applauded the county for taking action following the eight days of heavy pollution but said the regulations are more than 20 years old and need to be updated to work effectively.“The regulations don't even list a measurement of particulate matter 2.5,” said Filippini, a reference to the fine particulate matter now most commonly used to gauge air quality.Katie Modic, of the climate change group Communitopia, also spoke at the rally. She moved to the East End in 2017 with her husband and young children. She told the crowd how one of her sons started to develop asthma (Pittsburgh has one of the highest childhood asthma rates in the country, as well as one of the highest rates of air-pollution related deaths in the country.)Modic implored ACHD to take this issue seriously on behalf of her children and other young people in the region.“My solution is [that] our Allegheny County Health Department needs to take this seriously,” said Modic. “At the very least, follow [Environmental Protection Agency] regulations. They need to stand with us.”After the rally, much of the crowd attended the ACHD board meeting, causing the room to overflow with participants. During the meeting, ACHD announced a $107,000 fine against slag processor Harsco Metals, as well as a requirement to make a first-in-the-county upgrade to pollution control, according to Zachary Barber , of environmental group PennEnvironment.",PROTEST
"BPR's Jeremy Loeb reports from the Gerrymander 5k\n\nGerrymandering, where one party draws political maps that skew in their favor, is an issue that’s playing out in courts across the country. Few regions have been impacted more heavily than Western North Carolina. In Asheville, activists staged a creative event Saturday to draw attention to how our Congressional maps are drawn. BPR's Jeremy Loeb was there.\n\nInterview with David Daley, author of \Ratf**ked: The True Story Behind the Secret Plan to Steal America's Democracy\""\n\nInterview with Alana Pierce, board president of the League of Women Voters of Asheville-Buncombe County\n\nInterview with Janet Hoy, co-president of the NC League of Women Voters\n\nInterview with Jennifer Bremer, director of the Fair Election Action Team for LWV\n\nInterview with event organizer J.P. Kennedy\n\nYou could call Asheville ground-zero for the gerrymandering debate taking place across the country. It was here that in 2010, newly empowered Republican state lawmakers drew Congressional maps that split the heavily Democratic mountain city between 2 safe Republican districts. Republicans now control 10 of 13 Congressional seats in the swing state.\n\nAlana Pierce: “It’s a very partisan process and it ends up being the legislators choosing the voters rather than the voters choosing the legislators.”\n\nAlana Pierce of the local League of Women Voters helped organize a creative way to draw attention to the lines, what they called the Gerrymander 5k. More than 350 people came out to run or walk the meandering district line that splits Asheville. Pam Tidwell explained that she has two children who live on either side of the road where the run began.\n\nPam Tidwell: “…and they are in two different districts. It is absurd.”\n\nThe runners organized into groups….\n\nPierce: “1-2-3 Goooooo!”\n\nAnd off they went. The route, like the district line, was a little odd.\n\n“Are we going out that way?” Pierce: “You’re going out THIS way!!” [laughs]\n\n5 kilometers later, and back where he started, a 23 year old Asheville resident named Matt was catching his breath.\n\nMatt: “I’ve never run a race with so many twists and turns. But I guess when you leave the governments to draw a 5k, that’s what they do.” [laughs]\n\nDavid Daley, an author who documented gerrymandering nationwide, said Asheville’s split is a perfect example of lawmakers using district lines to take away the rights of voters to select their representatives.\n\nDavid Daley: “And politicians get away with it because we think it’s technical and tedious and about maps and math. Everything we can do to make it interesting and creative and fun is what’s going to ultimately build the awareness that changes this.”\n\nAnd those runners had plenty of fun. Not by accident, the route ended right in front of a bar.""",PROTEST
"Downtown Berkeley on Sunday became, once again, the site of a conflict between right-wing protesters and counterprotesters, crushing the hopes of city officials for a mellow day.\n\nFor most of the afternoon, flocks of protesters surged along Berkeley’s central streets, defying police officers’ attempts to corral them. Meanwhile, in Martin Luther King Jr. Civic Center Park, a small group of “anti-Marxists” sparred with those who came out to denounce them as white supremacists.\n\nThe afternoon ended with more than a dozen arrests, several small fires being set and a lot of screaming and slogan chanting — but by evening, the commotion was over.\n\nThe confrontation stemmed from an announcement earlier in the week from the Proud Boys and another right-wing group that they might stage a gathering Sunday at Civic Center Park, the site of previous clashes.\n\nA Proud Boys posting on Twitter indicated that the gathering was canceled, but nonetheless, approximately 400 counterprotesters gathered in Ohlone Park at 11 a.m. and marched along downtown Berkeley streets, heading toward the location of the originally proposed rally.\n\nSome of the marchers were dressed in black, the common uniform of antifa (anti-fascist) activists. They held up signs such as “Hatefully targeting marginalized groups is not political discourse” and chanted slogans in support of a host of leftist political positions.\n\n“We want to show them that hatred is not welcome here,” said Levon Johnson of Berkeley, who came to protest right-wing groups.\n\nThe Berkeley Police Department had prepared for possible violence by setting up barriers in Civic Center Park and by closing surrounding streets to vehicle traffic. The city also banned items that could be used as weapons, as well as face-covering masks, from the protest.\n\n“We’re going to do what we can to keep people safe,” said Matthai Chakko, a city spokesman. Neither the conservative nor the opposing groups had obtained city permits.\n\nBAY AREA NEWS News Flight from Concord crashes in Santa Ana; five dead\n\nBy 12:30 p.m., several dozen right-wing demonstrators amassed at the marchers’ intended destination, wearing “Make America Great” caps and waving signs with slogans such as “No to Marxism in America” and “Slave labor made America great.”\n\nWith the group was Eddy Brock, 30, who said his parents were both immigrants from socialist countries, and he was there to protest communism and Marxism. He pointed at the police barriers, saying, “All these barriers aren’t for the 30 to 40 patriots who showed up.”\n\nArguments between the sides, not surprisingly, grew heated. Counterprotesters surrounded right-wing activists chanting, “Nazi scum, we’ll shut you down, Berkeley is an immigrant town.” Film crews from the conservative media outlet InfoWars, flanked by bodyguards, prowled around the park in search of controversy.\n\nAround 1:45, a series of explosions erupted near the intersection of Center Street and Shattuck Avenue, several blocks from the park. According to Berkeley police spokesman Byron White, marchers threw fireworks at officers, who deployed handheld smoke canisters and fired rubber bullets in response.\n\nIn a statement Sunday evening, the department reported that officers arrested 20 protesters — mostly for possession of weapons in parks and on streets and sidewalks. Earlier in the day it posted photographs on its Twitter account of objects police confiscated, including rocks and hammers. They also reported that protesters started three dumpster fires, set one car on fire and vandalized an additional 20.\n\nBy 3 p.m., the marchers had largely dispersed and the smaller rally in Civic Center Park devolved into loud, but nonviolent, discussions between sides.\n\nThe Berkeley actions came on the heels of a rally organized by Patriot Prayer and the Proud Boys on Saturday in Portland, Ore. There, activists on the right squared off with counterprotesters, occasionally engaging in scuffles. Police arrested four people, and a reporter was injured covering the event.\n\nCreated by Vice Media co-founder Gavin McInnes in 2016, the Proud Boys adopt a somewhat coy relationship with white nationalism, saying they are “Western culture chauvinists” rather than racist but sharing members and actions with some white supremacist organizations. Its initiation rites include “Fight Club”-style beatings, and McInnes reportedly endorses violence as a political tactic. The Southern Poverty Law Center classifies the Proud Boys as a hate group.\n\nMichael Cabanatuan and Jonathan Kauffman are San Francisco Chronicle staff writers. Email: [EMAIL], [EMAIL] Twitter: @ctuan, @jonkauffman",DEMONSTRATION
"Around 100 people protested outside the Summerville Presbyterian Church in Irondequoit, New York, a suburb of Rochester, on March 9 in support of José Coyote Pérez, an immigrant dairy worker and activist. Coyote Pérez was detained in Livingston County on February 24 and had spoken at a protest in Rochester on February 3—only three weeks before his detention.\n\nUS Immigration and Customs Enforcement (ICE) has held Coyote Pérez at the Buffalo Federal Detention Facility in Batavia, New York since then.\n\nThe event was publicized as an “emergency rally to free José Coyote and end Trump’s raids.” Several immigrants’ rights activists spoke to the assembled crowd, which then marched to a field across from Rochester’s US Customs and Border Protection (CBP) office before returning to the church.\n\nCBP and ICE both operate under the aegis of the Department of Homeland Security, which enforces the Trump administration’s brutal anti-immigrant policies.\n\nDespite the cold weather and recent storm that left much of Irondequoit and the Rochester area, including the area around the protest, without power, many people attended, including families with small children. Students and at least one professor from the State University of New York College at Geneseo, about an hour south of Rochester, also attended.\n\nThe signs at the rally included “Free Jose,” “When injustice becomes law, resistance becomes duty” and “ Somos inmigrantes, no criminales ” (“We are immigrants, not criminals”). The crowd chanted slogans demanding “money for jobs and education, not for mass deportation” and expressed opposition to attacks on democratic rights, immigrants and refugees. Many motorists driving past the protest honked their support.\n\nLocal police observed the protest but did not intervene.\n\nOne of the highlights of the protest was when Coyote Pérez himself was able to speak via telephone from the detention center where he has been for the past two weeks. With the assistance of a translator, he addressed the crowd in Spanish and English.\n\n“I’m here in the Batavia detention center, incarcerated unjustly. They told me to report here to Batavia to my deportation officer, and they deceived me. When I reported to my deportation officer they told me they were going to arrest me. They told me they were arresting me because they got anonymous phone calls about me. …\n\n“The system is hurting this country and many people because here inside of Batavia [detention center] there are so many people who only came just to work. I had to leave behind my family, I had to leave behind my work, I had to leave behind all of these protests that I was starting to do to fight. I have so much faith in the people who are in front of you, I have so much faith in the churches, in the students, in the faith community. The students are so important, [it is important that they] do something to confront this, they are the future of our country. I hope that this all works out for me, I send you all greetings. Thank you.”\n\nAfter Coyote Pérez spoke, another immigrant threatened with deportation, Dolores Bustamante, spoke to the crowd about her impending immigration hearing. Like Coyote Pérez, Bustamante is a member of the Workers’ Center of Central New York. She is also on the board of Alianza de Mujeres Campasinas.\n\nThe fact that both Coyote Pérez and Bustamante, along with 22-year-old Daniela Vargas, face deportation indicates that ICE may be targeting activists for daring to speak out against xenophobic measures and attempting to improve their conditions of life. The terror this is spreading in immigrant communities appears to be deliberate.\n\nSince Trump was inaugurated on January 20, hundreds of immigrants, including many who have been in the United States for decades, have been detained or deported. On March 5, 130 people were deported to Senegal—more than six times the total number of deportations to the West African country in all of 2016.\n\nIn addition to the ordinary people horrified by the anti-immigrant actions of the Trump administration, there were small contingents from pseudo-left groups, including the Democratic Socialists of America and the Workers World Party. Representatives from the Fight for 15 campaign attended as well. These groups are seeking to redirect social opposition to Trump’s reactionary policies back in to the dead end of the Democratic Party.\n\nThe World Socialist Web Site spoke with Crystal one of the many who participated in the protest. She said that she was “really concerned about the direction the country is taking … it’s a scary situation. They’re taking the leaders and trying to remove them first.\n\n“That’s what the fascists do. It affects all of us.”",PROTEST
