text,target,gt_stance,target_short
"@LVNancy @incessantpatrio @bcwilliams92 Yes! #SoMuchUgly in #HillaryClinton, Hollow Acts Are Infamous! #WhyImNotVotingForHillary",Hillary Clinton,AGAINST,Clinton
"@WoodenThreat @incessantpatrio @bcwilliams92 that was fun, but it wont be if we have another FAKE #POTUS #WhyImNotVotingForHillary",Hillary Clinton,AGAINST,Clinton
Does #hillaryclinton lie and engage in cover-ups to do damage to the country or does she do it out of habit?  #tcot #uniteblue,Hillary Clinton,AGAINST,Clinton
I find allowing the deaths of Americans in Benghazi to be more offensive than the name Redskins. #Benghazi #redskins,Hillary Clinton,AGAINST,Clinton
"@Conservativeind @cannoneerfour Lets hope!  She's a killer, liar and a coward! #WakeUpAmerica #MakeAmericaGreatAgain",Hillary Clinton,AGAINST,Clinton
"@DaGodfather907 @NahBabyNah If Jebb is our candidate, we will hand Hillary the keys to 1600?Penn Ave. #WakeUpAmerica",Hillary Clinton,AGAINST,Clinton
The ropes might keep people back now Hillary but You WILL answer to americans come debate time you coward. #tcot #RedNationRising,Hillary Clinton,AGAINST,Clinton
"RT @harrisongolden: ""So Clinton-esque,"" Brit Hume said of Hillary's email controversy. ""You never quite get the whole truth."">",Hillary Clinton,AGAINST,Clinton
"I think marriage is as it has always been, between a man and a woman. - @HillaryClinton  #MarriageEquaility #justsaying",Hillary Clinton,AGAINST,Clinton
@HillaryClinton Pin the tail on the DONKEY!  That means you Hilldawg.  #BernieSanders  #Jeb2016 #Cruz2016 #Election2016  #Rubio,Hillary Clinton,AGAINST,Clinton
@HillarityPress @Amedicinewoman 1.Food: #Benghazi 4 NeverAteAgain 2.Weather: #Benghazi WasFireHot 3.Pets: #Benghazi 4PetsMissThem,Hillary Clinton,AGAINST,Clinton
"I'm 72 yrs old and ever since I was 6 yrs old I wanted to live long enough to see a woman President - Jim from Monticello, IA",Hillary Clinton,AGAINST,Clinton
What Are We Believing in?  BELIEVE IN VICTORY. Go for  #VICTORY2016,Hillary Clinton,AGAINST,Clinton
"The federal government did not create the states, the states created the federal government. Ronald Reagan #Federalism",Hillary Clinton,AGAINST,Clinton
@tracieeeeee @Irishsmiles1966 @Chloecat317 @weknowwhatsbest THINK POSITIVELY! #OiP #Cruz2016 #MakeDCListen #NoRINOs #NoLibProgs,Hillary Clinton,AGAINST,Clinton
"Congratulations to our Women Soccer Team for just winning the World Cup against Japan 5-2, women rule ! #freeallfour",Hillary Clinton,AGAINST,Clinton
Team USA  showed the world what American women are capable of! Is Hillary next? #WWC2015,Hillary Clinton,AGAINST,Clinton
"@HillaryClinton: Here's to fearless women chasing their goals. Congratulations, Team #USA! H",Hillary Clinton,AGAINST,Clinton
@deeceejazz Do we really want to know what's under those pantsuits? Besides the black heart of evil.,Hillary Clinton,AGAINST,Clinton
@HillaryClinton FUCK OFF CROTCH ROT BITCH  WE ALL KNOW WHAT YOU THINK ABOUT WOMEN AND RAPED GIRLS #HILLARYCLINTON #USA,Hillary Clinton,AGAINST,Clinton
"Beware of #Kochtrolls bashing our candidates. I will not bash #Hillary. She's my plan B, for gosh sakes. #Bernie2016",Hillary Clinton,AGAINST,Clinton
"@Breaking911 Probably she made a promise to support gun rights to one citizen, while promising to ban guns to the other",Hillary Clinton,AGAINST,Clinton
@nolyklibs Awww does #Killary think posing for that pic will make her look like a real human? @jlconnell66 #Benghazi #Shillary,Hillary Clinton,AGAINST,Clinton
@danmericaCNN @GenGSPatton @danamericaIt looked like they were the ones tying the knots. @jlconnell66 #Killary,Hillary Clinton,AGAINST,Clinton
RT @hamackey: RT @SlyDude3677: @msnbc  Republican Menu...pic.twitter.com/z4PH6VTJFl,Hillary Clinton,NONE,Clinton
The press needs to get out of the way so the peasants can get a glimpse of her Highness. #morningjoe,Hillary Clinton,AGAINST,Clinton
"@HillaryClinton had a duty to preserve ESI Now it's someone's duty to prosecute & sanction her Apparently ""duty"" is irrelevant",Hillary Clinton,AGAINST,Clinton
@dougshelton749 @realDonaldTrump  #HRC would be an even bigger threat to America than #Obummer.   #WakeUpAmerica,Hillary Clinton,AGAINST,Clinton
@AppSame: Queen @HillaryClinton Was asked What she thought about @realDonaldTrump comments on illegals She Said LET ME EAT PIE,Hillary Clinton,AGAINST,Clinton
@dougshelton749   Let's hope her campaign unravels before Dec.  We can't have this liar as next President.,Hillary Clinton,AGAINST,Clinton
"@dougshelton749  If @realDonaldTrump finds evidence, he will expose #HRC as the horrible candidate she is.",Hillary Clinton,AGAINST,Clinton
@dougshelton749 @realDonaldTrump  I'd be happy if that scandal brings her down.  There will be others...,Hillary Clinton,AGAINST,Clinton
RT @CattyHipster: Live today like it's your last day. But pay bills and dress appropriately just in case it isn't. #420,Hillary Clinton,NONE,Clinton
@TheJackOBrien @instapundit BOOM! I believe the 6th 'reporter' from the left has forgotten her mittens. #MediaStiffArmed,Hillary Clinton,NONE,Clinton
"That's true, as long as one works hard, has a record of accomplishment and deserves it. @HillaryClinton NOT",Hillary Clinton,AGAINST,Clinton
"AKA Depends Day ""It all depends"" and Owebama's positions make you fill your Depends. @jjauthor @weknowwhatsbest",Hillary Clinton,NONE,Clinton
"#HillaryClinton wants to be elected (thinks she's entitled)to WORK 4 the PEOPLE, & yet, she wants nothing to do with them!#peons",Hillary Clinton,AGAINST,Clinton
@WashTimes This is indefensible! One of the dumbest things I have ever seen a campaign do. Even the left was outraged by this.,Hillary Clinton,NONE,Clinton
@thehill Who's in charge of Hillary's campaign? Please get it under control and on message. #smh,Hillary Clinton,AGAINST,Clinton
@tiffiwestcott  I got mine and I love it.,Hillary Clinton,NONE,Clinton
Education should not be a debt sentence! -Former State Representative Patricia Harper  #FellowsIA,Hillary Clinton,NONE,Clinton
Hillary Clinton is a devious & deceitful career politician. She is the Richard Nixon of our time.,Hillary Clinton,AGAINST,Clinton
"HRC is a war monger, every bit as bad as any Republican in the race, and probably worse than some.",Hillary Clinton,AGAINST,Clinton
It's interesting how many liberals are so brainwashed and anxious to mindlessly support a woman who isn't even liberal,Hillary Clinton,AGAINST,Clinton
The young Skinheads from yesterday's Aryan Nations has grown up to become the Tea Party of today. Same exact doctrine @msnbc,Hillary Clinton,NONE,Clinton
"If it's been 80+ days since you've done an interview,  can we assume you're not really running for president?",Hillary Clinton,NONE,Clinton
"@peddoc63 @Fr3333dom Seems the way we're going. Lord, I hope Bilderbergs don't pay for Hitlery like they did O.",Hillary Clinton,AGAINST,Clinton
I dislike our idiots as much as I dislike theirs.,Hillary Clinton,NONE,Clinton
Take care of your finances. Spend sensibly. Save for a rainy day. Live within your means. Resist greed. #Greece,Hillary Clinton,NONE,Clinton
@politicalmath @BoboFromTexas doesn't matter. Nobody cares if the Clintons make mistakes as long as the checks keep coming.,Hillary Clinton,AGAINST,Clinton
I don't know how well a socialist is gonna play with southern democrats. #BernieSanders,Hillary Clinton,NONE,Clinton
"@Slate @pinkbunny70 Buh-bye, Bernie. I agree w/most of your platform, but your gun stance is unacceptable. #ENDTHENRA",Hillary Clinton,NONE,Clinton
Barrack Obama doesn't care about his own town! Where do you live? Think he cares about you?   #TheFive #NoSanctuaryCities #2A,Hillary Clinton,NONE,Clinton
The recent comments of #HillaryClinton sounded like it was #Netanyahu speaking. Doesn't bode well.,Hillary Clinton,AGAINST,Clinton
There's a special place in hell for those who complain more about Hillary than the scum we're fighting. #Obama,Hillary Clinton,FAVOR,Clinton
"@PantanoLaw Thanks for the follow, may God bless you and your family.  #freeallfour",Hillary Clinton,NONE,Clinton
Dana made this shirt w/ lots of #glitter! #awesome #decoration,Hillary Clinton,NONE,Clinton
"@Camilian1Sabel Amen to that, everybody has to pay their way, no welfare either.  #freeallfour",Hillary Clinton,NONE,Clinton
"Wait...... you said ""BILL COSBY?""  Oh, I'm sorry, I thought you said ""BILL CLINTON!""  #uniteblue #ReadyForHillary",Hillary Clinton,FAVOR,Clinton
Rhodham Hood: It takes a village to  community organize wealth redistribution Obama-style.,Hillary Clinton,NONE,Clinton
I just don't think we need an old white guy in the #WH - Who would his #VP be? voting for,Hillary Clinton,NONE,Clinton
SO ANYWAYS WHAT DID HE SAY? ANYTHING ABOUT VOTING FOR ME? #OBAMA #ISIS #ISIL,Hillary Clinton,NONE,Clinton
"WHAT IS ""THE THREAD OF VIOLIN EXTREMISM?"" #OBAMA #ISIS #ISIL #tcot #Elocution",Hillary Clinton,NONE,Clinton
Right now every liberal in America is feeling hopeful. We have GREAT Prez candidates. #UniteBlue #FeelTheBern,Hillary Clinton,NONE,Clinton
"@TGowdySC Your committee has NOTHING!, 4 other committees found NOTHING! UR wasting our money on a witch hunt. #HillaryClinton",Hillary Clinton,FAVOR,Clinton
@Reince This is very credible! Good work! America is desperately in need of good leadership. #VoteGOP #NoHillary,Hillary Clinton,AGAINST,Clinton
@AdamSmith_USA Nice video. GOOD Luck WITH it.,Hillary Clinton,NONE,Clinton
@HillaryClinton @HillaryforNH hope to see her in NC soon,Hillary Clinton,FAVOR,Clinton
I'm going to miss the 5pm interview so I'm depending on you all to live tweet it. Haha,Hillary Clinton,NONE,Clinton
"While I like Bernie as much as the next liberal, if we nominate him we could actually lose to some RWNJ",Hillary Clinton,NONE,Clinton
Wondering if my Hilary 2016 sticker will affect my popularity at the shooting range... #firstdate,Hillary Clinton,FAVOR,Clinton
@AdamSmith_USA because clearly @HillaryClinton is a champion for us all.,Hillary Clinton,FAVOR,Clinton
@SenSanders bashes Obama job numbers.Calling it a lie. #istandwithPresidentObama #VoteBlue2016 #HillaryClinton #Democrats,Hillary Clinton,FAVOR,Clinton
just saw ad about @marcorubio being tough on #iran it made my brain hurt #Election2016 #politics,Hillary Clinton,NONE,Clinton
"@MarkSoveign won't happen again. Hillary's coattails will help all democrats. Take back senate, Keep WH! Make history again!",Hillary Clinton,FAVOR,Clinton
"@HillaryClinton now can add #ropegate to her long list of ""accomplishments #hillaryforprison2016 #entertainment",Hillary Clinton,AGAINST,Clinton
"Tea Party Nation, Tea Party group listed by Southern Poverty Law Center as hate group. The Tea Party is The NEW Aryan Nations",Hillary Clinton,NONE,Clinton
"It's time that we move from good words to good works, from sound bites to sound solutions.--@HillaryClinton #ReadyForHillary",Hillary Clinton,FAVOR,Clinton
.@politicoroger It is 2015. You and the other high minded media are not more important than then story. Have a seat.,Hillary Clinton,NONE,Clinton
"@irritatedwoman She lied under oath before, why trust her to speak the truth now?",Hillary Clinton,AGAINST,Clinton
"True Christians follow Mathew, Mark, Luke and John. GOP-Tea Party anti-Christians follow Hannity Limbaugh, O'Reilly and Palin",Hillary Clinton,NONE,Clinton
@HillaryClinton the @DalaiLama speaks of women in leadership roles bringing about a more compassionate world. #potus,Hillary Clinton,FAVOR,Clinton
@HillaryforNV Many thanks for the follow!,Hillary Clinton,FAVOR,Clinton
@gabriellahope_ @HillaryClinton Does the general public trust her enough to be President? Don't think so.,Hillary Clinton,AGAINST,Clinton
"Based on the long lines, I thought it was free burrito day at Pancheros but it was actually Hillary! #ReadyForHillary",Hillary Clinton,FAVOR,Clinton
"I've been called many things, quitter is not one of them -@HillaryClinton in Iowa City Public Library #HillaryforIA",Hillary Clinton,FAVOR,Clinton
@HillaryClinton condemns anti-Israel boycotts as 'counter-productive',Hillary Clinton,AGAINST,Clinton
Have full faith in @HillaryClinton's campaign. #strategy #politics,Hillary Clinton,FAVOR,Clinton
"Amazing, inspiring speech&question session in Iowa City from @HillaryClinton .Her answers on education&health care were clear.",Hillary Clinton,FAVOR,Clinton
@OutnumberedFNC: Hillary chooses Brianna Keilar for her first interview. What can we expect?,Hillary Clinton,NONE,Clinton
Anyone who knows or whiteness bigotry & does nothing is just as guilty 4 not doing anything morningjoe #UniteBIue,Hillary Clinton,NONE,Clinton
"@trayNTP Why doesn't he run as a Socialist? Then he can hit Obama anytime he wants. Otherwise, it's just not done. #Bernie",Hillary Clinton,NONE,Clinton
@OutnumberedFNC: Hillary chooses Brianna Keilar for her first interview. What can we expect? Disgusting slobbering over her.,Hillary Clinton,AGAINST,Clinton
My whole day is revolving around @HillaryClinton 's interview with @brikeilarcnn on @CNN and I'm okay with that!,Hillary Clinton,FAVOR,Clinton
@LeighAnnKopans can I get your pattern for this cross stitch? I want to make my own! #pride,Hillary Clinton,NONE,Clinton
Hillary Clinton Accomplishment of the Day: extended full military health benefits to reservists and National Guard members.,Hillary Clinton,FAVOR,Clinton
"If @HillaryClinton becomes president I'm not leaving the country I will just go ""undocumented.",Hillary Clinton,AGAINST,Clinton
7 years ago this month #POTUS released his groundbreaking First Americans tribal policy platform. You're up #Election2016,Hillary Clinton,NONE,Clinton
@kwrcrow Probably for the same reason bho has not ...& @SpeakerBoehner is one of them @GOP @HouseGOP @seanhannity  #StopBush,Hillary Clinton,NONE,Clinton
#HillaryClinton just cannot accept the fact that #America does not like her. #HillaryonCNN #BernieSanders,Hillary Clinton,AGAINST,Clinton
"@HillaryClinton is plain amazing, humble, smart and confident! Let's get it Mrs. President! #HillaryClinton",Hillary Clinton,FAVOR,Clinton
@thehill Great now Hillary knows how the american people feel about the majority of politicians including her,Hillary Clinton,AGAINST,Clinton
"She's smarter and works harder . Empty accusations,inferences,gossip and rumors are rubbish.",Hillary Clinton,FAVOR,Clinton
"@MedvedSHOW   wow.  So shrill. Hating Hillary as badly as you hate homeless, transgenders, and people who ride trains",Hillary Clinton,AGAINST,Clinton
@kasie I do! And I had an invitation to their beta test before they even officially launched. #HillaryLies,Hillary Clinton,AGAINST,Clinton
@CNN @jimsciutto Good i'view #Brianna. #Hillary NOT responsible 4 slander/libel-lies r indefensible. WILL be next #POTUS.,Hillary Clinton,AGAINST,Clinton
"Either way, @HillaryClinton rises above the media chatter every time. That's one reason why I admire and respect her so much.",Hillary Clinton,FAVOR,Clinton
@TwitchyTeam ...and then she'll turn around and treat them like dogs. #RopeLine #SitUbuSitGoodDog,Hillary Clinton,AGAINST,Clinton
"Obama is 'opportunist,' Hillary Clinton no different just 'more militant' - Chomsky #TruthBeTold #notmypresident",Hillary Clinton,AGAINST,Clinton
@USATODAY @HillaryClinton how about finding her a #pathtoJAIL #DONOTPASSGO do collect any Any more of #WeThePeople s,Hillary Clinton,AGAINST,Clinton
@AC360 of course she is disappointed. Hillary only approves of lying to Americans. #WakeUpAmerica #pjnet,Hillary Clinton,AGAINST,Clinton
Trying 2 unfollow every twit who isn't going 2 vote if their candidate doesn't make it to the general.  #FeelTheBern   #SCOTUS,Hillary Clinton,NONE,Clinton
ROFLMAO! 2012 @GOP couldnt kiss enough of #DonaldTrump ass! Now GOP cant run fast enough. #tcot #uniteblue #Bernie2016,Hillary Clinton,AGAINST,Clinton
@HillaryClinton made me proud today!  Nothing like reinforcing what I already knew!,Hillary Clinton,FAVOR,Clinton
@N_Fatale @bayareahausfrau ILLEGAL IMMIGRATION IS GOOD FOR THE ECONOMY AND GOOD FOR OUR CHILDREN #tcot,Hillary Clinton,NONE,Clinton
@HillaryClinton great job on @CNN interview today.  Fuck stupid MSM. Go,Hillary Clinton,FAVOR,Clinton
Hillary upset GOP candidates didn't respond to Trump's illegal imm comments immediately-yet we're still waiting for her emails.,Hillary Clinton,AGAINST,Clinton
@HillaryClinton Many of us r near ruin! #SaveTheMiddleClass #PresidentHillaryClinton #StopOutSourcing,Hillary Clinton,FAVOR,Clinton
America has no tolerance for cheaters and liars in the White House. #NoBillary #Women4GOP #PresidentialElection2016,Hillary Clinton,AGAINST,Clinton
@HillaryClinton Will #BillClinton assault #MonicaLewinsky on her birthday? #liberals #HillaryClinton,Hillary Clinton,AGAINST,Clinton
If Hillary wins next year it'll be the first time two presidents have had sex with each other,Hillary Clinton,NONE,Clinton
President Jimmy Carter:  There's no doubt Hillary will get the nomination. And when she does I'll be happy to support her,Hillary Clinton,FAVOR,Clinton
@StarCoreOne02 @DrMartyFox Is it still 1992? We must be watching Back To The Future 10.0,Hillary Clinton,NONE,Clinton
.@thehill umm.  Yyyeaaaaah. Sure they do.,Hillary Clinton,NONE,Clinton
@JedediahBila u must be counting the lies like sheep .....,Hillary Clinton,NONE,Clinton
Technology has exposed more bad politicians than bad cops....Where Is Our Server Hillary? #CNN,Hillary Clinton,AGAINST,Clinton
Free and Equal in dignity and rights.,Hillary Clinton,NONE,Clinton
@CheerUpKaci @tmacGA70 It's the Clinton history of scandalous behavior.  #Integrity knows no sex. #HillaryonCNN,Hillary Clinton,AGAINST,Clinton
"Entire campaign platform for @HillaryClinton seems to be... ""I'm Hillary Clinton"".  #norecord #nosubstance #tcot #PJNET",Hillary Clinton,AGAINST,Clinton
Imagine @JoeBiden runs for POTUS. Without a doubt a strong & popularly likable candidate against the Clinton. -------,Hillary Clinton,AGAINST,Clinton
A lot of #GOPHaters for #Hillary - so funny because she is beating them all at 40%,Hillary Clinton,FAVOR,Clinton
"SUCCESS:  @HillaryClinton said she's receiving a constant barrage of attacks from ""the Right.""  Great job, guys. Keep it up!",Hillary Clinton,AGAINST,Clinton
Do you Progressives know how dangerously close you are to suppressing free speech? Stop it.   #inners  #readyforhillary,Hillary Clinton,FAVOR,Clinton
"#Democrats and #Obama reduce OUR Army by 40,000   MEANWHILE   Has increased IRS to 100,000  #HillaryClinton #Hillary",Hillary Clinton,AGAINST,Clinton
@CNNPolitics @PoliticalAnt @moody this is beautiful #oops,Hillary Clinton,NONE,Clinton
"#NoHillary2016 & her #PredatorRat, too. MT ""@steve0423: We need to get these stickers up nationwide! #tcot #RedNationRising",Hillary Clinton,AGAINST,Clinton
"@forewit @HillaryClinton is a degenerate liar who will do, say, cheat, delete, anything to get another squat at 1600 Penn Ave.",Hillary Clinton,AGAINST,Clinton
@Reince Hardly a hard-hitting interview like with GOP candidates. Did CNN preclear its questions with her campaign in advance??,Hillary Clinton,NONE,Clinton
Democrats want power for themselves. Republicans will give YOU the power! #Election2016,Hillary Clinton,AGAINST,Clinton
Dad while watching the news:  Politics is just show business for ugly people #HowAboutNo,Hillary Clinton,NONE,Clinton
.@thedailybeast such a waste of space #CrackingCeilings,Hillary Clinton,NONE,Clinton
@KrownRoyaleNY @jjauthor Bad for her is good for the U.S. @jlconnell66 #Killary,Hillary Clinton,AGAINST,Clinton
"RT @JohnFugelsang: They should just make the GOP primaries a reality game show called ""Who Wants To Get Beat Up By A Girl?",Hillary Clinton,FAVOR,Clinton
@csham21 @EstadodeSats Thank you so much for supportive #Freedom4Cuba RTs! #WakeUpAmerica #Cuba #TodosMarchamos,Hillary Clinton,NONE,Clinton
"Can't #UniteBlue, RT LindaSuhler: Hillary:People Trust Me, Blames 'Constant Barrage of Attacks' By the Right #delusional #WakeUpA...",Hillary Clinton,AGAINST,Clinton
@M_E_Adams if a Demonrat were to win I'd prefer Sanders over Killary.,Hillary Clinton,AGAINST,Clinton
@jschau11 wow!!! i can halp too!! #OBAMASUCKS #BLOWUPISIS #NOIRS #NOSHARIAUSA #NOAMNESTY #DAMNTHAT140  #USARULES...#ILOVETHIS #(:),Hillary Clinton,NONE,Clinton
"#WhatILearnedToday @HillaryClinton already admitted to having at least 2 devices, more lies, it never stops",Hillary Clinton,AGAINST,Clinton
@DesireeAaron @HillaryClinton  Sheets Clinton Ya got to love it #HillaryonCNN #HillaryClinton,Hillary Clinton,FAVOR,Clinton
.@jaketapper The way @HillaryClinton keeps lying I swear her father's real last name is Geppetto. #TCOT #WakeUpAmerica,Hillary Clinton,AGAINST,Clinton
It's a beautiful day for phone banking at the Hill House on 1529 Richland Street! Join us tonight at 6PM! @HillaryforSC,Hillary Clinton,FAVOR,Clinton
@ahbrees @TODAYshow  Attack? More like the daily liberal media defend Hillary and her lies!!,Hillary Clinton,AGAINST,Clinton
@DeatonCAPT Simple. Govt benefits. Surprised it's only 42%. Must be some dependents who want off welfare.,Hillary Clinton,NONE,Clinton
@stylistkavin Amazing how much they sound like Republicans! ; ) #ITrustHillary,Hillary Clinton,FAVOR,Clinton
@pdg811 Didn't realize I was in a Republican echo chamber of faux scandals! Ask Gowdy to #Releasethetranscript  #ITrustHillary,Hillary Clinton,FAVOR,Clinton
"Hillary Clinton has amassed $329 million in her career (3 of her top 5 donors are Citigroup, Goldman & JP Morgan). #Bernie2016",Hillary Clinton,AGAINST,Clinton
#HillaryonCNN   The wicked person flees when no one is chasing them - Proverbs,Hillary Clinton,AGAINST,Clinton
@Scott_R_Ellis the reason she struggles to appear genuine is she is not a genuine person. Actions speak louder than words.,Hillary Clinton,AGAINST,Clinton
@Levee_Breaks  The stench of low tide.is lasting NO! ===>,Hillary Clinton,NONE,Clinton
@CNNPolitics @JDiamond1 that's so ridiculous to treat people like that. They are doing their jobs.,Hillary Clinton,NONE,Clinton
Hilarity of the day: Hillary said she went 'above and beyond' in transparency. Really? What about the 30k deleted emails?,Hillary Clinton,AGAINST,Clinton
"@HillaryClinton Wow, #HillaryClinton looks very fat in that pants suit. #liberals #tlot #Democrats",Hillary Clinton,AGAINST,Clinton
@HillaryClinton interview was ridiculous!! She's such a liar!,Hillary Clinton,AGAINST,Clinton
"Every time the republicans move to the middle, the liberals move the middle further to the left.",Hillary Clinton,NONE,Clinton
".@HillaryClinton blames her lack of trust among the populace on @GOP, forgetting that she's a lying, conniving, murderous, cheat.",Hillary Clinton,AGAINST,Clinton
"Hillary has sacrificed more Ambassadors, told more lies, hid and destroyed more evidence... The beat goes on,,, @McSadie",Hillary Clinton,AGAINST,Clinton
@thehill : Women deserve a better candidate for the HIGH HONOR if first woman President: We ALL do! #WhyI'mNotVotingForHillary,Hillary Clinton,AGAINST,Clinton
A circus Act such as Donald Trump is short term entertainment. Soon to be canceled.,Hillary Clinton,NONE,Clinton
"@churstauthor Thanks for the follow Charles, may God bless you and your family !  #freeallfour",Hillary Clinton,NONE,Clinton
@alison_rambles @RickCanton @ResistTyranny @RotNScoundrel @LeahR77 @LeahRBoss @RedStateJake  Because I have Grand Children!,Hillary Clinton,NONE,Clinton
"If it weren't for her marriage, Hillary would unknown. Thanks a lot, Bill.  RT @MangyLover #HIllaryClinton #WeDontTrustYouHillary",Hillary Clinton,AGAINST,Clinton
@TajMagruder  Facetious much? Had me going there.,Hillary Clinton,NONE,Clinton
@realDonaldTrump has my vote! The truth will set you free and we need transparency in Washington now more than ever!,Hillary Clinton,AGAINST,Clinton
.@HillaryClinton is a liar & corrupt.  Period. End of story.  #criminal #liar #hillaryforprison #uppers #tcot,Hillary Clinton,AGAINST,Clinton
Republicans in the White House will make America great again! #Trump #educateyourself #boycottlibralmedia,Hillary Clinton,AGAINST,Clinton
"@AndreaTantaros Clinton privilege transcends white privilege, rock star privilege, NFL privilege & intergalactic alien privilege.",Hillary Clinton,AGAINST,Clinton
Hillary has learned The Blame Game well from Obama - she blames GOP for everything!,Hillary Clinton,AGAINST,Clinton
when i get married to my partner i want @HillaryClinton to be my maid of honor!  #govote #girlpower #lovewins,Hillary Clinton,FAVOR,Clinton
"Hey!!! If anyone wants to help with the Hillary camp at Charlotte pride, let me know!!! #nc #pride #lgbt",Hillary Clinton,FAVOR,Clinton
Are we so desperate in this country to seriously consider a 60+ woman as president?,Hillary Clinton,AGAINST,Clinton
@JOEROWE409 @ScotsFyre Hillaey Clinton can't help but lie...it's who she really is.,Hillary Clinton,AGAINST,Clinton
"Hillary ""We came, we saw, he [Gaddaffi] died"" psychopath Clinton. #HillaryonCNN #Nothanks",Hillary Clinton,AGAINST,Clinton
It bugs me when some people seek to invalidate centrist Democrats. I prefer a bigger tent.,Hillary Clinton,NONE,Clinton
Join the Hillary team now and come to the Jefferson County phone bank tomorrow from 6-8 at Bliss Studio in Fairfield!,Hillary Clinton,FAVOR,Clinton
"Mining is where all the money is but our ""Leader"" says otherwise #ArrestObama #RedNationRising #OperationBendOver #NoSanctuary",Hillary Clinton,NONE,Clinton
I wish #OliviaPope could run @HillaryClinton 's campaign... #Scandal #livisreal,Hillary Clinton,AGAINST,Clinton
"Liberal's, why ARE you so intolerant?!? Why were your parents so intolerant? And their parents? #UniteBlue",Hillary Clinton,NONE,Clinton
@CNN One would hope everyone would be fired up over such a blatant lie,Hillary Clinton,AGAINST,Clinton
Hillary gave her first big interview. Did she talk about the issues? Did she rally the left? Nope. Total dud. #Bernie2016,Hillary Clinton,AGAINST,Clinton
"#Clintonemails are just a prelude of what her presidency could be if elected, a myrad of scandals @GOP @FloridaGOP @marcorubio",Hillary Clinton,AGAINST,Clinton
@CNN and CNN proved they are not a legitimate news organization by not calling her out about all her lies. #JournalismIsDead,Hillary Clinton,AGAINST,Clinton
We stand with the great #Baltimore mayor! Fire all the Crooks in Uniform! @MayorSRB #FreddieGray #hannity @donlemon #BlueWall,Hillary Clinton,NONE,Clinton
HRC is delusional in addition to being a pathological liar.  1%er to the extreme.,Hillary Clinton,AGAINST,Clinton
This is the 3rd time in U.S. that Republicans has a vacuum of presidential leadership.,Hillary Clinton,NONE,Clinton
'Hilary is not electable' then you stand no chance @realDonaldTrump #carnivalbarker,Hillary Clinton,AGAINST,Clinton
"If Hillary Clinton is elected president in 2016, this nation will surely experience unprecedented destruction.",Hillary Clinton,AGAINST,Clinton
"@HillaryClinton : ""Change religious beliefs"" to accommodate the violence of abortion?! #WhyI'mNotVotingForHillary",Hillary Clinton,AGAINST,Clinton
Voting Republican in 2016 gets you so much more than a free cellphone! #Election2016,Hillary Clinton,AGAINST,Clinton
@HillaryClinton had a Legal obligation to prevent the destruction (preserve) Gov't & related documents (email). She didn't.,Hillary Clinton,AGAINST,Clinton
"@3_Card_Monty : I believe the title would be ""First Lord"". Let THAT sink in!! #PJNET",Hillary Clinton,NONE,Clinton
@Independent Maybe it's his last name? Or maybe he's a bonafide racist with a militia membership. Lol. #Tattoos,Hillary Clinton,NONE,Clinton
"You know, when you talk bad about Hillary, in a sense, you're talking bad about me.",Hillary Clinton,FAVOR,Clinton
"I will give the Jewish state all the support to vanquish Hamas & if that means killing 200,000 Gazans, than so be it. -",Hillary Clinton,NONE,Clinton
