source_row,source_date,source_country,text,gt_attack_type
13,2017-01-02,Iraq,"01/02/2017: A suicide bomber detonated an explosives-laden vehicle at the square in Sadr City neighborhood, Baghdad, Iraq. In addition to the assailant, at least 35 people were killed and 61 other people were injured in the blast. The Islamic State of Iraq and the Levant (ISIL) claimed responsibility for the attack.",Bombing/Explosion
14,2017-01-02,Iraq,"01/02/2017: An explosives-laden vehicle detonated at the Kendi Hospital car park in Baghdad, Iraq. At least four people were injured in the blast. The Islamic State of Iraq and the Levant (ISIL) claimed responsibility for the attack.",Bombing/Explosion
15,2017-01-02,Iraq,"01/02/2017: An explosives-laden vehicle detonated in Zafraniya neighborhood, Baghdad, Iraq. At least two people were killed and seven other people were injured in the blast. No group claimed responsibility for the attack.",Bombing/Explosion
16,2017-01-02,Iraq,"01/02/2017: An explosive device attached to a civilian vehicle detonated in Baladiat neighborhood, Baghdad, Iraq. At least one person was killed and four other people were injured in the blast. The Islamic State of Iraq and the Levant (ISIL) claimed responsibility for the attack.",Bombing/Explosion
17,2017-01-02,Iraq,"01/02/2017: An explosive device detonated near al-Jawader Hospital in Sadr City neighborhood, Baghdad, Iraq. At least five people were injured in the blast. The Islamic State of Iraq and the Levant (ISIL) claimed responsibility for the attack.",Bombing/Explosion
18,2017-01-02,Iraq,"01/02/2017: An explosives-laden vehicle detonated targeting the convoy of Sheikh Mahdi al-Sumaida'i near a mosque in Dakhliyah neighborhood, Baghdad, Iraq. Al-Sumaida'i, a Sunni cleric, was not harmed but at least one person was killed and 10 other people were injured in the blast. No group claimed responsibility; however, sources attributed the attack to the Islamic State of Iraq and the Levant (ISIL). The specific motive is unknown; however, sources suspected that Sheikh Mahdi al-Sumaida'i was targeted because of his links with the government.",Bombing/Explosion
19,2017-01-02,Iraq,"01/02/2017: Assailants attacked an Iraqi Army barracks near Baiji, Saladin, Iraq. At least four soldiers were killed and 12 other soldiers were injured in the incident. This was one of two coordinated attacks in Saladin on the same day. No group claimed responsibility; however, sources attributed the incidents to the Islamic State of Iraq and the Levant (ISIL).",Unknown
20,2017-01-02,Iraq,"01/02/2017: Assailants shot and killed nine Sunni tribal fighters in a village near Adhaim, Diyala, Iraq. This was one of two similar incidents near Adhaim on the same day. No group claimed responsibility for the attacks.",Armed Assault
21,2017-01-02,Iraq,"01/02/2017: Assailants armed with mortar rounds and firearms attacked Shia tribal fighters near Adhaim, Diyala, Iraq. At least three fighters were killed and seven other fighters were injured in the assault. This was one of two similar incidents near Adhaim on the same day. No group claimed responsibility for the attacks.",Armed Assault
22,2017-01-02,Iraq,"01/02/2017: Two assailants wearing suicide vests opened fire on the Iraqi Police Service (IPS) al-Imam station in Mutasim neighborhood, Samarra, Saladin, Iraq. The assailants were able to overtake the station before they were killed by security forces. This was one of two coordinated attacks on police stations in Mutasim on the same day. At least 11 people, including seven officers and four assailants, were killed in the incidents. The Islamic State of Iraq and the Levant (ISIL) claimed responsibility for the attacks.",Bombing/Explosion
23,2017-01-02,Iraq,"01/02/2017: Two assailants wearing suicide vests opened fire on the Iraqi Police Service (IPS) al-Mutawakil station in Mutasim neighborhood, Samarra, Saladin, Iraq. The assailants were able to overtake the station before they were killed by security forces. This was one of two coordinated attacks on police stations in Mutasim on the same day. At least 11 people, including seven officers and four assailants, were killed in the incidents. The Islamic State of Iraq and the Levant (ISIL) claimed responsibility for the attacks.",Bombing/Explosion
24,2017-01-02,Burundi,"01/02/2017: Assailants abducted Alexis Nsabimana in an unknown area of Bujumbura Rural, Burundi. The whereabouts of Nsabimana, a local National Liberation Front (FNL) representative, are unknown. No group claimed responsibility for the attack.",Hostage Taking (Kidnapping)
25,2017-01-02,Afghanistan,"01/02/2017: An explosive device detonated targeting the vehicle of Mohammad Omar in Nijrab, Kapisa, Afghanistan. Omar, a former Hezb-I-Islami Afghanistan (HIA) commander, was killed and a one person was injured in the blast. No group claimed responsibility for the incident.",Assassination
26,2017-01-02,Somalia,"01/02/2017: Assailants attacked and killed a Somali Armed Forces (SAF) soldier in Yaqshid neighborhood, Mogadishu, Somalia. No group claimed responsibility; however, security forces arrested two Al-Shabaab members in connection with the incident.",Unknown
27,2017-01-02,Afghanistan,"01/02/2017: Assailants attacked a security forces convoy in Koshki Kohna, Herat, Afghanistan. Six assailants were killed in the ensuing clash. No group claimed responsibility for the incident; however, sources attributed the attack to the Taliban.",Armed Assault
28,2017-01-02,Afghanistan,"01/02/2017: A suicide bomber detonated prematurely in a mosque in Shahjoy, Zabul, Afghanistan. The assailant was the only reported casualty. No group claimed responsibility for the incident.",Bombing/Explosion
29,2017-01-02,Algeria,"01/02/2017: An explosive device detonated in Mouzaia, Blida, Algeria. At least one person was killed and seven other people were injured in the blast. No group claimed responsibility for the attack.",Bombing/Explosion
30,2017-01-02,United States,"01/02/2017: Four assailants tied up and tortured a mentally disabled person at a residence in the west side of Chicago, Illinois, United States. The victim was released after four hours. The attack was streamed on Facebook and the assailants shouted anti-Trump and anti-white profanities. Jordan Hill, Brittany Covington, Tesfaye Cooper, and Tanisha Covington were arrested on hate crime charges in connection with the incident. The specific motive is unknown; however, sources noted that the assailants made anti-white and anti-Trump statements during the attack.",Hostage Taking (Kidnapping)
31,2017-01-02,Philippines,"01/02/2017: Assailants opened fire on the vehicle of Eugenio Salva Jr. near Basalem, Zamboanga Sibugay, Philippines. Salva Jr., the Kumalarang mayor, was not harmed as there were no reported casualties in the assault. No group claimed responsibility for the attack.",Assassination
32,2017-01-02,India,"01/02/2017: Assailants attacked A. Mohan Raj in Alangulam, Tamil Nadu, India. Raj, a former local councilor, was killed in the incident. No group claimed responsibility for the attack.",Assassination
33,2017-01-03,Greece,"01/03/2017: An explosive device detonated outside the residence of Efrosini Kouskouna in Athens, Attica, Greece. Kouskouna, the Greek Ministry of Labour, Social Insurance and Social Solidarity's National Actuarial Authority President, was not harmed as there were no reported casualties. No group claimed responsibility for the attack.",Bombing/Explosion
34,2017-01-02,India,"01/02/2017: Assailants attacked Assam Rifles (AR) soldiers in Manipur, India. At least three people, including one soldier and two assailants, were killed and another assailant was injured in the ensuing clash. No group claimed responsibility; however, sources suspected that the incident was carried out by the People's Liberation Army (India), the United National Liberation Front (UNLF), or People's Revolutionary Party of Kangleipak (PREPAK).",Unknown
35,2017-01-02,Mali,"01/02/2017: Assailants opened fire on a Malian Armed Forces Camel Corps checkpoint between Boni and Hombori in Mopti, Mali. There were no reported casualties in the assault. No group claimed responsibility for the attack.",Armed Assault
36,2017-01-02,Iraq,"01/02/2017: Assailants attacked Az Zuwiyah in Shirqat district, Saladin, Iraq. Three assailants were killed and five security personnel were injured in the ensuing clash. The Islamic State of Iraq and the Levant (ISIL) claimed responsibility for the incident.",Unknown
37,2017-01-03,Yemen,"01/03/2017: Assailants opened fire on military vehicles in Lawdar district, Abyan, Yemen. At least two soldiers were killed and eight soldiers were injured in the assault. No group claimed responsibility for the incident; however, sources attributed the attack to Al-Qaida in the Arabian Peninsula (AQAP).",Armed Assault
38,2017-01-03,Pakistan,"01/03/2017: Assailants shot and killed a Pakistani Police officer in Khazana, Khyber Pakhtunkhwa, Pakistan. The Khorasan Chapter of the Islamic State claimed responsibility for the incident.",Armed Assault
39,2017-01-03,Libya,"01/03/2017: A suicide bomber detonated after being shot by a civilian at a mosque east of Sirte city, Libya. Aside from the death of the assailant, there were no reported casualties in the blast. No group claimed responsibility; however, sources attributed the attack to the Tripoli Province of the Islamic State.",Bombing/Explosion
40,2017-01-03,Pakistan,"01/03/2017: Assailants opened fire on Shadi Kor Dam construction site workers in Kech district, Balochistan, Pakistan. At least two workers were injured in the assault. The Baloch Liberation Front (BLF) claimed responsibility for the attack.",Armed Assault
41,2017-01-02,Yemen,"01/02/2017: Assailants abducted Tayseer al Samei, a journalist, in Dimnat Khadir district, Taizz, Yemen. The outcome of the kidnapping is unknown. No group claimed responsibility for the incident; however, sources attributed the attack to Houthi extremists (Ansar Allah).",Hostage Taking (Kidnapping)
42,2017-01-03,Philippines,"01/03/2017: Assailants attempted to hijack the Oceanic Shipping Lines Ocean Kingdom merchant vessel off the coast of Sibago Island in Basilan, Philippines. The ship evaded the assailants and they retreated. There were no reported casualties in the attack. No group claimed responsibility; however, sources attributed the incident to the Abu Sayyaf Group (ASG).",Hijacking
43,2017-01-03,Central African Republic,"01/03/2017: Assailants attacked a United Nations Multidimensional Integrated Stabilization Mission in the Central African Republic (MINUSCA) convoy between Obo and Zemio in Haut-Mbomou, Central African Republic. At least two Moroccan peacekeepers were killed and two other peacekeepers were injured in the incident. No group claimed responsibility; however, sources attributed the attack to the Lord's Resistance Army (LRA).",Unknown
44,2017-01-03,Central African Republic,"01/03/2017: Assailants opened fire on a United Nations Multidimensional Integrated Stabilization Mission in the Central African Republic (MINUSCA) convoy in Bokaya, Ouham-Pende, Central African Republic. At least one Bangladeshi peacekeeper was killed in the assault. No group claimed responsibility for the attack.",Armed Assault
45,2017-01-03,Egypt,"01/03/2017: Assailants opened fire on an Egyptian National Police (ENP) vehicle in Ibsheway, Faiyum, Egypt. At least one officer was killed and another officer was injured in the assault. No group claimed responsibility; however, sources attributed the attack to the Hasam Movement.",Armed Assault
46,2017-01-03,India,"01/03/2017: Assailants opened fire on Braj Kumar Singh in Salakhani, Bihar, India. Singh, a journalist, was killed in the assault. No group claimed responsibility for the attack.",Assassination
47,2017-01-03,Afghanistan,"01/03/2017: An explosive device detonated at a market in Qadim, Balkh, Afghanistan. Two civilians were killed and two civilians were injured in the blast. No group claimed responsibility for the incident; however, sources attributed the attack to the Taliban.",Bombing/Explosion
48,2017-01-03,Afghanistan,"01/03/2017: Assailants poisoned a police officer in Arghandab, Kandahar, Afghanistan. The officer was killed in the attack. No group claimed responsibility for the incident.",Unarmed Assault
49,2017-01-03,Afghanistan,"01/03/2017: Assailants shot and injured Haji Amanullah, a baker's representative, in Chonai, Kandahar, Afghanistan. No group claimed responsibility for the incident. The specific motive is unknown; however, sources posited that the victim was attacked following an argument over the nomination of a baker in Kandahar.",Armed Assault
50,2017-01-03,Afghanistan,"01/03/2017: A roadside bomb detonated prematurely as assailants were planting it in Mank area of Shindand, Herat, Afghanistan. Two assailants were killed and another was injured in the blast. No group claimed responsibility for the incident; however, sources attributed the attempted attack to the Taliban.",Bombing/Explosion
51,2017-01-03,Nigeria,"01/03/2017: Assailants armed with firearms attacked Dar village in Adamawa, Nigeria. Security forces repelled the assault, resulting in an unknown number of assailant casualties. No group claimed responsibility; however, sources attributed the incident to Boko Haram.",Hostage Taking (Kidnapping)
52,2017-01-03,Iraq,"01/03/2017: A suicide bomber detonated at an Iraqi Armed Forces checkpoint west of Ramadi, Al Anbar, Iraq. In addition to the assailant, a soldier was killed and a civilian was injured in the blast. No group claimed responsibility; however, sources attributed the attack to the Islamic State of Iraq and the Levant (ISIL). The specific motive is unknown; however, sources suspected that the attack was meant to distract security forces from operations against the Islamic State of Iraq and the Levant (ISIL) in Mosul, Iraq.",Bombing/Explosion
53,2017-01-03,Iraq,"01/03/2017: Assailants equipped with explosives-laden vehicles attacked Iraqi Special Operations Forces (ISOF) soldiers in eastern Mosul, Nineveh, Iraq. Security forces repelled the assault, killing 75 assailants. This was one of three coordinated incidents in Mosul on the same day. No group claimed responsibility; however, sources attributed the attacks to the Islamic State of Iraq and the Levant (ISIL). The specific motive is unknown; however, sources noted that the attacks occurred as security forces were conducting operations in an attempt to reclaim parts of Mosul, Iraq from the Islamic State of Iraq and the Levant (ISIL).",Bombing/Explosion
54,2017-01-03,Iraq,"01/03/2017: Assailants equipped with explosives-laden vehicles attacked Iraqi Army soldiers in southeastern Mosul, Nineveh, Iraq. Security forces repelled the assault, killing 93 assailants. This was one of three coordinated incidents in Mosul on the same day. No group claimed responsibility; however, sources attributed the attacks to the Islamic State of Iraq and the Levant (ISIL). The specific motive is unknown; however, sources noted that the attacks occurred as security forces were conducting operations in an attempt to reclaim parts of Mosul, Iraq from the Islamic State of Iraq and the Levant (ISIL).",Bombing/Explosion
55,2017-01-03,Iraq,"01/03/2017: Assailants attacked Iraqi Army soldiers in northern Mosul, Nineveh, Iraq. Security forces repelled the assault, killing 11 assailants. This was one of three coordinated incidents in Mosul on the same day. No group claimed responsibility; however, sources attributed the attacks to the Islamic State of Iraq and the Levant (ISIL). The specific motive is unknown; however, sources noted that the attacks occurred as security forces were conducting operations in an attempt to reclaim parts of Mosul, Iraq from the Islamic State of Iraq and the Levant (ISIL).",Unknown
56,2017-01-03,India,"01/03/2017: Assailants opened fire on Central Reserve Police Force (CRPF) officers in Murran, Jammu and Kashmir, India. At least one officer was injured in the assault. No group claimed responsibility for the attack.",Armed Assault
57,2017-01-03,Egypt,"01/03/2017: An assailant armed with a knife attacked and killed a Christian shopkeeper in Alexandria, Egypt. No group claimed responsibility for the incident; however, sources attributed the attack to a Muslim extremist and stated that the victim was targeted for selling alcoholic beverages at his store. The specific motive is unknown; however, sources suspected that Adel Abdel Nour al-Said Suleiman was targeted because he sold alcoholic beverages at his store.",Armed Assault
58,2017-01-03,Lebanon,"01/03/2017: Assailants threw a grenade and opened fire at the refugee camp in Ain al-Hilweh, South governorate, Lebanon. There were no reported casualties in the assault. No group claimed responsibility for the attack.",Armed Assault
59,2017-01-03,India,"01/03/2017: An explosive device detonated at the Central Coalfield Limited (CCL) coal washery weighing house in Khelari, Jharkhand, India. There were no reported casualties in the blast. According to a poster discovered at the scene, the Communist Party of India - Maoist (CPI-Maoist) claimed responsibility for the attack. The specific motive is unknown; however, sources suspected that the attack may have been related to an extortion demand.",Bombing/Explosion
60,2017-01-03,Pakistan,"01/03/2017: An explosive device was discovered and defused near a residence in Phuleji, Balochistan, Pakistan. No group claimed responsibility for the attack.",Bombing/Explosion
61,2017-01-03,Pakistan,"01/03/2017: An explosive device was discovered and defused near a brick kiln outside of Chattar, Balochistan, Pakistan. No group claimed responsibility for the attack.",Bombing/Explosion
62,2017-01-03,Mexico,"01/03/2017: Assailants abducted Joaquin Hernandez Sifuentes in La Aurora neighborhood, Saltillo, Coahuila, Mexico. Sifuentes, a priest, was killed and his body was discovered on January 12, 2017. No group claimed responsibility for the attack.",Hostage Taking (Kidnapping)
63,2017-01-03,Israel,"01/03/2017: An assailant opened fire on Yehiel Iluz along Haatzmaut Road in Haifa, Israel. Iluz, a Haifa Rabbinic Court senior judge, was injured in the assault. This was one of two incidents in Haifa carried out by the same assailant on this day. Muhammad Shinawi, an Arab-Israeli, claimed that he was motivated to carry out the attacks by nationalism and a hatred of Jews. An Arab-Israeli extremist, identified as Muhammad Shinawi, claimed responsibility for the incident and stated that he carried out the attack \out of a nationalist motivation and hatred of Jews.\""""",Armed Assault
64,2017-01-03,Israel,"01/03/2017: An assailant opened fire on Guy Kafri along Hagiborim Street in Haifa, Israel. Iluz, a van driver, was killed in the assault. This was one of two incidents in Haifa carried out by the same assailant on this day. Muhammad Shinawi, an Arab-Israeli, claimed that he was motivated to carry out the attacks by nationalism and a hatred of Jews. An Arab-Israeli extremist, identified as Muhammad Shinawi, claimed responsibility for the incident and stated that he carried out the attack \out of a nationalist motivation and hatred of Jews.\""""",Armed Assault
65,2017-01-03,Afghanistan,"01/03/2017: Assailants attacked an Afghan military convoy in Faizabad, Badakhshan, Afghanistan. An unknown number of soldiers were killed and injured in the attack. The Taliban claimed responsibility for the incident.",Unknown
66,2017-01-02,Afghanistan,"01/02/2017: Assailants attacked a police checkpost in Bolan, Helmand, Afghanistan. At least two assailants and eight police officers were killed and three police officers were injured in the attack. The Taliban claimed responsibility for the incident.",Unknown
67,2017-01-03,Afghanistan,"01/03/2017: A landmine detonated prematurely in Ishkamish, Takhar, Afghanistan. An assailant was killed and two assailants were injured in the blast. No group claimed responsibility for the incident; however, sources attributed the attack to the Taliban.",Bombing/Explosion
68,2017-01-04,Libya,"01/04/2017: A suicide bomber detonated near an Armed Forces of Libya checkpoint in Sirte city, Libya. Aside from the death of the assailant, there were no reported casualties in the blast. No group claimed responsibility; however, sources attributed the attack to the Tripoli Province of the Islamic State.",Bombing/Explosion
69,2017-01-04,Iraq,"01/04/2017: Three explosives-laden vehicles were discovered and destroyed in Wihdah neighborhood, Mosul, Nineveh, Iraq. The Islamic State of Iraq and the Levant (ISIL) claimed responsibility for the attack.",Bombing/Explosion
70,2017-01-04,Iraq,"01/04/2017: A suicide bomber detonated an explosives-laden vehicle in Wihdah neighborhood, Mosul, Nineveh, Iraq. In addition to the assailant, at least five people were killed and 14 other people were injured in the blast. The Islamic State of Iraq and the Levant (ISIL) claimed responsibility for the attack.",Bombing/Explosion
71,2017-01-04,Iraq,"01/04/2017: A suicide bomber driving an explosives-laden vehicle was identified and arrested near Wafa, Al Anbar, Iraq. The assailant was thought to be targeting an Iraqi Armed Forces checkpoint. No group claimed responsibility for the attack.",Bombing/Explosion
72,2017-01-04,Pakistan,"01/04/2017: An explosive device was discovered and defused in Tahir Kot, Balochistan, Pakistan. No group claimed responsibility for the attack.",Bombing/Explosion
73,2017-01-04,Pakistan,"01/04/2017: Assailants armed with rockets and firearms attacked an electrical transformer near a shrine in Chattar subdistrict, Balochistan, Pakistan. There were no reported casualties in the assault. No group claimed responsibility for the attack.",Armed Assault
74,2017-01-04,Pakistan,"01/04/2017: Assailants opened fire on the vehicle of Waheed Khan on Samungli Road in Jinnah Town neighborhood, Quetta, Balochistan, Pakistan. At least two people, including Khan, a private school principal, and Habibullah, a Pakistani Police assistant sub-inspector, were killed in the assault. No group claimed responsibility for the attack.",Armed Assault
75,2017-01-04,Philippines,"01/04/2017: Assailants armed with projectiles and firearms attacked the Philippine Bureau of Jail Management and Penology North Cotabato District Jail and released an unknown number of inmates in Amas, North Cotabato, Philippines. At least seven people, including one prison guard and 6 inmates, were killed and another inmate was injured in the ensuing clash. No group claimed responsibility; however, sources suspected that the attack was carried out by the Bangsamoro Islamic Freedom Movement (BIFM) and the Moro Islamic Liberation Front (MILF). The BIFM later denied involvement.",Armed Assault
76,2017-01-04,Iraq,"01/04/2017: Assailants shot down an Iraqi Air Force helicopter near Bayji, Saladin, Iraq. At least four crew members were killed in the crash. The Islamic State of Iraq and the Levant (ISIL) claimed responsibility for the attack.",Bombing/Explosion
77,2017-01-04,Afghanistan,"01/04/2017: Assailants opened fire on Taza Gul Nangyalai in Habib, Ghazni, Afghanistan. Nangyalai, a district education chief, was killed in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to the Taliban.",Assassination
78,2017-01-04,Afghanistan,"01/04/2017: An explosive device detonated in Charikar, Parwan, Afghanistan. Three civilians were injured in the blast. No group claimed responsibility for the incident.",Bombing/Explosion
79,2017-01-04,Somalia,"01/04/2017: An explosives-laden vehicle detonated near a United Nations Development Programme (UNDP) compound in Mogadishu, Somalia. At least four guards were injured in the blast. Al-Shabaab claimed responsibility for the attack.",Bombing/Explosion
80,2017-01-04,Somalia,"01/04/2017: Assailants armed with mortars and firearms attacked a Somali National Army (SNA) checkpoint near Jowhar, Middle Shebelle, Somalia. It is unknown whether there were any casualties in the assault. Al-Shabaab claimed responsibility for the incident. The specific motive is unknown; however, sources stated that the Somali National Army (SNA) was accused of using the targeted checkpoint for extortion purposes.",Armed Assault
81,2017-01-04,Ethiopia,"01/04/2017: Assailants threw a grenade at the Grand Hotel in Bahir Dar, Amhara, Ethiopia. There were no reported casualties in the blast. No group claimed responsibility for the attack.",Bombing/Explosion
82,2017-01-04,Pakistan,"01/04/2017: An explosive device detonated near a Frontier Constabulary (FC) van in Bannu Adda neighborhood, Dera Ismail Khan, Khyber Pakhtunkhwa, Pakistan. At least 17 people, including police officers and civilians, were injured in the blast. No group claimed responsibility for the attack.",Bombing/Explosion
83,2017-01-04,Pakistan,"01/04/2017: Assailants opened fire on Iqbal Mehmood in Gulistan-e-Johar neighborhood, Karachi, Pakistan. Mehmood, a Pakistani Police sub-inspector, was killed and at least two other people were injured in the assault. No group claimed responsibility; however, officials attributed the attack to Al-Qaida in the Indian Subcontinent and Lashkar-e-Jhangvi.",Armed Assault
84,2017-01-04,Pakistan,"01/04/2017: Assailants shot and killed a contractor near Jamshed Road in Jamshed Quarter neighborhood, Karachi, Pakistan. No group claimed responsibility for the attack.",Armed Assault
85,2017-01-04,India,"01/04/2017: Assailants opened fire on Raju Mishra near the Parijat building in Cherital neighborhood, Jabalpur, Madhya Pradesh, India. At least two people, including Mishra, an Indian National Congress (INC) leader, were killed in the assault. No group claimed responsibility for the attack.",Assassination
86,2017-01-04,Lebanon,"01/04/2017: Assailants threw two grenades at the residence of Firas Moussa in Bzal, North governorate, Lebanon. Moussa, the local mayor, was not harmed as there were no reported casualties in the blasts. No group claimed responsibility for the attack.",Bombing/Explosion
87,2017-01-04,Mali,"01/04/2017: Assailants shot and killed an International Committee of the Red Cross (ICRC) aid worker in Gao city, Mali. No group claimed responsibility for the attack.",Armed Assault
88,2017-01-04,Nigeria,"01/04/2017: Security forces identified and killed three female suicide bombers in Bakin Dutse, Adamawa, Nigeria. The assailants were on their way to target the Gulak Township Market. There were no other reported casualties in the attack. No group claimed responsibility; however, sources attributed the incident to Boko Haram.",Bombing/Explosion
89,2017-01-04,Nigeria,"01/04/2017: Security forces intercepted and killed three female suicide bombers in Gwoza district, Borno, Nigeria. There were no other reported casualties in the attack. No group claimed responsibility for the incident.",Bombing/Explosion
90,2017-01-04,Iraq,"01/04/2017: An explosive device detonated near stores in Khanasah, Diyala, Iraq. At least one person was killed and five other people were injured in the blast. No group claimed responsibility for the attack.",Bombing/Explosion
91,2017-01-04,Iraq,"01/04/2017: Assailants fired a mortar at a civilian residence in Radhwaniyah, Al Anbar, Iraq. At least one person was killed and three other people were injured in the blast. No group claimed responsibility for the attack.",Bombing/Explosion
92,2017-01-04,Afghanistan,"01/04/2017: Assailants attacked police checkpoints in Ghazni, Afghanistan. There were no reported casualties in the assault. No group claimed responsibility for the incident.",Armed Assault
93,2017-01-04,Myanmar,"01/04/2017: An explosive device detonated near Myanmar Army soldiers at the Kyonhtaw Waterfall in Hlaingbwe, Kayin, Myanmar. Following the blast, assailants then opened fire on the soldiers. At least one soldier was injured in the attack. No group claimed responsibility; however, sources attributed the incident to the Democratic Karen Buddhist Army (DKBA).",Bombing/Explosion
94,2017-01-04,India,"01/04/2017: Assailants abducted two people in Patehl, Jharkhand, India. Both hostages were killed and their bodies were discovered the following morning, on January 5, 2017. No group claimed responsibility; however, sources attributed the attack to Maoists.",Hostage Taking (Kidnapping)
95,2017-01-04,Greece,"01/04/2017: Four explosive devices detonated outside the Center for European Constitutional Law office on Akadimias Street in Athens, Attica, Greece. There were no reported casualties in the blast and ensuing fire. This was one of two related attacks in Athens targeting practitioners involved in labor market reforms on the same day. No group claimed responsibility for the incidents.",Bombing/Explosion
96,2017-01-04,Greece,"01/04/2017: An incendiary device went off outside the office of Dimitris Bourlos in Exarchia neighborhood, Athens, Attica, Greece. Bourlos, a Committee of Wise Men attorney, was not harmed as there were no reported casualties in the incident. This was one of two related attacks in Athens targeting practitioners involved in labor market reforms on the same day. No group claimed responsibility for the incidents.",Facility/Infrastructure Attack
97,2017-01-04,Kyrgyzstan,"01/04/2017: An explosive device detonated at Ataturk Amusement Park in Bishkek, Kyrgyzstan. There were no reported casualties in the blast. No group claimed responsibility for the attack.",Bombing/Explosion
98,2017-01-04,Sudan,"01/04/2017: Assailants attacked a group of herders and stole livestock in Tabit, North Darfur, Sudan. It is unknown whether there were any casualties in the incident. No group claimed responsibility for the attack. The specific motive is unknown; however, sources noted that the assailants stole a number of goats in the attack.",Facility/Infrastructure Attack
99,2017-01-04,Syria,"01/04/2017: Assailants attacked the Syrian Armed Forces (SAF) Tiyas Airbase near Tiyas, Homs, Syria. There were an unknown number of casualties in the ensuing clash. No group claimed responsibility; however, sources attributed the attack to the Islamic State of Iraq and the Levant (ISIL).",Unknown
100,2017-01-04,Mali,"01/04/2017: Assailants abducted Amadou Dicko in Boni, Mopti, Mali. The whereabouts of Dicko, a local municipal council member, are unknown. No group claimed responsibility; however, sources attributed the attack to Muslim extremists.",Hostage Taking (Kidnapping)
101,2017-01-04,Nigeria,"01/04/2017: Assailants armed with firearms and sharp weapons attacked and killed two farmers in Abraka, Delta, Nigeria. This was one of two related attacks on farms in the area on this date. No group claimed responsibility; however, sources attributed the incidents to Fulani extremists.",Armed Assault
