source_row_id,text,source_topic_8,source_topic_44,gt_policy_domain
11,"Earlier in the debate on the Bill the Deputy Leader of the Opposition said that she was pleased that this was the last time that we would be debating the matter in the House. I hope that it is not the last time that we will be debating this matter in the House, but I hope that for different reasons from those of the Deputy Leader of the Opposition. It is my view that the publicity that the Bill has created during the past few years has had the biggest influence on adult smokers who are giving up smoking. I think that it has had a far greater impact on people than any threats to remove sponsorship or the banning of advertising have had. The debate that has gone on in this Chamber and among the organisations that have been sponsoring one side or the other of the argument has influenced people. The media in all its forms have carried this debate well---the printed media, radio, and television. The dangers to health have certainly been highlighted. I cannot think of any other period in my life in which I have been aware of more adult people who are giving up smoking than in the past few years. I appreciate that the habit of smoking has now been declining in New Zealand for a number of years. But when the figures of what has happened in the past few years are revealed, I am sure that they will show a great decline. Whilst I have a different point of view from that of the member, I compliment the Deputy Leader of the Opposition on her campaign---if one likes---and the courage that she displayed during the whole of this debate. Earlier on, this debate was certainly not very easy, and I really appreciate her contribution. However, I disagree in principle with the banning of advertising of a legal product. To my way of thinking, a double standard has crept in, in which within New Zealand we have not been able to advertise, but we have been able to accept advertising from outside our borders---that is, from overseas. I feel a little bit uneasy about that. Of course, that situation will continue into the future until the world at large adopts different measures. The policy has also, in a way, stopped a process that had already started. Responsible bodies such as sporting or cultural bodies, which had some members who accepted and believed that smoking was bad and injurious to health, were actually looking for alternative sponsors. It was not easy, but they had started that process. I think that a stronger attitude against smoking in this country would have been cemented in if all those sports bodies, in particular, had been challenged by their own membership to find other methods of funding. They do not have to do that at present. Whilst that funding from the tobacco companies is ceasing, there will be other funding in place---at least, I certainly hope so. There are two groups of people involved in this legislation: the smokers and the potential smokers. I do not have any doubt that as far as the first group is concerned---the smokers---the publicity that has been generated through this legislation has been successful in reducing the number of adult smokers. Whether the sponsorship ban goes or stays, it has already had its impact. However, I hope that the level of publicity will be maintained, and that is why I hope that it is not the last time that we will debate the matter in this House. However, I am not sure that this legislation has had a great deal of impact with regard to potential smokers. Whilst I do not refer specifically to this Bill, I am a little bit disappointed that not enough publicity has been given to discussion and planning for the education of people, particularly our younger people, right through the schools. I know that some work is being done, but it has not been publicised enough, and more work is needed. We really have to get through to young people before they start to smoke because, quite frankly, they have no idea---nor has anybody who starts to smoke---how addictive the tobacco product really is. One must smoke for some time, and give up smoking, before one can really appreciate the strength of that particular drug. I have made my own inquiries about what affects young people who smoke. There is no doubt that a major factor is peer-group pressure. A small number of the students to whom I have talked accepted that advertising could have had some effect on them, particularly as it related to alternative brands. But I, like one or two other members who spoke this evening, did not find any young person who believed that sponsorship advertising had any effect on their starting to smoke. When I think back to my younger days, I have to agree with the findings. Two years will pass before the legislation expires, as it were. I hope that those sporting bodies that state that they oppose smoking will go out of their way to find alternative sponsorship. I believe that we must put a lot more effort into educational programmes that are aimed particularly at schools. If we are not successful in persuading people against smoking, we must consider stronger measures. Throughout the world people smoke. New Zealand does have the Bill of Rights . It would not be reasonable for Government members to say suddenly that they were going to ban tobacco as a product, because the law would be flouted and broken and there would be the same reaction that there was in America when alcohol was banned. There are a number of other precedents. If we are not successful in educating our young people not to start smoking, we should make smoking illegal for people under the age of years. I believe that that would be acceptable; there are messages that must be given to young people. If we really want to break the habit of smoking and to reduce the cost of our health budget, we may have to take that measure. I see no conflict in taking that strong action, if it is our genuine desire to get rid of the habit of smoking in this country. The Government cannot be accused of saying that although it does not want people to smoke it does not mind if they do because it is getting a whole lot of tax out of it. There does appear to be a double standard there. However, we can get over that problem. I believe that, if one has not started to smoke by the time one reaches one's early twenties, one will never start. There will be a lot more pressure in today's world for people not to start. But it is young people who are challenged by their peers, and who smoke to flout the rules because they are not allowed to do it at school. They take up the challenge and smoke. I say again that people do not understand when they first start smoking how addictive this habit is. Earlier in the debate the Deputy Leader of the Opposition mentioned that she was concerned about the statistics that showed an increase in the consumption of tobacco in Third World nations. I say to her that one has to look at those figures in a realistic way, because in emerging nations and Third World countries people start by smoking raw tobacco rolled in newspaper, and some of them smoke like that for their whole lives. There are never any statistics on that type of smoking, and it so happens that many of the countries that are emerging or that are Third World countries have a climate that can produce tobacco. It is only as those societies start to become a little bit more affluent that people change to what they call tailor-made cigarettes, and are able to give up smoking raw tobacco that is crushed and rolled in newspaper. When I made the change to tailor-made cigarettes, I know that I really appreciated the difference. The point is that the smoking of cigarettes that are not tailor-made does not show up in statistics, so that, although the statistics may show an increase in smoking in the Third World, that does not mean that those people are smoking more; it just means that they have changed from smoking raw tobacco that is wrapped in newspaper to smoking tailor-made cigarettes. They have made that change because those cigarettes are usually available at quite a cheap price, having been produced on the local market. I agreed with some of the comments about alcohol that were made tonight by the member for Hawke's Bay. We do need to target that particular drug.",fabric.of.society,traditional.morality,Fabric of Society
12,How much does the Government propose to spend on roading and road safety in the - financial year?,economy,technology.and.infrastructure,Economy
13,"What progress has been made in the planning for a sixth high school in the Western Bay of Plenty in the light of the information that there will be at least , extra secondary school students by the turn of the century?",welfare.and.quality.of.life,education,Welfare and Quality of Life
14,"Is it correct that when accident or emergency patients at a public hospital require surgical attention after p.m. on weekdays or at the weekend, surgery and anaesthesia are often conducted by trainee doctors without any supervision from experienced seniors or appropriately qualified specialists?",welfare.and.quality.of.life,welfare.state.expansion,Welfare and Quality of Life
15,"I spent years of my life as President of the New Zealand Labour Party, organising an electoral machine that would outgun the much-vaunted, highly regarded, even feared, National Party election campaign organisation during the period to . We worked, we planned, and we organised meticulously for the day of reckoning, which turned out to be a little earlier than we expected---in July . It was an anticlimax when we found that the political enemy, for which we had thoroughly prepared ourselves, had evaporated before our eyes. The heavy political artillery was to drop a barrage on the political landscape, then the troops were to move in. Well, the barrage was there during the election campaign. The troops moved in, but they were all ours. There were no National Party troops. They had left either before the day of battle or on it. The election campaign was an organisational rout, and we are looking at the remnants of that rout tonight. The Opposition has said that it is opposed to the Budget---the Government's major financial statement---but it organised itself so abysmally that it gave away its speaking rights. The Opposition does not really care about the people.",political.system,political.authority,Political System
16,"I was critical of the member for Avon; I do not think that he is a woman. The NewLabour Party made submission on the Bill. Although the Labour Government's pay equity legislation is completely inadequate---and I have said that on previous occasions---the repeal of that legislation will leave a vacuum in pay equity legislation and employment opportunities legislation. If the Government wants to make some proposals it should do so, but it should leave the legislation in place until it has got its act together. The repeal of pay equity legislation as well as the repeal of equal employment opportunity legislation is similar to running a bulldozer into a house that needs maintenance---knocking everything down, but putting nothing in its place. Women's wages are lower than men's wages largely because they lack the industrial strength to negotiate for better pay. By hinging pay equity on negotiations between unions and employers, the previous Government was asking the very system that had brought about low pay for women to deliver equal pay, and the system was not up to it. That is the reason that the legislation was fatally flawed. I have a private member's Bill on the Order Paper that proposes that equal pay for work of equal value should be compulsory. Pay equity is a justice issue, and, as a matter of justice, the State has an obligation to deliver it. The State should not allow it to be negotiated. Pay equity will never be achieved if it must depend on compromise between women workers, particularly in the current economic climate, and their employers. The NewLabour Party opposes the outright repeal of the employment equity legislation. When the previous Government passed the employment equity legislation it knew that it would not deliver much to many women and that it came much too late in any case. The NewLabour Party opposes the repeal of the Act because to retain the Act would be something of a hollow victory for the supporters of pay equity as it is time to go much further and to deliver real wage justice for women workers. Equal pay for work of equal value is an idea whose time has come. However, it should be implemented independently of the industrial relations system. It should be the right of people who are employed in female-dominated jobs to claim the wages earned by those in male-dominated jobs that require the same level of skills, effort, responsibility, and working conditions. We believe that that right should exist, even if the Government makes the radical changes that it proposes in the wage-bargaining system. The pay equity legislation should be part of a raft of anti-discrimination legislation that includes the Equal Pay Act and the Human Rights Commission. The Labour Government was wrong to tie pay equity to the industrial relations system and wage-bargaining, as that has meant that discriminatory wages were acceptable as long as the unions and employers agreed to them. Wage discrimination is unacceptable in any circumstances. In a free labour market, women will need all the protection they can get against discrimination---and they would not have received it under the present Act, and they are not likely to receive it under anything that the Government is to propose. The bottom line is that people should not be paid less because they happen to work in sectors traditionally dominated by women. When it is shown that such jobs have similar value to male-dominated occupations that are paid at a higher rate, to allow those employers to pay less is to allow wage discrimination on the basis of gender. That should be unlawful, just as other forms of sex discrimination are unlawful.",welfare.and.quality.of.life,equality,Welfare and Quality of Life
17,"I know that the Government would wish that it had President Clinton's problem. He has actually got the support of to percent of the American people for his domestic-led investment recovery programme---would that the Government had anything remotely like that! The gratuitous advice that the Minister of Finance has been giving to President Clinton should be followed by herself in terms of getting the deficit of this country under control, getting the overseas balance of payments deficit under control, and of developing some employment and the social and economic infrastructure in this country. Unemployment is the No. social and economic cancer that blights this country. I want to use my time in the general debate to ask three questions. What is the present situation of unemployment? What has caused it? What can be done about it? In an election year it ill-behoves any party in the House just to have a critical diatribe; we have to put up some positive alternatives. If we examine the present situation, the Minister of Employment said in the Waikato Times on February---just week ago---``The growth in jobs did not necessarily mean the level of unemployment would decrease. He estimated , young people were destined to leave school and go straight on the dole.''. The September figures show that percent of young people between and years of age are unemployed. The latest household survey figures show that there are , jobless---an increase of percent that has occurred during a time that both Labour and National Governments have been elected. That figure equals percent of the total workforce. I see that the Australian figures have been estimated to be percent of the total workforce. A study that was released this month showed that New Zealand had one of the highest youth suicide rates in the world and the highest female youth suicide rate in the OECD. A New Zealand study reported that suicide rates for the unemployed were . per ,, compared with . percent per , for people with jobs---in other words, suicide is about times higher among the jobless than among those at work. Any MP who is in touch with his or her electorate knows full well the anguish of young suicides in their area. The jobs that have been announced as having been lost this year, in the first weeks from January to February, mean that New Zealand is losing jobs at the rate of a week---yet we are told that there is an economic recovery. That figure does not include the people who will lose their jobs in the shellfish industry. How on earth did we get into that situation? First, we got into it because the monetary policy that was adopted by the Labour Government was idiotic in its application, and it fuelled speculation. There was the stock market boom then the stock market crash. The monetary policy was used to control inflation. The Government of the day was warned what would happen if monetary policy was used to control a single economic indicator such as that, but it did not listen. First, it used fiscal policy that was too loose. Funded deficits resulted in Government bond rates of percent; that was too tight and forced the collapse of the economy. The sequence of reforms was abysmal to say the least. Subsidies were removed from farmers before anything was put in place in terms of an overall economic policy for the agricultural sector. Manufacturers were hit by high exchange rates, and that meant that both exporters and import substitution industries were virtually destroyed. New Zealand is now trapped by an economy that is stagnant, and the growth rates that we have at the moment are abysmal by anyone's standards. A growth rate of percent is quoted as some kind of triumph when in fact it is a disaster for an economy that is trying to come out of a depression. If we ever look like getting a recovery, we suddenly face an immediate balance of payments deficit problem. That started to show last month with a $ million balance of payments deficit. New Zealand has appalling levels of investment. In the early s we were investing percent of the gross domestic product. We now are down to percent, which in effect means that we are investing $ million less in the economy than we were before. That means we are in an impossible position to have either a domestic-led or an investment-led export recovery. What should we do? Clearly, the investment sector and our productive base---agriculture and manufacturing---have to be given stable conditions in which to invest. There has to be a managed exchange rate that gives some confidence for the future, and gives investment stability and certainty. We have to create conditions for investment conditions such as lower real interest rates. I do not know whether members of the House have figured this out, but manufacturers and other businesses in this country that try to borrow money at to percent interest---if they are lucky; the good companies pay percent---against an inflation rate of percent are paying real interest rates of percent. That is not much of an incentive to invest. The kinds of problems that we face as a result include rising unemployment, lower infrastructural investment, and a lack of confidence in either the export or the import substitution industries. Surely people can see that! Some niche markets are doing well, but, overall, unemployment levels increase and social deprivation gets worse. Taxes have to be raised to finance this extra investment---which is what President Clinton is telling the people in the United States has to be done---not only to finance the investment, but also, of course, to constrain the balance of payments. If it is done just by borrowing, the balance of payments deficit will blow out. If it is done through taxation, we can strain expenditure from the affluent, invest it in the economy, and create jobs for those people who are desperately in need of them. I refer to research and development, and to the accelerated depreciation allowance. Our Crown research institutes---the Department of Scientific and Industrial Research and the Ministry of Agriculture and Fisheries as they once were---need to be given a boost, not to have all their scientists marching with their feet. National and regional development co-ordination is a programme to enhance opportunities for all sectors of the community. It would create jobs in health and in health education, and in catching up on waiting-lists---$ million invested each year for the next years would wipe out waiting-lists for hospitals. Who in the House would not like that to be done? The provision of community services for reintegrated psychiatric and intellectually handicapped people has to be funded if it is to mean anything at all. It cannot mean simply closing down institutions to save money. There are more jobs there for skilled and trained people. Restoring and improving our rural hospitals and our mainstream hospitals would create work and worthwhile social service opportunities. We should expand our hospice services, look after terminally ill patients and elderly people in the community, and research environmental health and all the things that would make the workplaces in our community safer and more healthy. In terms of education, smaller classes would mean more teachers. Special needs and gifted children should be given special opportunities. We say that we have mainstreaming, yet we leave schools to try to cope without the assistance that they need to make it work. Building maintenance should mean something, instead of our having deferred maintenance programmes of up to $ million for all of our schools as at present. I am pleased to hear that the Government is to announce extra assistance for skills training, but look at the mess that the training opportunities programme is in! The member for Yaldhurst mentioned that programme. Many of our talented people who have some skills and an educational background need an opportunity to further their chances of getting a job, but they are prevented from having skills training by bureaucratic regulations that make a farce of that kind of skills training programme. Instead of closing down public transport, we should be opening it up in most of our main areas---not clogging our roads and inner cities with cars. Multi-use forests and degraded areas should be replanted for catchment and conservation purposes, flood control, and erosion control. There should be tree nurseries on local and Crown land. In relation to pest control, there are problems in various areas with old man's beard, tussock, and with the removal of exotics from national parks. There are pests such as possums, rabbits, ferrets, deer, goats, and so on. Tens of thousands of younger people in this country could be trained for a different lifestyle and could make a real contribution. Research and development are needed to look at alternative industries for furs, pelts, and yarns, and at making pet and human food from some of the so-called pests in this country. Each year New Zealanders are killed on the roads. Surely we can make the roads safer. For every $ million that are invested to save a life, jobs are created on the road, yet the Government is cutting construction investment. There is also the matter of fisheries research into stocks, and so on. There are innumerable opportunities, and I urge the Government to take up some of them.",economy,economic.growth,Economy
18,"I say to the member for Avon, who has challenged Government members to get up and speak against the Bill, that it would have been nice if just one member of the previous Labour Government had done the same--just one other. When the chips were down we heard an awesome silence from members of that Labour Government such as the member for Avon, and it ill behoves members of that Government to challenge members of this Government to speak when none of them were willing to do so. The member for Avon said that some Government members would be dog tucker at the next election. He was right, but I have to tell him about an analysis by the University of Waikato of the Herald-NRB poll that was published last week. According to that poll, the Alliance is ahead in seats, and is second to either National or Labour--a close second of between a fraction of a percent and percent--in other seats. In those seats it is not the Labour Party that is second or the National Party that is second; it is the Alliance.",political.system,political.authority,Political System
19,"Is that Les Mills, the Auckland Mayor and a well known Labour supporter?",no.topic,no.topic,No Topic
20,A ratepayer in a city area who qualifies for a vote under the local authorities electoral provisions would qualify to participate.,freedom.and.democracy,democracy,Freedom and Democracy
21,"The House does not need to waste any more time on that rubbish. It is dealing with the reality of people's lives, and I tell the Government---",political.system,political.authority,Political System
22,"Has the Minister any information from his department about the relevant importance of unemployment and industrial stoppages; if so, what was the level of joblessness in compared with joblessness in ?",social.groups,labour.groups,Social Groups
23,"Members by and large might be describing their own position. The only ones missing, which the Labour Party made sure it put in, are the Reserve Bank and Treasury, which under this plan are permanent members of the Enterprise Council. Within months the new Enterprise Council would produce a -year strategy. Why did someone not think of that before? That is all we need. It would collectively, including Treasury and the Reserve Bank---none of the members elected by anybody, or representing anybody---run New Zealand. That is the plan. What is the clarification of the plan when it comes to tax policy? The clarification of the Labour Party's tax plan was in this morning's Dominion. With clarification such as that, I would not like to be around when anyone was confused! The Leader of the Opposition ``clarified'' his party's tax policy yesterday on whether a Labour Government would raise income tax and GST, should the Labour Party become the Government after this year's election. Evidently during the weekend congress the Opposition spokespeople disputed a weekend report in which the Leader of the Opposition was quoted as ruling out tax increases under a Labour Government---something that until now the Labour Party has always been careful not to rule out. The Labour Party spokespeople said that the policy on tax increases remained unchanged. What is unchanged? We did not find out even what the original policy was, let alone finding out that it is now unchanged. Was the policy to be no tax increases, was it to be tax increases, or was it to be possible tax increases? We are not told. The Leader of the Opposition clarified the position by issuing a statement that: ``. . . a Labour Government had `no intention' of raising income or gst but adding that conditions facing a future Government could not be predicted . . .''. In other words, we did not know how bad things were. That is the syndrome the National Party followed when it became the Government, as an excuse for cutting $ million from beneficiaries. When the National Party took office it said: ``Shock, horror, we didn't know how bad things were!''. National Government members must have been the only ones in New Zealand who did not know. The country threw the previous Government out of office because things were terrible, and the incoming National Government said: ``We didn't know how bad things really were.''. Oh really? The National Party used the excuse that the Labour Party is preparing for itself now---that it does not know what conditions will face a future Government. The Labour Party is preparing itself now for a monumental disaster. The leader of the Labour Party goes further and says: ``Income tax or gst increases would be bad for the economy.''. This is the person who was third in Cabinet when GST was introduced. He voted for it and thought that it was a great idea. I know that when I said in caucus that I would not distribute the literature I was treated like a leper. There was $ million worth of literature to be distributed all over New Zealand. I said that the literature was not to be distributed in my electorate. Everybody said: ``What a treacherous person for not wanting to convince his electors that a percent GST tax on food and clothing and all of the things that ordinary people have to spend their money on is good for them!''. What a load of rubbish! Now the Leader of the Opposition says that increases in income tax and GST would be bad for the economy. He says that that would not be good for jobs; that should not be done. This is based on information currently available to the Opposition. Is that the reason the previous Government introduced GST---because it believed that it was bad for the economy and bad for jobs? Why on earth did the previous Government introduce it in the first place, then, to add insult to injury, increase it and nearly wreck the economy at the time? Then we have the absolute coup de grace. The member for Ohariu said that he backs the assurances from the office of the Leader of the Opposition that the Labour Party's policy position remains unchanged. I do not know what it was in the first place. I have read this statement four times---five times now---and I still do not know what the position is. The member for Ohariu knows what it is. He said that he is glad the policy has not been changed. I did not know what it was in the first place, and I still do not know. That is the party that wants to lead New Zealand. It is getting desperate. The latest polls show the Labour Party at percent--- percent higher than in the debacle. It is all right, for the sake of the Minister of Police---the National Party is at the same place as the Labour Party was during the debacle!",political.system,political.authority,Political System
24,"The member says it is rubbish, but I have actually spoken to hospital managers who believe exactly that. They believe that the Government requires it of them. In fact Mr Pankhurst, the former manager of Auckland Hospital, said he had resigned because he could no longer deliver the commercial objectives required of him by the Crown health enterprise Ministers and deliver appropriate health-care at the same time. Is he not telling the truth? Did he leave his job because one day he turned up to work and said: ``I can't stand it any more; I'm leaving.''? No. He said he could not deliver what he was required to deliver in commercial-objective terms and give proper, quality health-care to the patients in Auckland Hospital, so he was resigning. He did the honourable thing. He said he could not do the job he was required to do, and he resigned. Many New Zealanders fear that this will be the measurement of hospitals throughout the country. That fear is particularly keen in rural areas, where people know for sure that their services can be picked off by hospital managers stating: ``We don't want Ashburton Hospital any more, or we don't want Kaitaia Hospital any more, or we don't want the Kawakawa hospital any more, or we don't want Balclutha Hospital any more---it is costing us too much money. Why cannot all the people in those rural areas come to Whangarei, come to Christchurch, come to Auckland for their hospital services?''. That is what they think, and we know they think it because they have done it. They have said: ``This hospital is no longer economic to run, it should be closed, we should sell the land, and we should pull everyone into the base hospital.'' Lo and behold, what happens when that is done? The waiting-lists at the base hospitals go up, and even fewer people can get into them. At one time people used to be able to go to small, rural hospitals and have operations, because those hospitals had the skills and the capacity to do them. That used to reduce the waiting-lists at the main, base hospitals. But, oh no, the waiting-lists at the base hospitals have increased by up to percent in many areas. I tell the member for Tasman that these health reforms were intended to reduce waiting-lists. We are told that waiting-lists at Christchurch Hospital are longer than ever.",welfare.and.quality.of.life,welfare.state.expansion,Welfare and Quality of Life
