model,reference,difference,item_ci_low,item_ci_high,task_ci_low,task_ci_high
deepseek-v4-flash,claude-opus-5,-0.04928845724,-0.0672847601619,-0.026932633406,-0.0725285434552,-0.0255095458363
deepseek-v4-flash,claude-sonnet-5,-0.0318355212908,-0.0525951856081,-0.0144808636681,-0.0536967468631,-0.00941825715048
deepseek-v4-flash,deepseek-v4-pro,0.00248463978722,-0.016876128226,0.018612694504,-0.0194940445829,0.0256487596254
deepseek-v4-flash,gpt-5.6-luna,-0.00484478166374,-0.0285355543077,0.0122134860169,-0.0293070456757,0.0206455208805
deepseek-v4-flash,gpt-5.6-sol,-0.0273070136093,-0.0468293258416,-0.0104426920262,-0.0487480334735,-0.00581960022179
deepseek-v4-flash,gpt-5.6-terra,-0.0176144744589,-0.0376428693198,-0.000481886882906,-0.0414302801356,0.00930437945701
deepseek-v4-flash,gpt-6-astra,-0.0134951453031,-0.0346612334577,0.00685400931671,-0.0403487251128,0.018871175336
deepseek-v4-flash,jev-1.13.0,0.00444268138396,-0.0125741732383,0.0197858998809,-0.0171806937864,0.0271846757543
deepseek-v4-pro,claude-opus-5,-0.0517730970272,-0.0661925789328,-0.0300500834364,-0.0834109667248,-0.0231377350844
deepseek-v4-pro,claude-sonnet-5,-0.034320161078,-0.0509388646417,-0.0172345856794,-0.0636580246619,-0.0118768957516
deepseek-v4-pro,deepseek-v4-flash,-0.00248463978722,-0.018612694504,0.016876128226,-0.0256487596254,0.0194940445829
deepseek-v4-pro,gpt-5.6-luna,-0.00732942145095,-0.026482408358,0.00918353617647,-0.0298714626495,0.0148515220051
deepseek-v4-pro,gpt-5.6-sol,-0.0297916533965,-0.0461229333736,-0.0142380038907,-0.0538882005771,-0.00861243506184
deepseek-v4-pro,gpt-5.6-terra,-0.0200991142462,-0.0370231479153,-0.00300410072236,-0.0419833453655,0.00271062472513
deepseek-v4-pro,gpt-6-astra,-0.0159797850903,-0.033655663111,0.00553607439261,-0.0427980294185,0.0106595493549
deepseek-v4-pro,jev-1.13.0,0.00195804159674,-0.0151155380849,0.0194457720338,-0.0170172079963,0.0211017992547
gpt-5.6-luna,claude-opus-5,-0.0444436755763,-0.0550507221409,-0.0236596676081,-0.0682882500779,-0.0210061961226
gpt-5.6-luna,claude-sonnet-5,-0.026990739627,-0.0401195210549,-0.0102461167532,-0.044275709354,-0.0107761865736
gpt-5.6-luna,deepseek-v4-flash,0.00484478166374,-0.0122134860169,0.0285355543077,-0.0206455208805,0.0293070456757
gpt-5.6-luna,deepseek-v4-pro,0.00732942145095,-0.00918353617647,0.026482408358,-0.0148515220051,0.0298714626495
gpt-5.6-luna,gpt-5.6-sol,-0.0224622319456,-0.0358513371516,-0.00643440923625,-0.0387694762299,-0.00750592397384
gpt-5.6-luna,gpt-5.6-terra,-0.0127696927952,-0.0277485004872,0.00526277105092,-0.0292900118305,0.0046443836251
gpt-5.6-luna,gpt-6-astra,-0.00865036363935,-0.0220948482031,0.0111254306861,-0.0367350074602,0.0237598967156
gpt-5.6-luna,jev-1.13.0,0.0092874630477,-0.00655251835649,0.0300369031867,-0.00859788405963,0.0272005398503
gpt-5.6-sol,claude-opus-5,-0.0219814436307,-0.0327571053247,-0.00406177130499,-0.0391933173144,-0.00514117689132
gpt-5.6-sol,claude-sonnet-5,-0.00452850768145,-0.0188591812765,0.00992666963708,-0.0202452026907,0.0127873483206
gpt-5.6-sol,deepseek-v4-flash,0.0273070136093,0.0104426920262,0.0468293258416,0.00581960022179,0.0487480334735
gpt-5.6-sol,deepseek-v4-pro,0.0297916533965,0.0142380038907,0.0461229333736,0.00861243506184,0.0538882005771
gpt-5.6-sol,gpt-5.6-luna,0.0224622319456,0.00643440923625,0.0358513371516,0.00750592397384,0.0387694762299
gpt-5.6-sol,gpt-5.6-terra,0.00969253915037,-0.00511078464247,0.024635429596,-0.0091255420471,0.0303791063876
gpt-5.6-sol,gpt-6-astra,0.0138118683062,0.000424287001056,0.0306514029268,-0.0127925319519,0.0467604905104
gpt-5.6-sol,jev-1.13.0,0.0317496949933,0.0165253767871,0.0485516443532,0.0133347007044,0.051060624819
gpt-5.6-terra,claude-opus-5,-0.0316739827811,-0.0451468594933,-0.0115784483002,-0.0585714151259,-0.00560379205593
gpt-5.6-terra,claude-sonnet-5,-0.0142210468318,-0.0303811783043,0.00175307064675,-0.0391400514118,0.00646292908759
gpt-5.6-terra,deepseek-v4-flash,0.0176144744589,0.000481886882906,0.0376428693198,-0.00930437945701,0.0414302801356
gpt-5.6-terra,deepseek-v4-pro,0.0200991142462,0.00300410072236,0.0370231479153,-0.00271062472513,0.0419833453655
gpt-5.6-terra,gpt-5.6-luna,0.0127696927952,-0.00526277105092,0.0277485004872,-0.0046443836251,0.0292900118305
gpt-5.6-terra,gpt-5.6-sol,-0.00969253915037,-0.024635429596,0.00511078464247,-0.0303791063876,0.0091255420471
gpt-5.6-terra,gpt-6-astra,0.00411932915585,-0.0131657686111,0.0239330559809,-0.0195007773546,0.0281661807091
gpt-5.6-terra,jev-1.13.0,0.0220571558429,0.006337306864,0.0390017574233,0.00738638389186,0.0376340316446
gpt-6-astra,claude-opus-5,-0.0357933119369,-0.0504645314351,-0.017745918459,-0.0756465418149,-0.00431669085946
gpt-6-astra,claude-sonnet-5,-0.0183403759877,-0.0374631005327,-0.00349939732792,-0.0583206113946,0.0157261785713
gpt-6-astra,deepseek-v4-flash,0.0134951453031,-0.00685400931671,0.0346612334577,-0.018871175336,0.0403487251128
gpt-6-astra,deepseek-v4-pro,0.0159797850903,-0.00553607439261,0.033655663111,-0.0106595493549,0.0427980294185
gpt-6-astra,gpt-5.6-luna,0.00865036363935,-0.0111254306861,0.0220948482031,-0.0237598967156,0.0367350074602
gpt-6-astra,gpt-5.6-sol,-0.0138118683062,-0.0306514029268,-0.000424287001056,-0.0467604905104,0.0127925319519
gpt-6-astra,gpt-5.6-terra,-0.00411932915585,-0.0239330559809,0.0131657686111,-0.0281661807091,0.0195007773546
gpt-6-astra,jev-1.13.0,0.017937826687,-0.00121337763129,0.0357465406245,-0.00578517163455,0.04039124903
jev-1.13.0,claude-opus-5,-0.053731138624,-0.0689486501794,-0.0320784329469,-0.0803321631116,-0.0305709221458
jev-1.13.0,claude-sonnet-5,-0.0362782026747,-0.0534022129199,-0.0207135640314,-0.0594835648726,-0.0164758668528
jev-1.13.0,deepseek-v4-flash,-0.00444268138396,-0.0197858998809,0.0125741732383,-0.0271846757543,0.0171806937864
jev-1.13.0,deepseek-v4-pro,-0.00195804159674,-0.0194457720338,0.0151155380849,-0.0211017992547,0.0170172079963
jev-1.13.0,gpt-5.6-luna,-0.0092874630477,-0.0300369031867,0.00655251835649,-0.0272005398503,0.00859788405963
jev-1.13.0,gpt-5.6-sol,-0.0317496949933,-0.0485516443532,-0.0165253767871,-0.051060624819,-0.0133347007044
jev-1.13.0,gpt-5.6-terra,-0.0220571558429,-0.0390017574233,-0.006337306864,-0.0376340316446,-0.00738638389186
jev-1.13.0,gpt-6-astra,-0.017937826687,-0.0357465406245,0.00121337763129,-0.04039124903,0.00578517163455
