model,category,tasks,mean_task_f1,item_ci_low,item_ci_high,task_ci_low,task_ci_high
deepseek-v4-pro,Stance and sentiment,6,0.730378408928,0.695425397365,0.76046312808,0.581470566459,0.860733386564
deepseek_r1_distill_qwen_32b_bf16,Claims and relations,7,0.670959027499,0.599215834557,0.714237381332,0.509380142783,0.843667626863
deepseek_r1_distill_qwen_32b_bf16,Events and protest,6,0.570459471495,0.498386524177,0.589340991676,0.433008369376,0.718185910321
deepseek_r1_distill_qwen_32b_bf16,Policy and topics,6,0.574805167523,0.497462853108,0.580393497888,0.44920750151,0.700558190344
deepseek_r1_distill_qwen_32b_bf16,Relevance and tone,8,0.628857425336,0.568111583897,0.678861875715,0.485546275425,0.748130943355
deepseek_r1_distill_qwen_32b_bf16,Stance and sentiment,6,0.718722225313,0.6806868823,0.750398634463,0.623967325548,0.807491286571
gemini-3.1-flash-lite,Claims and relations,7,0.737700877071,0.663059654328,0.770974152576,0.633011637563,0.858011964468
gemini-3.1-flash-lite,Events and protest,6,0.623302805512,0.553352926693,0.644417218909,0.484730331683,0.777709227628
gemini-3.1-flash-lite,Policy and topics,6,0.610117826953,0.533355797826,0.61572701347,0.527191630621,0.697375757682
gemini-3.1-flash-lite,Relevance and tone,8,0.679159281564,0.615724857663,0.730775082025,0.590621058559,0.778400408221
gemini-3.1-flash-lite,Stance and sentiment,6,0.747240303773,0.713232449112,0.777368148671,0.609555434152,0.875820616883
gemini-3.8-flash,Claims and relations,7,0.654131074397,0.583105452765,0.692758489795,0.460475017062,0.825984951514
gemini-3.8-flash,Events and protest,6,0.669480486535,0.599504295837,0.688704783213,0.52959559752,0.818353986826
gemini-3.8-flash,Policy and topics,6,0.65843355718,0.569601328002,0.658954775542,0.551891887606,0.761833532989
gemini-3.8-flash,Relevance and tone,8,0.697375147203,0.632729290384,0.748421683751,0.598938759516,0.800362083478
gemini-3.8-flash,Stance and sentiment,6,0.758207712143,0.721057279681,0.787748998043,0.641800530266,0.868135907724
gemma3_27b_it_fp8_dynamic,Claims and relations,7,0.725021518992,0.650451172458,0.761725464516,0.607383465029,0.854742050132
gemma3_27b_it_fp8_dynamic,Events and protest,6,0.603088009353,0.536325480786,0.623288476154,0.488436449072,0.745892355605
gemma3_27b_it_fp8_dynamic,Policy and topics,6,0.589619201861,0.516468097301,0.596460555277,0.481569193697,0.702031461611
gemma3_27b_it_fp8_dynamic,Relevance and tone,8,0.655024119273,0.597404505125,0.701364051006,0.591359842881,0.732550102548
gemma3_27b_it_fp8_dynamic,Stance and sentiment,6,0.71715861165,0.680300077833,0.748421995141,0.570160206176,0.844713847266
gemma4_31b_it_qat_w4a16,Claims and relations,7,0.672343360479,0.602584317123,0.70909545741,0.474219744964,0.843056617296
gemma4_31b_it_qat_w4a16,Events and protest,6,0.631843706342,0.563426657671,0.651532659708,0.511499091573,0.778305517661
gemma4_31b_it_qat_w4a16,Policy and topics,6,0.628309641826,0.548660156848,0.633210848666,0.528319394913,0.728272793549
gemma4_31b_it_qat_w4a16,Relevance and tone,8,0.651388730678,0.596508244086,0.700117454238,0.537173064998,0.769661039048
gemma4_31b_it_qat_w4a16,Stance and sentiment,6,0.73706098689,0.701861011669,0.766566609301,0.616416887198,0.85737350675
glm4_7_flash,Claims and relations,7,0.64942601916,0.584203588385,0.685552576516,0.444748634264,0.831302475997
glm4_7_flash,Events and protest,6,0.553932192738,0.486353107877,0.57836859586,0.437793782523,0.695517573076
glm4_7_flash,Policy and topics,6,0.555150722032,0.48238060625,0.559831683556,0.444210090359,0.666356854866
glm4_7_flash,Relevance and tone,8,0.582517850053,0.503102853745,0.640915715825,0.423283276603,0.718299441008
glm4_7_flash,Stance and sentiment,6,0.66612115461,0.628599781401,0.698903501885,0.525596410883,0.797253353904
gpt-5.6-luna,Claims and relations,7,0.716692362988,0.648449399234,0.757860778306,0.588161582701,0.858816613881
gpt-5.6-luna,Events and protest,6,0.624595744077,0.555117566462,0.644480508994,0.484791269179,0.776746571033
gpt-5.6-luna,Policy and topics,6,0.614744681773,0.544506724531,0.620772350287,0.52748293392,0.707258260538
gpt-5.6-luna,Relevance and tone,8,0.654850940544,0.599308404157,0.699907368057,0.559853118285,0.770437112223
gpt-5.6-luna,Stance and sentiment,6,0.736042512419,0.701000872919,0.767182005588,0.611785371099,0.856191576934
gpt-5.6-sol,Claims and relations,7,0.722251486197,0.64694164288,0.761849302271,0.590609957395,0.862114467992
gpt-5.6-sol,Events and protest,6,0.656153570027,0.58583860016,0.675076813657,0.523205294909,0.779046413408
gpt-5.6-sol,Policy and topics,6,0.632724561409,0.554982942274,0.636487866421,0.553086411743,0.716066201274
gpt-5.6-sol,Relevance and tone,8,0.68700694846,0.627207786804,0.735105490235,0.588098912775,0.793387988645
gpt-5.6-sol,Stance and sentiment,6,0.760686761569,0.725042059179,0.789562392457,0.644260622923,0.872751904711
gpt-5.6-terra,Claims and relations,7,0.686269779506,0.606683675236,0.726039326187,0.538716477052,0.844441031046
gpt-5.6-terra,Events and protest,6,0.647750622581,0.581931867116,0.666673368256,0.515038433214,0.801435334577
gpt-5.6-terra,Policy and topics,6,0.64506827226,0.567670139499,0.649812520581,0.556507838203,0.73960286786
gpt-5.6-terra,Relevance and tone,8,0.692317067475,0.635916932089,0.737195408965,0.606072485758,0.790670200471
gpt-5.6-terra,Stance and sentiment,6,0.738335531957,0.702859897067,0.768753626113,0.616335907802,0.853742032651
gpt-6-astra,Claims and relations,7,0.646457477796,0.573288083171,0.684070460418,0.426564813627,0.842156568877
gpt-6-astra,Events and protest,6,0.678856839918,0.607508263356,0.698731440235,0.530149984053,0.809506674173
gpt-6-astra,Policy and topics,6,0.657850006018,0.576463763656,0.663646178869,0.550750954376,0.756915859747
gpt-6-astra,Relevance and tone,8,0.677558009728,0.617859464136,0.726129945784,0.580241500877,0.784723999731
gpt-6-astra,Stance and sentiment,6,0.737917699494,0.701565265714,0.768013969258,0.619418455352,0.84683194172
jev-1.13.0,Claims and relations,7,0.675700951783,0.59652424503,0.713405522516,0.530254738737,0.823913169349
jev-1.13.0,Events and protest,6,0.628049750941,0.556471562021,0.648428259482,0.492148467838,0.774094095592
jev-1.13.0,Policy and topics,6,0.625591113788,0.545373574985,0.631498999302,0.518881825,0.723639417657
jev-1.13.0,Relevance and tone,8,0.661915239205,0.59925515867,0.711457189168,0.580367385638,0.746344359889
jev-1.13.0,Stance and sentiment,6,0.709065274969,0.672357924231,0.740902904311,0.599327157133,0.817328003222
llama3_1_70b_instruct_fp8_dynamic_full34,Claims and relations,7,0.75429145973,0.684957650035,0.785427618885,0.649818727924,0.869010807786
llama3_1_70b_instruct_fp8_dynamic_full34,Events and protest,6,0.589033699405,0.52286737868,0.609545375068,0.450075229633,0.748516140907
llama3_1_70b_instruct_fp8_dynamic_full34,Policy and topics,6,0.61073176939,0.532481588475,0.616089163288,0.508699072061,0.722192266026
llama3_1_70b_instruct_fp8_dynamic_full34,Relevance and tone,8,0.684160039775,0.626215701279,0.729174574064,0.573282735783,0.784621591527
llama3_1_70b_instruct_fp8_dynamic_full34,Stance and sentiment,6,0.718557927614,0.682499117388,0.749279564681,0.586058772149,0.848721783177
llama3_3_70b_instruct_fp8_dynamic,Claims and relations,7,0.755003382936,0.686698855875,0.789982473955,0.640286621848,0.874845632245
llama3_3_70b_instruct_fp8_dynamic,Events and protest,6,0.580871923342,0.51794915612,0.601352757635,0.441474379457,0.737249019428
llama3_3_70b_instruct_fp8_dynamic,Policy and topics,6,0.600293081412,0.523698049569,0.605560415406,0.493368712764,0.713538788233
llama3_3_70b_instruct_fp8_dynamic,Relevance and tone,8,0.664700747676,0.604505999689,0.711062017982,0.574979122366,0.751718782842
llama3_3_70b_instruct_fp8_dynamic,Stance and sentiment,6,0.731334890251,0.696321970473,0.76123468764,0.588082422884,0.862414986342
mistral_small_3_1_24b_bf16,Claims and relations,7,0.725950489905,0.653203444493,0.759195980754,0.589467413669,0.854572599514
mistral_small_3_1_24b_bf16,Events and protest,6,0.61772863267,0.54977544768,0.639179322456,0.509851703123,0.758569781374
mistral_small_3_1_24b_bf16,Policy and topics,6,0.607625344624,0.530891620591,0.611961321616,0.50350558885,0.717564559382
mistral_small_3_1_24b_bf16,Relevance and tone,8,0.597228466732,0.541139040015,0.649235004549,0.468420020379,0.718912624831
mistral_small_3_1_24b_bf16,Stance and sentiment,6,0.663187254522,0.622372376774,0.698203131658,0.553568954528,0.773193620391
mistral_small_4_119b_nvfp4,Claims and relations,7,0.668989232795,0.596105995075,0.710975392867,0.499873230821,0.844977599045
mistral_small_4_119b_nvfp4,Events and protest,6,0.58424871185,0.523902707518,0.604507026206,0.469300140458,0.742142269299
mistral_small_4_119b_nvfp4,Policy and topics,6,0.578554069773,0.504639666336,0.583465151335,0.462279108851,0.687683523196
mistral_small_4_119b_nvfp4,Relevance and tone,8,0.631478768249,0.558554195204,0.688107212303,0.55113430127,0.729252579815
mistral_small_4_119b_nvfp4,Stance and sentiment,6,0.675353382103,0.639535873237,0.706129216765,0.515927507698,0.805416271629
qwen1_5_32b_chat,Claims and relations,7,0.681296463104,0.613029387617,0.721876637761,0.517843580784,0.852162711385
qwen1_5_32b_chat,Events and protest,6,0.500830334174,0.438789331078,0.52145132451,0.396390054307,0.654225935546
qwen1_5_32b_chat,Policy and topics,6,0.608414920475,0.520533744603,0.608674508251,0.500322241279,0.722352111993
qwen1_5_32b_chat,Relevance and tone,8,0.600436728901,0.53495167226,0.651185897715,0.500896864775,0.699954707633
qwen1_5_32b_chat,Stance and sentiment,6,0.70060411156,0.664666060666,0.731574798111,0.557422922287,0.843785300833
qwen2_5_32b_instruct_bf16,Claims and relations,7,0.703225144782,0.628199284435,0.743697410991,0.569712905301,0.845435270487
qwen2_5_32b_instruct_bf16,Events and protest,6,0.59367331481,0.524373714672,0.613955483626,0.459159063983,0.739504921463
qwen2_5_32b_instruct_bf16,Policy and topics,6,0.595895507795,0.521223690737,0.604375204472,0.498042794969,0.694834222509
qwen2_5_32b_instruct_bf16,Relevance and tone,8,0.623510586652,0.557484746443,0.677070959783,0.511530404955,0.728119412588
qwen2_5_32b_instruct_bf16,Stance and sentiment,6,0.725786684048,0.68937168517,0.758819549356,0.618710938622,0.832817368788
qwen2_5_72b_instruct_fp8_dynamic,Claims and relations,7,0.713744019387,0.635555638869,0.753954983166,0.575651931651,0.866400085387
qwen2_5_72b_instruct_fp8_dynamic,Events and protest,6,0.568529132176,0.503874842597,0.590368795723,0.454359694405,0.720325636888
qwen2_5_72b_instruct_fp8_dynamic,Policy and topics,6,0.601434546473,0.521382098744,0.606709189564,0.481768270085,0.709749886722
qwen2_5_72b_instruct_fp8_dynamic,Relevance and tone,8,0.640275567723,0.580516099102,0.686952018789,0.531091414155,0.752958387683
qwen2_5_72b_instruct_fp8_dynamic,Stance and sentiment,6,0.70950229084,0.668266852738,0.743737590803,0.622172048458,0.792731070385
qwen3_30b_a3b_bf16,Claims and relations,7,0.594126773787,0.524565040254,0.633591332817,0.370825075787,0.803946775513
qwen3_30b_a3b_bf16,Events and protest,6,0.540660522818,0.475795258924,0.562201529846,0.422052783444,0.696372305475
qwen3_30b_a3b_bf16,Policy and topics,6,0.57517389782,0.49801406831,0.580417308783,0.440754482805,0.705529810044
qwen3_30b_a3b_bf16,Relevance and tone,8,0.597026364567,0.527614640907,0.653041953818,0.479816289692,0.701258702742
qwen3_30b_a3b_bf16,Stance and sentiment,6,0.654594271054,0.616533242646,0.689250786133,0.521538647432,0.76569800228
qwen3_30b_a3b_instruct_2507_fp8,Claims and relations,7,0.686732064305,0.62626936878,0.724773661275,0.536048611839,0.840108644684
qwen3_30b_a3b_instruct_2507_fp8,Events and protest,6,0.562672826053,0.496418011884,0.583411200683,0.452712263553,0.700090745425
qwen3_30b_a3b_instruct_2507_fp8,Policy and topics,6,0.593806293721,0.518931164689,0.600687631587,0.50399515375,0.697840242045
qwen3_30b_a3b_instruct_2507_fp8,Relevance and tone,8,0.589129967785,0.528681766241,0.639792838561,0.491049500389,0.697892732417
qwen3_30b_a3b_instruct_2507_fp8,Stance and sentiment,6,0.71960323931,0.677076435402,0.7530804515,0.630927849416,0.809694841653
qwen3_32b_bf16,Claims and relations,7,0.657341959629,0.583408503137,0.700715377521,0.483412900046,0.834824222573
qwen3_32b_bf16,Events and protest,6,0.55844694654,0.490362185398,0.578040256494,0.427435821911,0.715599932394
qwen3_32b_bf16,Policy and topics,6,0.605683846189,0.521919593707,0.610639939448,0.505655615173,0.697595279986
qwen3_32b_bf16,Relevance and tone,8,0.693953958249,0.61380418442,0.745405235122,0.61591185333,0.776726348257
qwen3_32b_bf16,Stance and sentiment,6,0.705946276065,0.667612330679,0.739457581408,0.591700762558,0.809991812054
qwen3_5_35b_a3b_fp8,Claims and relations,7,0.680048946721,0.605339975035,0.717405407911,0.530060860375,0.81706883245
qwen3_5_35b_a3b_fp8,Events and protest,6,0.621849570776,0.551260922715,0.641374391216,0.482682319883,0.771218821773
qwen3_5_35b_a3b_fp8,Policy and topics,6,0.62395483405,0.543291785473,0.628621842099,0.525477656254,0.720543481363
qwen3_5_35b_a3b_fp8,Relevance and tone,8,0.621058234252,0.556488425205,0.675492568243,0.514352879644,0.746280336466
qwen3_5_35b_a3b_fp8,Stance and sentiment,6,0.708410622492,0.667753110954,0.741112614985,0.598275002964,0.816604437251
qwen3_6_27b_fp8,Claims and relations,7,0.70499366217,0.634765725204,0.74202292145,0.568852032793,0.839751679414
qwen3_6_27b_fp8,Events and protest,6,0.6353085298,0.567392748211,0.652985750914,0.513658532675,0.771216923123
qwen3_6_27b_fp8,Policy and topics,6,0.633285035751,0.553229355646,0.636472446449,0.541420531405,0.72396644874
qwen3_6_27b_fp8,Relevance and tone,8,0.645671397346,0.582481603882,0.699977818664,0.525345821003,0.764837092002
qwen3_6_27b_fp8,Stance and sentiment,6,0.711595812446,0.674899761541,0.742723589915,0.601195509904,0.819766269362
qwen3_6_35b_a3b_fp8,Claims and relations,7,0.675187470876,0.602863482807,0.713080378654,0.499689054353,0.831769485826
qwen3_6_35b_a3b_fp8,Events and protest,6,0.617896030682,0.551553835477,0.639484492331,0.480123057143,0.76965760901
qwen3_6_35b_a3b_fp8,Policy and topics,6,0.605285945572,0.527570434031,0.611546384676,0.511303236417,0.6941717025
qwen3_6_35b_a3b_fp8,Relevance and tone,8,0.637372247308,0.564450737479,0.695954305174,0.555725478375,0.726984993788
qwen3_6_35b_a3b_fp8,Stance and sentiment,6,0.673828593557,0.636154873812,0.705867944675,0.53933448911,0.804072563834
qwen3_8_27b_fp8,Claims and relations,7,0.628360450463,0.551559496864,0.672708133588,0.44737660053,0.810890780286
qwen3_8_27b_fp8,Events and protest,6,0.627589670541,0.560369641406,0.646363821557,0.492117434721,0.777927226015
qwen3_8_27b_fp8,Policy and topics,6,0.614852860577,0.541249840898,0.622749443464,0.528690955723,0.706793322543
qwen3_8_27b_fp8,Relevance and tone,8,0.627205092016,0.558784279361,0.684230762142,0.518255004882,0.730557742842
qwen3_8_27b_fp8,Stance and sentiment,6,0.679629464956,0.639319194906,0.71218279523,0.558545110277,0.798307884398
qwen3_8_flash_next_fp8,Claims and relations,7,0.696825002533,0.612926922986,0.733431768102,0.550199028997,0.840876140731
qwen3_8_flash_next_fp8,Events and protest,6,0.635145695626,0.563299256242,0.655518933274,0.493332562782,0.777772179856
qwen3_8_flash_next_fp8,Policy and topics,6,0.634742444481,0.557075679723,0.640895531227,0.538158420394,0.730588351119
qwen3_8_flash_next_fp8,Relevance and tone,8,0.668721010461,0.603719296516,0.721161180433,0.566021182094,0.77474657845
qwen3_8_flash_next_fp8,Stance and sentiment,6,0.740559236092,0.702850390553,0.771911712912,0.630396224886,0.845801094381
qwen3_next_80b_a3b_fp8,Claims and relations,7,0.734994450184,0.663850549544,0.771609690794,0.624355944989,0.858116251682
qwen3_next_80b_a3b_fp8,Events and protest,6,0.617588314607,0.548485047462,0.637812941784,0.489037407605,0.754971188055
qwen3_next_80b_a3b_fp8,Policy and topics,6,0.597922626033,0.525003322468,0.605791999744,0.509087291095,0.683693721938
qwen3_next_80b_a3b_fp8,Relevance and tone,8,0.604550005439,0.538223899979,0.657055314322,0.473952126129,0.730186351753
qwen3_next_80b_a3b_fp8,Stance and sentiment,6,0.703399335311,0.666939475994,0.73517443477,0.575813632291,0.826308967602
