model,n,tasks,mean_task_f1,item_ci_low,item_ci_high,task_ci_low,task_ci_high,malformed,malformed_rate,truncated,input_tokens,output_tokens,cost_usd_upper,uncertain_attempt_cost_upper,returned_models,documented_versions,run_submitted_dates,observed_completion_dates,access,hardware_tier,settings,cost_note,revision,quantization,hardware,run_dates,model_id,compatibility_group,throughput_note,prediction_sha256,throughput_keyset_sha256,throughput_settings_sha256,throughput_items,throughput_hardware,gpu_hours_historical,gpu_hours_backfill,gpu_hours_note,sacct_attempts_sha256,generation_tokens_per_second,generation_items_per_second,gpu_hours,provider,gpu_hours_preinference,gpu_hours_pilot,gpu_hours_remainder,preinference_failed_attempt_ids
gpt-5.6-luna,3300,33,0.669937930148,0.635364253541,0.677639193649,0.613612995159,0.731197199214,0,0,0,1716404,47857,0.2432647,0,"[""gpt-5.6-luna""]","[""gpt-5.6-luna""]","[""2026-09-10"", ""2026-09-12""]",[],api,api,"{""max_completion_tokens"": 256, ""model"": ""gpt-5.6-luna"", ""reasoning_effort"": ""none"", ""structured_output"": ""json_schema""}","Usage-based conservative estimate, not an invoice. Raw provider results and failed attempts retained.",,,,,,,,,,,,,,,,,,,,,,,,
gpt-5.6-sol,3300,33,0.692400162094,0.655228427931,0.699396778005,0.64071119557,0.750037553805,0,0,0,1716404,47830,4.76931,0,"[""gpt-5.6-sol""]","[""gpt-5.6-sol""]","[""2026-09-10"", ""2026-09-11""]",[],api,api,"{""max_completion_tokens"": 256, ""model"": ""gpt-5.6-sol"", ""reasoning_effort"": ""none"", ""structured_output"": ""json_schema""}","Usage-based conservative estimate, not an invoice. Raw provider results and failed attempts retained.",,,,,,,,,,,,,,,,,,,,,,,,
gpt-5.6-terra,3300,33,0.682707622943,0.646672993461,0.688217045698,0.627419184812,0.743164615479,0,0,0,1716404,47820,2.432425,0,"[""gpt-5.6-terra""]","[""gpt-5.6-terra""]","[""2026-09-10"", ""2026-09-12""]",[],api,api,"{""max_completion_tokens"": 256, ""model"": ""gpt-5.6-terra"", ""reasoning_effort"": ""none"", ""structured_output"": ""json_schema""}","Usage-based conservative estimate, not an invoice. Raw provider results and failed attempts retained.",,,,,,,,,,,,,,,,,,,,,,,,
gpt-6-astra,3300,33,0.678588293787,0.640295083023,0.684223056279,0.613806457663,0.744975807927,0,0,0,1716404,67765,12.42165,0,"[""gpt-6-astra""]","[""gpt-6-astra""]","[""2026-09-10"", ""2026-09-11""]",[],api,api,"{""max_completion_tokens"": 256, ""model"": ""gpt-6-astra"", ""reasoning_effort"": ""low"", ""structured_output"": ""json_schema""}","Usage-based conservative estimate, not an invoice. Raw provider results and failed attempts retained.",,,,,,,,,,,,,,,,,,,,,,,,
jev-1.13.0,3300,33,0.6606504671,0.621355904136,0.667192992417,0.608416474951,0.717521785394,0,0,,2916336,301995,0.122514714,,"[""typesafe/jev-1.13-20260917""]","[""jev-1.13.0"", ""typesafe/jev-1.13-20260917""]",,,api,api,"{""model"": ""typesafe/jev-1.13"", ""native_interface"": ""OpenRouter Decisions API backed by TypeSafe"", ""prompt_adapter_sha256"": ""397a96447305dbfe5ce9f784fb57f2f5ad80d76148fe0573cb59bad75a549134"", ""structured_output"": ""native_choice""}",,jev-1.13.0,,,"[""2026-09-19""]",typesafe/jev-1.13,,,d4dde6cf05205166df9dc60767aed9be78f8748e3c6c67a1a6f78d912ea49b6c,,,,,,,,,,,,openrouter_typesafe,,,,
llama3_1_70b_instruct_fp8_dynamic_full34,3300,33,0.674644270144,0.638131197034,0.679903591917,0.618086616455,0.734040933789,0,0,,,,,,,,,,open,single-gpu,"{""cuda_component_versions"": {""nvidia-cuda-cccl"": ""13.0.85"", ""nvidia-cuda-crt"": ""13.0.88"", ""nvidia-cuda-nvcc"": ""13.0.88"", ""nvidia-cuda-nvrtc"": ""13.0.88"", ""nvidia-cuda-runtime"": ""13.0.96"", ""nvidia-nvvm"": ""13.0.88""}, ""cuda_toolkit_meta_version"": ""13.0.2"", ""enable_thinking"": false, ""gpu_memory_utilization"": 0.9, ""max_model_len"": 8192, ""max_tokens"": 256, ""prompt_margin_tokens"": 128, ""python_version"": ""3.12"", ""runtime_lock_sha256"": ""4f46101fa493e38b312af034b8d740c612bd0001bab4cb0f624f4a9e1c49f5b3"", ""seed"": 20260820, ""structured_output"": ""json_schema"", ""temperature"": 0.0, ""vllm_version"": ""0.26.0""}",,019d944e8e566c43939ea83775a27197ebb9b559,FP8 dynamic,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,"[""2026-08-21""]",RedHatAI/Meta-Llama-3.1-70B-Instruct-FP8-dynamic,f19822c70d171034f4c6700b3ef9f4abd506508a08cb01cead67183f49c8cdf4,Historical generation timings cover a different batch/sample size; no matched-sample speed estimate is exported.,59c799bf7017aff536ef810207e3dec75215254bbb72aececfc91e9d767b764b,,,,,,,,,,,,,,,,
llama3_3_70b_instruct_fp8_dynamic,3300,33,0.669019061575,0.632255145456,0.675745582544,0.610643373906,0.728303427765,0,0,,,,,,,,,,open,single-gpu,"{""cuda_component_versions"": {""nvidia-cuda-cccl"": ""13.0.85"", ""nvidia-cuda-crt"": ""13.0.88"", ""nvidia-cuda-nvcc"": ""13.0.88"", ""nvidia-cuda-nvrtc"": ""13.0.88"", ""nvidia-cuda-runtime"": ""13.0.96"", ""nvidia-nvvm"": ""13.0.88""}, ""cuda_toolkit_meta_version"": ""13.0.2"", ""enable_thinking"": false, ""gpu_memory_utilization"": 0.9, ""max_model_len"": 8192, ""max_num_seqs"": 16, ""max_tokens"": 256, ""prompt_margin_tokens"": 128, ""python_version"": ""3.12"", ""runtime_lock_sha256"": ""4f46101fa493e38b312af034b8d740c612bd0001bab4cb0f624f4a9e1c49f5b3"", ""seed"": 20260820, ""structured_output"": ""json_schema"", ""temperature"": 0.0, ""tensor_parallel_size"": 1, ""tokenizer_revision"": ""9069d043f499121b771d7df1c86cb414e66880c6"", ""vllm_version"": ""0.26.0""}",,9069d043f499121b771d7df1c86cb414e66880c6,FP8 dynamic,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,"[""2026-08-20"", ""2026-08-21"", ""2026-09-15""]",RedHatAI/Llama-3.3-70B-Instruct-FP8-dynamic,f3757a8bb3b44e875768a9f5225688e40887c41532e573bb522c418d41d74ec6,"Generation rate covers only the frozen missing-item remainder on Hive; model load, historical reused rows and queue time are excluded. Compare rates only for the same keyset, generation/runtime and batch concurrency settings, and GPU hardware.",6f3d2b80949abf292f789d8d941e023406a5858bbdc136d52d21948466afe4ba,9489627a519a6198036445f8c0701367acee177c26e0a85019daf48918113ba4,e4f2e4fee4ea86c0b88871ade9e6539f6429df5388846e4aaf72a21c1e83533c,2142,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,0.293055555556,0.146666666667,"Allocated GPU time includes full historical source jobs and all recorded backfill attempts, including failed attempts. Historical jobs processed more than the frozen comparison panel; GPU time is not a matched speed or an economic cost estimate.",0030020a9a2e892cb136dbf5bbc0316f522dae609e0663a9b19f63fbbf90253f,118.193801715,12.6680572066,0.439722222222,,,,,
mistral_small_3_1_24b_bf16,3300,33,0.642143289518,0.604816420495,0.649046837181,0.584222190372,0.704809207044,0,0,,,,,,,,,,open,single-gpu,"{""cuda_component_versions"": {""nvidia-cuda-cccl"": ""13.0.85"", ""nvidia-cuda-crt"": ""13.0.88"", ""nvidia-cuda-nvcc"": ""13.0.88"", ""nvidia-cuda-nvrtc"": ""13.0.88"", ""nvidia-cuda-runtime"": ""13.0.96"", ""nvidia-nvvm"": ""13.0.88""}, ""cuda_toolkit_meta_version"": ""13.0.2"", ""enable_thinking"": false, ""gpu_memory_utilization"": 0.9, ""max_model_len"": 8192, ""max_num_seqs"": 16, ""max_tokens"": 256, ""prompt_margin_tokens"": 128, ""python_version"": ""3.12"", ""runtime_lock_sha256"": ""4f46101fa493e38b312af034b8d740c612bd0001bab4cb0f624f4a9e1c49f5b3"", ""seed"": 20260820, ""structured_output"": ""json_schema"", ""temperature"": 0.0, ""tensor_parallel_size"": 1, ""tokenizer_revision"": ""4b8dd8aae705887db5295fcbff4aedbb92d682eb"", ""vllm_version"": ""0.26.0""}",,4b8dd8aae705887db5295fcbff4aedbb92d682eb,BF16,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,"[""2026-08-20"", ""2026-08-21"", ""2026-09-15""]",mistralai/Mistral-Small-3.1-24B-Instruct-2503,da6db7662dea91e566822a20e6310684395e0792b59fba0d43fce5cba5a55e60,"Generation rate covers only the frozen missing-item remainder on Hive; model load, historical reused rows and queue time are excluded. Compare rates only for the same keyset, generation/runtime and batch concurrency settings, and GPU hardware.",dfa4b1da62046f389e1e6102e461fc4e44a92a92ddf2e8b001734181c9c5b993,9489627a519a6198036445f8c0701367acee177c26e0a85019daf48918113ba4,e4f2e4fee4ea86c0b88871ade9e6539f6429df5388846e4aaf72a21c1e83533c,2142,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,0.25,0.118888888889,"Allocated GPU time includes full historical source jobs and all recorded backfill attempts, including failed attempts. Historical jobs processed more than the frozen comparison panel; GPU time is not a matched speed or an economic cost estimate.",62fc3c7468173a92f687a4bfa2aa5210af2f337f5177ef4e9e02c9c987da0f75,217.899161524,21.0319035681,0.368888888889,,,,,
mistral_small_4_119b_nvfp4,3300,33,0.629202780543,0.592221695586,0.637413642729,0.567962735377,0.695251773455,0,0,,,,,,,,,,open,single-gpu,"{""cuda_component_versions"": {""nvidia-cuda-cccl"": ""13.0.85"", ""nvidia-cuda-crt"": ""13.0.88"", ""nvidia-cuda-nvcc"": ""13.0.88"", ""nvidia-cuda-nvrtc"": ""13.0.88"", ""nvidia-cuda-runtime"": ""13.0.96"", ""nvidia-nvvm"": ""13.0.88""}, ""cuda_toolkit_meta_version"": ""13.0.2"", ""enable_thinking"": false, ""gpu_memory_utilization"": 0.9, ""max_model_len"": 8192, ""max_tokens"": 256, ""prompt_margin_tokens"": 128, ""python_version"": ""3.12"", ""runtime_lock_sha256"": ""4f46101fa493e38b312af034b8d740c612bd0001bab4cb0f624f4a9e1c49f5b3"", ""seed"": 20260804, ""structured_output"": ""json_schema"", ""temperature"": 0.0, ""vllm_version"": ""0.26.0""}",,b1a9048590131d38491bd23a7c9f6ed0962f0358,NVFP4,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,"[""2026-08-05""]",mistralai/Mistral-Small-4-119B-2603-NVFP4,4115b67b62972a782cb40dfc3d1f0768186904a77f586ee97943d66d0538c34a,Historical generation timings cover a different batch/sample size; no matched-sample speed estimate is exported.,311bb2bc081901c80c6bb09b99d7f60894a66ab53be4c840c9c4ff6a7f8c84d8,,,,,,,,,,,,,,,,
qwen1_5_32b_chat,3300,33,0.619141371824,0.581650944019,0.625486968887,0.557860321528,0.687562756445,0,0,,,,,,,,,,open,single-gpu,"{""cuda_component_versions"": {""nvidia-cuda-cccl"": ""13.0.85"", ""nvidia-cuda-crt"": ""13.0.88"", ""nvidia-cuda-nvcc"": ""13.0.88"", ""nvidia-cuda-nvrtc"": ""13.0.88"", ""nvidia-cuda-runtime"": ""13.0.96"", ""nvidia-nvvm"": ""13.0.88""}, ""cuda_toolkit_meta_version"": ""13.0.2"", ""enable_thinking"": false, ""gpu_memory_utilization"": 0.9, ""max_model_len"": 8192, ""max_num_seqs"": 16, ""max_tokens"": 256, ""prompt_margin_tokens"": 128, ""python_version"": ""3.12"", ""runtime_lock_sha256"": ""4f46101fa493e38b312af034b8d740c612bd0001bab4cb0f624f4a9e1c49f5b3"", ""seed"": 20260820, ""structured_output"": ""json_schema"", ""temperature"": 0.0, ""tensor_parallel_size"": 1, ""tokenizer_revision"": ""0997b012af6ddd5465d40465a8415535b2f06cfc"", ""vllm_version"": ""0.26.0""}",,0997b012af6ddd5465d40465a8415535b2f06cfc,BF16,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,"[""2026-08-23"", ""2026-09-15""]",Qwen/Qwen1.5-32B-Chat,cab3709d8ce91a7b92f95dc8153bda620d04bd55266248c50bce3c21f83f80d2,"Generation rate covers only the frozen missing-item remainder on Hive; model load, historical reused rows and queue time are excluded. Compare rates only for the same keyset, generation/runtime and batch concurrency settings, and GPU hardware.",7cf030c6622f28c82e95dc0eb97c93485dee6c36fb7661b49029a2209941b2e9,e8183336027b5be8c5c71d2cd3d4971e13993b2c5cac98ef586c1f2c449af5b2,e4f2e4fee4ea86c0b88871ade9e6539f6429df5388846e4aaf72a21c1e83533c,2614,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,0.0883333333333,0.126666666667,"Allocated GPU time includes full historical source jobs and all recorded backfill attempts, including failed attempts. Historical jobs processed more than the frozen comparison panel; GPU time is not a matched speed or an economic cost estimate.",6fc610e319299495c0631c21a57428d2a9ae35c19360dd63ef3995e8eab534bc,151.904132463,15.0294247638,0.215,,,,,
qwen2_5_32b_instruct_bf16,3300,33,0.648569507473,0.609532245713,0.657472499108,0.592572043532,0.706574403697,0,0,,,,,,,,,,open,single-gpu,"{""cuda_component_versions"": {""nvidia-cuda-cccl"": ""13.0.85"", ""nvidia-cuda-crt"": ""13.0.88"", ""nvidia-cuda-nvcc"": ""13.0.88"", ""nvidia-cuda-nvrtc"": ""13.0.88"", ""nvidia-cuda-runtime"": ""13.0.96"", ""nvidia-nvvm"": ""13.0.88""}, ""cuda_toolkit_meta_version"": ""13.0.2"", ""enable_thinking"": false, ""gpu_memory_utilization"": 0.9, ""max_model_len"": 8192, ""max_num_seqs"": 16, ""max_tokens"": 256, ""prompt_margin_tokens"": 128, ""python_version"": ""3.12"", ""runtime_lock_sha256"": ""4f46101fa493e38b312af034b8d740c612bd0001bab4cb0f624f4a9e1c49f5b3"", ""seed"": 20260820, ""structured_output"": ""json_schema"", ""temperature"": 0.0, ""tensor_parallel_size"": 1, ""tokenizer_revision"": ""70e8dfb9ad18a7d499f765fe206ff065ed8ca197"", ""vllm_version"": ""0.26.0""}",,70e8dfb9ad18a7d499f765fe206ff065ed8ca197,BF16,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,"[""2026-08-20"", ""2026-08-21"", ""2026-09-15""]",Qwen/Qwen2.5-32B-Instruct,0b202f12d7fcd8df3f5e802122b0e6e1270516847d73f101b2853c3b1a037f21,"Generation rate covers only the frozen missing-item remainder on Hive; model load, historical reused rows and queue time are excluded. Compare rates only for the same keyset, generation/runtime and batch concurrency settings, and GPU hardware.",37e3653534d3afed60cefa01e329538282192cbe1f10a790246df469ed7e4ec4,9489627a519a6198036445f8c0701367acee177c26e0a85019daf48918113ba4,e4f2e4fee4ea86c0b88871ade9e6539f6429df5388846e4aaf72a21c1e83533c,2142,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,0.249722222222,0.121111111111,"Allocated GPU time includes full historical source jobs and all recorded backfill attempts, including failed attempts. Historical jobs processed more than the frozen comparison panel; GPU time is not a matched speed or an economic cost estimate.",a5da2db90ddcbe37fe396b9fc622dbc87dbfd5a9a93e3f9b36e7f569f7660184,146.889209811,15.1624831292,0.370833333333,,,,,
